,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:C9,78:A5:04:41:E7:91,7C:66:9D:7B:2E:16,78:A5:04:41:E5:56,F4:B8:5E:AA:77:73,7C:66:9D:7B:2B:DE,78:A5:04:41:E5:77,78:A5:04:41:E7:81,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3
1526462789463,-84,-92,-90,-83,-79,-200,-200,-200,-200,-200,-200
1526462789574,-85,-200,-92,-200,-200,-85,-86,-86,-200,-200,-200
1526462789689,-84,-200,-92,-200,-79,-86,-200,-86,-200,-200,-200
1526462789791,-200,-200,-92,-80,-200,-200,-85,-200,-90,-200,-200
1526462794438,-200,-200,-78,-79,-200,-86,-200,-81,-200,-200,-200
1526462794537,-200,-87,-78,-200,-200,-86,-86,-82,-200,-200,-200
1526462794714,-200,-87,-200,-80,-79,-84,-85,-200,-200,-200,-200
1526462794799,-200,-87,-78,-200,-79,-200,-86,-87,-200,-200,-200
1526462799424,-87,-86,-78,-200,-81,-200,-200,-86,-200,-200,-200
1526462799531,-87,-87,-78,-200,-200,-200,-200,-86,-200,-91,-200
1526462799638,-86,-87,-78,-88,-200,-200,-200,-200,-200,-92,-200
1526462799734,-87,-86,-78,-200,-200,-200,-87,-200,-200,-200,-200
1526462799861,-200,-86,-78,-200,-200,-200,-86,-200,-200,-200,-92
1526462804469,-200,-86,-80,-80,-200,-84,-200,-200,-200,-200,-200
1526462804570,-200,-200,-80,-200,-79,-200,-85,-200,-200,-200,-200
1526462804691,-200,-86,-80,-200,-79,-200,-200,-200,-200,-200,-200
1526462804782,-87,-200,-79,-80,-200,-200,-200,-83,-200,-200,-200
1526462809389,-87,-200,-78,-89,-82,-200,-87,-86,-200,-90,-200
1526462809468,-86,-84,-78,-88,-82,-200,-87,-85,-200,-200,-200
1526462809571,-87,-84,-78,-88,-82,-200,-87,-87,-200,-200,-200
1526462809687,-200,-84,-78,-200,-82,-200,-87,-85,-200,-200,-200
1526462814427,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200
1526462814855,-83,-200,-86,-200,-200,-86,-200,-200,-200,-200,-200
1526462815057,-200,-89,-83,-200,-78,-83,-86,-200,-200,-200,-200
1526462815160,-200,-200,-83,-82,-78,-83,-87,-200,-200,-200,-200
1526462819382,-200,-200,-200,-79,-78,-84,-84,-200,-200,-200,-200
1526462819495,-200,-87,-200,-200,-78,-83,-200,-200,-200,-200,-200
1526462819597,-200,-88,-200,-79,-78,-84,-84,-200,-200,-92,-92
1526462819702,-200,-200,-200,-79,-77,-200,-84,-200,-200,-200,-200
1526462824387,-88,-83,-81,-88,-85,-91,-85,-83,-200,-88,-200
1526462824486,-88,-84,-81,-88,-85,-90,-85,-200,-200,-88,-200
1526462824597,-88,-83,-81,-200,-85,-90,-85,-83,-200,-88,-200
1526462824765,-88,-83,-82,-200,-86,-200,-200,-200,-200,-200,-200
1526462829373,-200,-84,-200,-81,-78,-200,-200,-200,-200,-200,-200
1526462829477,-200,-84,-83,-81,-78,-85,-200,-86,-200,-200,-200
1526462829573,-84,-84,-82,-81,-200,-84,-86,-86,-200,-200,-200
1526462829682,-85,-84,-82,-81,-77,-200,-200,-200,-200,-200,-200
1526462829792,-85,-200,-200,-200,-78,-85,-200,-200,-200,-200,-200
1526462834390,-200,-200,-80,-79,-80,-81,-83,-200,-200,-200,-200
1526462834490,-200,-200,-80,-200,-79,-81,-83,-200,-200,-200,-200
1526462834594,-200,-200,-200,-200,-80,-82,-83,-84,-90,-200,-200
1526462834701,-200,-80,-80,-79,-80,-81,-83,-85,-200,-200,-200
1526462839364,-200,-84,-80,-86,-85,-200,-200,-200,-200,-200,-200
1526462839492,-89,-84,-80,-86,-84,-200,-85,-84,-200,-90,-200
1526462839617,-89,-84,-80,-86,-84,-200,-85,-200,-200,-89,-200
1526462839730,-88,-200,-200,-87,-84,-200,-85,-85,-200,-88,-200
1526462839834,-84,-200,-200,-200,-84,-86,-86,-200,-200,-200,-200
1526462844466,-200,-86,-200,-81,-79,-200,-200,-200,-200,-200,-200
1526462844639,-200,-200,-200,-81,-80,-85,-86,-88,-200,-200,-200
1526462844791,-85,-85,-200,-200,-78,-85,-87,-83,-200,-200,-200
1526462849400,-88,-85,-82,-78,-78,-85,-87,-200,-86,-200,-200
1526462849492,-88,-200,-82,-78,-78,-85,-87,-83,-86,-200,-200
1526462849604,-86,-200,-200,-200,-200,-85,-87,-200,-86,-200,-200
1526462849742,-86,-200,-82,-78,-78,-200,-86,-83,-86,-200,-200
1526462854389,-200,-86,-80,-85,-81,-200,-200,-89,-200,-200,-200
1526462854517,-87,-86,-200,-200,-81,-200,-86,-90,-200,-200,-200
1526462854609,-200,-85,-79,-86,-81,-200,-88,-200,-200,-200,-200
1526462854709,-200,-85,-200,-200,-82,-200,-200,-89,-200,-200,-200
