,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:3a:8d,74:da:da:c1:03:21,0c:73:eb:d0:7e:d0,0c:73:eb:d0:7f:00,74:da:da:c1:03:2d,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,74:da:da:c1:03:1d,74:da:da:c1:02:8d,74:da:da:c1:03:2e,0c:73:eb:d0:11:d8,74:da:da:c1:3a:81,74:da:da:98:74:80,0c:73:eb:d0:11:c8,74:da:da:c1:3a:8e,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:98,74:da:da:c1:03:22,74:da:da:c1:02:92,0c:73:eb:d0:11:f8,74:da:da:98:85:1c,74:da:da:98:74:34,d8:15:0d:6c:13:98,74:da:da:c1:02:8e,74:da:da:c1:03:1e,74:da:da:c1:6b:4d,74:da:da:c0:f3:01,74:da:da:c0:f6:15,74:da:da:c1:3c:f5,74:da:da:c1:3a:82,74:da:da:c0:d6:f5,0c:73:eb:d0:13:b8,74:da:da:c1:3d:2d,74:da:da:98:74:74,74:da:da:c1:3a:dd,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:90,74:da:da:c0:f4:69,74:da:da:c1:3c:11,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:c8,0c:73:eb:d0:7f:18,74:da:da:98:85:4c
1526452865403,-41,-42,-44,-44,-45,-47,-48,-52,-54,-56,-59,-66,-67,-67,-69,-69,-70,-71,-73,-76,-77,-78,-78,-80,-80,-81,-81,-82,-87,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452868422,-42,-43,-41,-40,-39,-33,-46,-50,-58,-60,-60,-65,-67,-67,-68,-74,-70,-79,-62,-68,-77,-75,-74,-80,-75,-81,-81,-82,-87,-90,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452871444,-42,-43,-41,-41,-39,-33,-46,-50,-58,-60,-60,-65,-67,-67,-68,-75,-70,-79,-62,-68,-77,-75,-74,-80,-75,-81,-81,-82,-87,-90,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452874464,-43,-43,-41,-39,-36,-31,-46,-50,-59,-64,-59,-65,-63,-67,-68,-67,-70,-79,-62,-68,-77,-75,-74,-88,-74,-81,-81,-82,-87,-90,-89,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452877484,-43,-43,-41,-39,-36,-31,-46,-50,-59,-64,-59,-65,-63,-67,-68,-67,-70,-79,-62,-68,-77,-75,-74,-88,-74,-81,-81,-82,-87,-90,-89,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452880504,-44,-44,-40,-39,-32,-31,-49,-50,-68,-61,-58,-65,-66,-67,-68,-75,-70,-81,-63,-72,-77,-75,-74,-88,-76,-81,-81,-200,-87,-90,-89,-90,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452883527,-44,-44,-40,-39,-32,-31,-49,-50,-68,-61,-58,-65,-66,-67,-68,-75,-70,-81,-63,-72,-77,-75,-74,-88,-76,-81,-81,-200,-87,-90,-89,-90,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452886547,-42,-43,-42,-39,-27,-32,-47,-50,-65,-61,-58,-65,-70,-67,-70,-68,-200,-81,-63,-72,-200,-73,-74,-87,-79,-200,-81,-200,-87,-90,-89,-90,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452889565,-42,-43,-42,-39,-27,-32,-47,-50,-65,-61,-58,-65,-70,-67,-70,-68,-200,-81,-63,-72,-200,-73,-74,-87,-79,-200,-81,-200,-87,-90,-89,-90,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452892583,-42,-45,-40,-38,-35,-32,-57,-52,-63,-63,-64,-65,-66,-200,-70,-68,-74,-80,-62,-72,-200,-71,-74,-86,-75,-200,-200,-82,-200,-91,-200,-200,-80,-74,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452895605,-40,-46,-40,-38,-35,-32,-45,-52,-62,-65,-60,-65,-66,-200,-70,-68,-74,-80,-62,-72,-200,-71,-74,-86,-74,-200,-200,-82,-200,-91,-200,-200,-80,-74,-75,-75,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526452898626,-40,-46,-40,-38,-35,-32,-45,-52,-62,-65,-60,-65,-66,-200,-70,-68,-74,-80,-62,-72,-200,-71,-74,-86,-74,-200,-200,-82,-200,-91,-200,-200,-80,-74,-75,-75,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526452901645,-47,-43,-51,-37,-28,-36,-55,-52,-51,-65,-64,-65,-72,-72,-76,-74,-70,-80,-62,-72,-200,-73,-69,-86,-74,-78,-200,-82,-200,-91,-200,-200,-80,-64,-75,-75,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526452904655,-47,-43,-51,-37,-28,-36,-55,-52,-51,-65,-64,-65,-72,-72,-76,-74,-70,-80,-62,-72,-200,-73,-69,-86,-74,-78,-200,-82,-200,-91,-200,-200,-80,-64,-75,-75,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526452907682,-52,-43,-47,-38,-28,-36,-47,-52,-53,-67,-63,-65,-72,-72,-72,-67,-70,-75,-60,-200,-200,-73,-69,-89,-74,-77,-200,-82,-82,-91,-88,-200,-200,-62,-75,-75,-85,-90,-74,-81,-200,-200,-200,-200,-200
1526452910704,-52,-43,-47,-38,-28,-36,-47,-52,-53,-67,-63,-65,-72,-72,-72,-67,-70,-75,-60,-200,-200,-73,-69,-89,-74,-77,-200,-82,-82,-91,-88,-200,-200,-62,-75,-75,-85,-90,-74,-81,-200,-200,-200,-200,-200
1526452913731,-54,-44,-47,-39,-27,-35,-47,-52,-54,-70,-62,-71,-70,-72,-71,-70,-70,-73,-59,-200,-200,-73,-69,-90,-74,-77,-200,-82,-82,-89,-88,-200,-200,-62,-83,-75,-85,-90,-74,-81,-81,-200,-200,-200,-200
1526452916749,-54,-44,-47,-39,-27,-35,-47,-52,-54,-70,-62,-71,-70,-72,-71,-70,-70,-73,-59,-200,-200,-73,-69,-90,-74,-77,-200,-82,-82,-89,-88,-200,-200,-62,-83,-75,-85,-90,-74,-81,-81,-200,-200,-200,-200
1526452919782,-44,-44,-47,-38,-27,-35,-51,-52,-56,-69,-64,-71,-67,-72,-73,-70,-70,-73,-58,-200,-200,-72,-69,-90,-74,-77,-200,-200,-82,-89,-88,-200,-200,-62,-83,-75,-85,-90,-74,-81,-81,-200,-200,-200,-200
1526452922803,-44,-44,-47,-38,-27,-35,-51,-52,-56,-69,-64,-71,-67,-72,-73,-70,-70,-73,-58,-200,-200,-72,-69,-90,-74,-77,-200,-200,-82,-89,-88,-200,-200,-62,-83,-75,-85,-90,-74,-81,-81,-200,-200,-200,-200
1526452925829,-44,-45,-42,-39,-26,-35,-49,-66,-55,-68,-66,-71,-69,-72,-71,-67,-70,-77,-58,-200,-200,-72,-73,-90,-74,-77,-200,-200,-82,-89,-88,-200,-200,-64,-83,-200,-200,-200,-74,-81,-81,-76,-78,-90,-93
