,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:74:94,0c:73:eb:d0:7c:48,74:da:da:98:8d:78,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,74:da:da:c1:3c:f9,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:30,74:da:da:c1:3c:dd,74:da:da:c1:4b:59,74:da:da:c1:4b:05,0c:73:eb:d0:7c:18,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:10,74:da:da:c1:3c:d1,74:da:da:c1:3c:91,74:da:da:c1:3c:f5,0c:73:eb:d0:11:b0,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,74:da:da:98:7a:6c,0c:73:eb:d0:11:e8,74:da:da:c1:3c:6d,0c:73:eb:d0:76:20,74:da:da:98:7a:50,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:d0,74:da:da:c0:f2:fd,74:da:da:98:db:44
1526453765008,-38,-48,-49,-50,-51,-56,-58,-61,-62,-64,-65,-70,-71,-71,-75,-76,-79,-80,-80,-82,-83,-84,-87,-88,-200,-200,-200,-200,-200,-200
1526453768029,-37,-36,-41,-47,-40,-64,-54,-66,-54,-64,-58,-69,-59,-71,-75,-78,-79,-80,-80,-82,-200,-200,-87,-200,-76,-200,-200,-200,-200,-200
1526453771054,-37,-36,-41,-47,-40,-64,-54,-66,-54,-64,-58,-69,-59,-71,-75,-78,-79,-80,-80,-82,-200,-200,-87,-200,-76,-200,-200,-200,-200,-200
1526453774070,-37,-36,-41,-47,-40,-64,-54,-66,-54,-64,-58,-69,-59,-71,-75,-78,-79,-80,-80,-82,-200,-200,-87,-200,-76,-200,-200,-200,-200,-200
1526453777103,-36,-36,-43,-46,-39,-63,-54,-72,-53,-65,-51,-68,-56,-70,-83,-79,-80,-200,-83,-76,-83,-94,-200,-200,-76,-79,-200,-200,-200,-200
1526453780143,-35,-33,-43,-46,-39,-63,-54,-72,-54,-64,-51,-68,-56,-71,-83,-80,-80,-87,-83,-76,-83,-94,-200,-200,-77,-79,-200,-200,-200,-200
1526453783167,-35,-33,-43,-46,-39,-63,-54,-72,-54,-64,-51,-68,-56,-71,-83,-80,-80,-87,-83,-76,-83,-94,-200,-200,-77,-79,-200,-200,-200,-200
1526453786191,-35,-33,-43,-46,-39,-63,-54,-72,-54,-64,-51,-68,-56,-71,-83,-80,-80,-87,-83,-76,-83,-94,-200,-200,-77,-79,-200,-200,-200,-200
1526453789223,-34,-32,-47,-48,-38,-64,-53,-69,-56,-64,-51,-71,-59,-70,-84,-80,-82,-87,-84,-79,-83,-90,-200,-200,-76,-200,-200,-200,-200,-200
1526453792256,-34,-37,-47,-48,-38,-64,-52,-69,-54,-65,-51,-67,-56,-67,-84,-83,-82,-87,-84,-78,-82,-90,-200,-200,-76,-200,-84,-200,-200,-200
1526453795288,-34,-37,-47,-48,-38,-64,-52,-69,-54,-65,-51,-67,-56,-67,-84,-83,-82,-87,-84,-78,-82,-90,-200,-200,-76,-200,-84,-200,-200,-200
1526453798329,-34,-37,-47,-48,-38,-64,-52,-69,-54,-65,-51,-67,-56,-67,-84,-83,-82,-87,-84,-78,-82,-90,-200,-200,-76,-200,-84,-200,-200,-200
1526453801365,-34,-37,-46,-47,-38,-64,-51,-72,-55,-65,-51,-74,-56,-68,-200,-83,-200,-84,-200,-78,-82,-200,-200,-200,-76,-200,-84,-83,-200,-200
1526453804393,-34,-36,-47,-48,-37,-64,-47,-71,-55,-65,-50,-70,-55,-67,-200,-83,-200,-84,-200,-78,-82,-200,-200,-93,-74,-200,-84,-83,-200,-200
1526453807423,-34,-36,-47,-48,-37,-64,-47,-71,-55,-65,-50,-70,-55,-67,-200,-83,-200,-84,-200,-78,-82,-200,-200,-93,-74,-200,-84,-83,-200,-200
1526453810452,-34,-36,-47,-48,-37,-64,-47,-71,-55,-65,-50,-70,-55,-67,-200,-83,-200,-84,-200,-78,-82,-200,-200,-93,-74,-200,-84,-83,-200,-200
1526453813485,-34,-37,-42,-49,-42,-63,-55,-68,-53,-64,-49,-67,-56,-67,-83,-200,-200,-82,-200,-78,-200,-200,-200,-93,-74,-200,-200,-200,-88,-200
1526453816516,-34,-35,-44,-48,-39,-63,-54,-68,-53,-64,-49,-66,-57,-79,-79,-84,-200,-82,-200,-77,-84,-200,-200,-93,-74,-200,-200,-200,-88,-86
1526453819548,-34,-35,-44,-48,-39,-63,-54,-68,-53,-64,-49,-66,-57,-79,-79,-84,-200,-82,-200,-77,-84,-200,-200,-93,-74,-200,-200,-200,-88,-86
1526453822580,-34,-35,-44,-48,-39,-63,-54,-68,-53,-64,-49,-66,-57,-79,-79,-84,-200,-82,-200,-77,-84,-200,-200,-93,-74,-200,-200,-200,-88,-86
1526453825619,-34,-39,-44,-50,-41,-64,-53,-74,-56,-66,-47,-66,-56,-72,-78,-84,-200,-81,-200,-76,-79,-200,-200,-200,-75,-83,-200,-90,-200,-86
