,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro
,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:01,74:da:da:c1:3c:99,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:10,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,74:da:da:98:74:94,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:18,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,74:da:da:c1:4a:ed,74:da:da:c1:3c:d1,74:da:da:c1:3c:91,74:da:da:c1:3b:49,74:da:da:c1:3c:ad,0c:73:eb:d0:76:20,0c:73:eb:d0:13:d0,74:da:da:c0:d7:09,74:da:da:c1:3a:81,0c:73:eb:d0:7c:00,74:da:da:c1:14:99,74:da:da:98:db:44,74:da:da:c1:3d:09,74:da:da:c1:3c:6d,0c:73:eb:d0:76:58,0c:73:eb:d0:11:d0,74:da:da:c0:f2:fd,0c:73:eb:d0:19:b0,74:da:da:c0:e0:71,0c:73:eb:d0:11:b0,74:da:da:c0:f3:59,74:da:da:c1:61:69,74:da:da:98:8f:64,0c:73:eb:d0:2a:28,74:da:da:c0:f4:69,74:da:da:c1:3b:85,74:da:da:c1:4a:a5,0c:73:eb:d0:2a:38,74:da:da:c1:3d:05
1526454316530,-37,-40,-40,-50,-50,-54,-55,-55,-55,-60,-60,-62,-62,-65,-67,-67,-72,-73,-75,-76,-78,-81,-83,-84,-85,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454319567,-39,-42,-36,-47,-54,-59,-55,-59,-61,-63,-60,-58,-53,-65,-67,-69,-72,-73,-75,-78,-75,-81,-79,-84,-200,-200,-200,-78,-86,-87,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454322584,-39,-42,-36,-47,-54,-59,-55,-59,-61,-63,-60,-58,-53,-65,-67,-69,-72,-73,-75,-78,-75,-81,-79,-84,-200,-200,-200,-78,-86,-87,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454325607,-39,-42,-36,-47,-54,-59,-55,-59,-61,-63,-60,-58,-53,-65,-67,-69,-72,-73,-75,-78,-75,-81,-79,-84,-200,-200,-200,-78,-86,-87,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454328621,-33,-36,-32,-46,-58,-57,-59,-54,-61,-68,-62,-57,-60,-72,-68,-73,-200,-74,-200,-81,-83,-81,-79,-200,-200,-84,-200,-78,-86,-87,-87,-88,-92,-72,-81,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454331649,-32,-36,-32,-46,-62,-57,-59,-52,-61,-68,-62,-57,-60,-72,-68,-73,-200,-74,-200,-82,-84,-81,-79,-200,-200,-84,-200,-78,-86,-87,-87,-88,-92,-72,-81,-85,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454334690,-32,-36,-32,-46,-62,-57,-59,-52,-61,-68,-62,-57,-60,-72,-68,-73,-200,-74,-200,-82,-84,-81,-79,-200,-200,-84,-200,-78,-86,-87,-87,-88,-92,-72,-81,-85,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454337723,-32,-36,-32,-46,-62,-57,-59,-52,-61,-68,-62,-57,-60,-72,-68,-73,-200,-74,-200,-82,-84,-81,-79,-200,-200,-84,-200,-78,-86,-87,-87,-88,-92,-72,-81,-85,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454340767,-33,-35,-32,-47,-61,-59,-59,-53,-62,-66,-64,-65,-61,-73,-68,-200,-78,-200,-72,-82,-84,-200,-200,-81,-200,-200,-200,-200,-200,-82,-200,-200,-200,-72,-200,-200,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
