,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28
,74:da:da:c1:4b:05,74:da:da:98:8d:78,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,0c:73:eb:d0:7c:48,74:da:da:c1:4b:59,74:da:da:c1:3c:f5,74:da:da:98:74:94,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:3b:49,0c:73:eb:d0:11:d0,74:da:da:c1:4a:ed,0c:73:eb:d0:11:e8,74:da:da:c1:3c:ad,74:da:da:c1:3c:d1,74:da:da:c0:f2:fd,0c:73:eb:d0:2a:38,74:da:da:98:db:44,74:da:da:c1:3c:e1,0c:73:eb:d0:76:20,74:da:da:c1:3c:91,74:da:da:c0:d7:09,0c:73:eb:d0:19:b0,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:b0,74:da:da:c1:14:99,74:da:da:c1:4a:a5,74:da:da:c1:3b:85,0c:73:eb:d0:7e:e0,74:da:da:c0:f4:69,0c:73:eb:d0:2a:28
1526454475250,-35,-44,-46,-46,-49,-56,-58,-59,-59,-60,-61,-61,-65,-67,-68,-68,-69,-71,-72,-75,-75,-80,-80,-81,-82,-83,-84,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454478289,-40,-43,-43,-47,-49,-58,-51,-65,-67,-58,-64,-55,-73,-61,-68,-63,-69,-71,-75,-75,-75,-77,-80,-200,-82,-83,-86,-84,-85,-89,-74,-82,-90,-200,-200,-200,-200,-200
1526454481308,-40,-43,-43,-47,-49,-58,-51,-65,-67,-58,-64,-55,-73,-61,-68,-63,-69,-71,-75,-75,-75,-77,-80,-200,-82,-83,-86,-84,-85,-89,-74,-82,-90,-200,-200,-200,-200,-200
1526454484335,-40,-43,-43,-47,-49,-58,-51,-65,-67,-58,-64,-55,-73,-61,-68,-63,-69,-71,-75,-75,-75,-77,-80,-200,-82,-83,-86,-84,-85,-89,-74,-82,-90,-200,-200,-200,-200,-200
1526454487377,-44,-27,-42,-48,-61,-58,-51,-57,-63,-64,-57,-57,-75,-68,-64,-67,-74,-69,-68,-79,-200,-87,-200,-200,-200,-83,-85,-82,-200,-88,-74,-82,-90,-84,-87,-88,-200,-200
1526454490416,-46,-27,-39,-51,-58,-61,-51,-58,-64,-61,-55,-59,-75,-72,-68,-67,-74,-71,-68,-78,-200,-83,-200,-200,-79,-82,-85,-84,-200,-88,-74,-82,-90,-84,-87,-88,-84,-200
1526454493454,-46,-27,-39,-51,-58,-61,-51,-58,-64,-61,-55,-59,-75,-72,-68,-67,-74,-71,-68,-78,-200,-83,-200,-200,-79,-82,-85,-84,-200,-88,-74,-82,-90,-84,-87,-88,-84,-200
1526454496487,-46,-27,-39,-51,-58,-61,-51,-58,-64,-61,-55,-59,-75,-72,-68,-67,-74,-71,-68,-78,-200,-83,-200,-200,-79,-82,-85,-84,-200,-88,-74,-82,-90,-84,-87,-88,-84,-200
1526454499531,-51,-28,-44,-49,-61,-66,-59,-62,-64,-61,-57,-57,-70,-64,-71,-71,-76,-71,-71,-80,-200,-83,-200,-200,-83,-84,-200,-83,-200,-200,-74,-92,-200,-200,-200,-200,-84,-200
