,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,DLINK_D02A28,WHU-2018
,74:da:da:98:8d:78,0c:73:eb:d0:7c:48,74:da:da:c1:4b:01,74:da:da:98:74:94,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:c1:4b:59,0c:73:eb:d0:7c:18,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f5,74:da:da:c1:3c:d1,0c:73:eb:d0:11:f0,74:da:da:c1:3c:91,74:da:da:c1:3b:49,0c:73:eb:d0:7e:d8,0c:73:eb:d0:76:20,74:da:da:c1:3b:e9,74:da:da:98:7a:6c,0c:73:eb:d0:7c:00,74:da:da:98:92:14,0c:73:eb:d0:11:d0,74:da:da:c0:f2:fd,74:da:da:c1:3c:99,74:da:da:c1:3c:6d,74:da:da:c1:4a:a5,74:da:da:98:db:44,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:09,74:da:da:98:7a:50,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:18,0c:73:eb:d0:2a:28,0c:73:eb:d0:11:b0
1526453920808,-36,-39,-41,-48,-50,-53,-55,-55,-59,-61,-61,-63,-64,-69,-69,-77,-77,-78,-79,-79,-82,-84,-87,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453923833,-34,-45,-47,-44,-42,-49,-55,-63,-57,-63,-66,-59,-64,-64,-69,-83,-73,-69,-200,-79,-82,-84,-200,-200,-90,-68,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453926857,-34,-45,-47,-44,-42,-49,-55,-63,-57,-63,-66,-59,-64,-64,-69,-83,-73,-69,-200,-79,-82,-84,-200,-200,-90,-68,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453929887,-34,-45,-47,-44,-42,-49,-55,-63,-57,-63,-66,-59,-64,-64,-69,-83,-73,-69,-200,-79,-82,-84,-200,-200,-90,-68,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453932928,-38,-45,-47,-44,-41,-46,-52,-59,-57,-70,-61,-62,-74,-65,-200,-80,-78,-69,-200,-82,-200,-200,-200,-200,-200,-77,-79,-75,-83,-83,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526453935950,-37,-47,-47,-56,-45,-45,-51,-59,-57,-70,-63,-59,-69,-62,-78,-80,-78,-72,-200,-81,-200,-200,-200,-200,-200,-75,-79,-75,-80,-83,-85,-86,-92,-200,-200,-200,-200,-200,-200
1526453938965,-37,-47,-47,-56,-45,-45,-51,-59,-57,-70,-63,-59,-69,-62,-78,-80,-78,-72,-200,-81,-200,-200,-200,-200,-200,-75,-79,-75,-80,-83,-85,-86,-92,-200,-200,-200,-200,-200,-200
1526453942002,-37,-47,-47,-56,-45,-45,-51,-59,-57,-70,-63,-59,-69,-62,-78,-80,-78,-72,-200,-81,-200,-200,-200,-200,-200,-75,-79,-75,-80,-83,-85,-86,-92,-200,-200,-200,-200,-200,-200
1526453945039,-35,-49,-47,-44,-71,-45,-54,-66,-57,-64,-63,-55,-71,-67,-75,-85,-74,-73,-200,-79,-200,-200,-200,-89,-200,-76,-78,-200,-80,-200,-81,-81,-92,-80,-81,-200,-200,-200,-200
1526453948078,-35,-47,-48,-42,-50,-45,-52,-66,-57,-64,-63,-57,-71,-65,-75,-85,-74,-73,-200,-79,-200,-200,-200,-89,-200,-69,-77,-200,-80,-200,-81,-81,-92,-80,-81,-200,-200,-200,-200
1526453951113,-35,-47,-48,-42,-50,-45,-52,-66,-57,-64,-63,-57,-71,-65,-75,-85,-74,-73,-200,-79,-200,-200,-200,-89,-200,-69,-77,-200,-80,-200,-81,-81,-92,-80,-81,-200,-200,-200,-200
1526453954151,-35,-47,-48,-42,-50,-45,-52,-66,-57,-64,-63,-57,-71,-65,-75,-85,-74,-73,-200,-79,-200,-200,-200,-89,-200,-69,-77,-200,-80,-200,-81,-81,-92,-80,-81,-200,-200,-200,-200
1526453957200,-35,-47,-49,-41,-44,-46,-53,-64,-57,-61,-65,-60,-200,-67,-75,-200,-73,-72,-200,-79,-83,-200,-200,-85,-200,-78,-78,-200,-83,-82,-200,-80,-200,-81,-200,-89,-200,-200,-200
1526453960241,-35,-50,-48,-41,-46,-45,-53,-64,-57,-72,-77,-56,-200,-71,-75,-200,-73,-72,-200,-79,-83,-200,-200,-85,-200,-78,-78,-200,-83,-82,-200,-80,-200,-81,-83,-89,-90,-200,-200
1526453963280,-35,-50,-48,-41,-46,-45,-53,-64,-57,-72,-77,-56,-200,-71,-75,-200,-73,-72,-200,-79,-83,-200,-200,-85,-200,-78,-78,-200,-83,-82,-200,-80,-200,-81,-83,-89,-90,-200,-200
1526453966308,-35,-50,-48,-41,-46,-45,-53,-64,-57,-72,-77,-56,-200,-71,-75,-200,-73,-72,-200,-79,-83,-200,-200,-85,-200,-78,-78,-200,-83,-82,-200,-80,-200,-81,-83,-89,-90,-200,-200
1526453969346,-35,-54,-48,-44,-45,-46,-55,-200,-56,-61,-69,-56,-72,-68,-75,-200,-71,-72,-80,-200,-81,-200,-200,-88,-200,-72,-200,-71,-200,-86,-79,-80,-200,-78,-83,-89,-92,-90,-200
1526453972383,-35,-54,-48,-44,-45,-46,-55,-200,-56,-61,-69,-56,-72,-68,-75,-200,-71,-72,-80,-200,-81,-200,-200,-88,-200,-72,-200,-71,-200,-86,-79,-80,-200,-78,-83,-89,-92,-90,-200
1526453975414,-35,-54,-48,-44,-45,-46,-55,-200,-56,-61,-69,-56,-72,-68,-75,-200,-71,-72,-80,-200,-81,-200,-200,-88,-200,-72,-200,-71,-200,-86,-79,-80,-200,-78,-83,-89,-92,-90,-200
1526453978449,-35,-54,-48,-44,-45,-46,-55,-200,-56,-61,-69,-56,-72,-68,-75,-200,-71,-72,-80,-200,-81,-200,-200,-88,-200,-72,-200,-71,-200,-86,-79,-80,-200,-78,-83,-89,-92,-90,-200
1526453981492,-35,-46,-46,-40,-45,-47,-55,-64,-57,-62,-65,-60,-73,-66,-78,-87,-74,-73,-200,-200,-86,-200,-200,-200,-200,-68,-79,-70,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-86
