,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:8d:78,0c:73:eb:d0:7c:48,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,74:da:da:c1:4a:f5,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:98:74:94,74:da:da:c1:4a:ed,74:da:da:c1:4b:59,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:3c:91,74:da:da:98:7a:50,0c:73:eb:d0:11:f0,74:da:da:98:7a:6c,74:da:da:c0:d7:09,74:da:da:c1:3c:f5,74:da:da:c0:f2:fd,0c:73:eb:d0:11:b0,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:d1,74:da:da:98:db:44,0c:73:eb:d0:7c:00,0c:73:eb:d0:19:b0,0c:73:eb:d0:11:d0,0c:73:eb:d0:11:e8,74:da:da:c1:3c:99,0c:73:eb:d0:76:20,74:da:da:c1:3b:e9,74:da:da:c1:3c:ad,74:da:da:c1:3b:49,74:da:da:c1:3c:6d
1526453841015,-40,-42,-45,-47,-49,-51,-51,-52,-54,-58,-62,-63,-63,-67,-73,-75,-79,-79,-79,-80,-80,-81,-83,-85,-86,-89,-89,-90,-93,-200,-200,-200,-200,-200,-200
1526453844034,-40,-42,-49,-48,-53,-43,-55,-50,-60,-58,-61,-65,-63,-66,-73,-200,-79,-200,-79,-80,-80,-81,-200,-80,-200,-89,-89,-73,-93,-71,-200,-200,-200,-200,-200
1526453847065,-40,-42,-49,-48,-53,-43,-55,-50,-60,-58,-61,-65,-63,-66,-73,-200,-79,-200,-79,-80,-80,-81,-200,-80,-200,-89,-89,-73,-93,-71,-200,-200,-200,-200,-200
1526453850089,-40,-42,-49,-48,-53,-43,-55,-50,-60,-58,-61,-65,-63,-66,-73,-200,-79,-200,-79,-80,-80,-81,-200,-80,-200,-89,-89,-73,-93,-71,-200,-200,-200,-200,-200
1526453853126,-38,-40,-42,-54,-54,-48,-51,-51,-61,-59,-60,-65,-200,-61,-200,-200,-76,-87,-200,-200,-83,-81,-77,-78,-200,-200,-200,-73,-200,-74,-82,-83,-89,-200,-200
1526453856168,-37,-38,-42,-54,-54,-49,-51,-50,-61,-61,-61,-64,-200,-67,-200,-200,-76,-87,-77,-68,-83,-81,-77,-77,-200,-200,-200,-73,-200,-74,-82,-86,-89,-200,-200
1526453859203,-37,-38,-42,-54,-54,-49,-51,-50,-61,-61,-61,-64,-200,-67,-200,-200,-76,-87,-77,-68,-83,-81,-77,-77,-200,-200,-200,-73,-200,-74,-82,-86,-89,-200,-200
1526453862236,-37,-38,-42,-54,-54,-49,-51,-50,-61,-61,-61,-64,-200,-67,-200,-200,-76,-87,-77,-68,-83,-81,-77,-77,-200,-200,-200,-73,-200,-74,-82,-86,-89,-200,-200
1526453865269,-41,-44,-43,-58,-57,-51,-54,-52,-64,-64,-62,-68,-83,-72,-200,-200,-200,-200,-77,-80,-200,-200,-77,-76,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526453868300,-39,-40,-42,-54,-56,-49,-50,-51,-61,-60,-62,-66,-69,-62,-80,-200,-200,-200,-77,-68,-200,-72,-79,-76,-200,-200,-200,-75,-200,-73,-84,-86,-200,-200,-200
1526453871331,-39,-40,-42,-54,-56,-49,-50,-51,-61,-60,-62,-66,-69,-62,-80,-200,-200,-200,-77,-68,-200,-72,-79,-76,-200,-200,-200,-75,-200,-73,-84,-86,-200,-200,-200
1526453874364,-39,-40,-42,-54,-56,-49,-50,-51,-61,-60,-62,-66,-69,-62,-80,-200,-200,-200,-77,-68,-200,-72,-79,-76,-200,-200,-200,-75,-200,-73,-84,-86,-200,-200,-200
1526453877395,-37,-42,-41,-56,-54,-50,-47,-48,-61,-60,-62,-64,-69,-63,-76,-200,-78,-200,-200,-68,-200,-72,-79,-76,-200,-200,-200,-79,-200,-73,-80,-83,-200,-80,-86
1526453880432,-37,-44,-41,-56,-54,-50,-46,-48,-62,-60,-62,-60,-69,-62,-77,-200,-75,-84,-80,-67,-200,-75,-79,-77,-200,-200,-87,-79,-82,-73,-81,-84,-200,-80,-86
1526453883468,-37,-44,-41,-56,-54,-50,-46,-48,-62,-60,-62,-60,-69,-62,-77,-200,-75,-84,-80,-67,-200,-75,-79,-77,-200,-200,-87,-79,-82,-73,-81,-84,-200,-80,-86
1526453886503,-37,-44,-41,-56,-54,-50,-46,-48,-62,-60,-62,-60,-69,-62,-77,-200,-75,-84,-80,-67,-200,-75,-79,-77,-200,-200,-87,-79,-82,-73,-81,-84,-200,-80,-86
1526453889548,-37,-44,-41,-56,-54,-50,-46,-48,-62,-60,-62,-64,-66,-65,-77,-200,-78,-84,-80,-67,-200,-74,-200,-77,-200,-200,-87,-200,-82,-200,-81,-84,-200,-200,-200
