,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:05,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:98:74:94,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,0c:73:eb:d0:11:f0,74:da:da:c1:3c:dd,74:da:da:c1:3c:d1,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:d8,74:da:da:c1:4a:ed,74:da:da:c1:3b:49,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f5,74:da:da:c1:3c:99,74:da:da:c1:14:99,74:da:da:c1:3c:91,0c:73:eb:d0:11:b0,74:da:da:c0:f2:fd,0c:73:eb:d0:76:20,74:da:da:98:7a:50,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:28,74:da:da:c1:4a:a5,0c:73:eb:d0:7e:e0,74:da:da:c0:d8:25,0c:73:eb:d0:19:b0,74:da:da:c1:3b:85,74:da:da:98:db:44,74:da:da:c0:f3:59,74:da:da:c1:3c:6d,74:da:da:98:7a:68
1526454157069,-32,-41,-42,-49,-52,-54,-54,-59,-61,-63,-66,-66,-66,-67,-70,-70,-71,-74,-76,-76,-78,-82,-83,-85,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454160103,-26,-43,-45,-53,-57,-52,-58,-59,-57,-66,-60,-66,-54,-78,-74,-67,-59,-74,-67,-69,-66,-82,-83,-84,-81,-81,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454163133,-26,-43,-45,-53,-57,-52,-58,-59,-57,-66,-60,-66,-54,-78,-74,-67,-59,-74,-67,-69,-66,-82,-83,-84,-81,-81,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454166165,-26,-43,-45,-53,-57,-52,-58,-59,-57,-66,-60,-66,-54,-78,-74,-67,-59,-74,-67,-69,-66,-82,-83,-84,-81,-81,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454169206,-26,-39,-38,-46,-55,-55,-58,-59,-56,-65,-59,-68,-52,-75,-86,-66,-58,-81,-61,-69,-66,-82,-83,-84,-81,-79,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454172252,-26,-39,-38,-46,-56,-53,-56,-65,-56,-64,-60,-67,-70,-75,-86,-68,-58,-81,-62,-72,-66,-83,-83,-82,-81,-79,-200,-84,-82,-84,-86,-91,-200,-200,-200,-200,-200,-200
1526454175285,-26,-39,-38,-46,-56,-53,-56,-65,-56,-64,-60,-67,-70,-75,-86,-68,-58,-81,-62,-72,-66,-83,-83,-82,-81,-79,-200,-84,-82,-84,-86,-91,-200,-200,-200,-200,-200,-200
1526454178332,-26,-39,-38,-46,-56,-53,-56,-65,-56,-64,-60,-67,-70,-75,-86,-68,-58,-81,-62,-72,-66,-83,-83,-82,-81,-79,-200,-84,-82,-84,-86,-91,-200,-200,-200,-200,-200,-200
1526454181372,-25,-44,-43,-48,-57,-55,-60,-62,-53,-61,-60,-65,-54,-76,-200,-68,-58,-200,-58,-69,-200,-83,-84,-81,-200,-82,-200,-84,-75,-84,-86,-91,-86,-200,-200,-200,-200,-200
