,011e.0012-vlucci.com A1.4.0.1,011f.0012-vlucci.com A1.4.0.1,0125.0012-vlucci.com A1.4.0.1,0121.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:78:68,F4:B8:5E:AA:77:7A,F4:B8:5E:AA:79:21,F4:B8:5E:AA:79:6C
1526460026731,-90,-80,-200,-200
1526460026842,-90,-81,-200,-200
1526460026958,-89,-200,-200,-200
1526460027061,-90,-73,-200,-200
1526460031837,-200,-73,-200,-200
1526460032042,-200,-73,-200,-200
1526460036643,-94,-72,-96,-200
1526460036966,-91,-71,-200,-200
1526460037071,-200,-71,-200,-200
1526460041597,-200,-79,-200,-99
1526460042023,-200,-78,-200,-200
1526460046632,-200,-75,-200,-200
1526460051980,-200,-72,-200,-200
1526460056623,-200,-82,-99,-200
1526460056853,-200,-82,-200,-200
1526460056959,-200,-82,-200,-96
1526460061567,-85,-71,-200,-200
1526460061669,-87,-70,-200,-200
1526460061776,-87,-70,-200,-200
1526460061886,-87,-71,-200,-200
1526460062000,-87,-71,-200,-97
1526460066872,-200,-75,-200,-99
1526460067061,-98,-74,-200,-200
1526460071589,-200,-74,-104,-200
1526460071695,-200,-73,-200,-200
1526460071898,-200,-75,-200,-200
1526460071999,-100,-73,-200,-200
1526460076607,-200,-72,-200,-200
1526460076816,-200,-74,-200,-200
1526460076923,-200,-73,-200,-200
1526460081615,-200,-74,-97,-98
1526460081739,-200,-75,-200,-200
1526460081841,-93,-75,-102,-200
1526460086863,-93,-76,-200,-200
1526460091564,-90,-77,-200,-200
1526460091673,-91,-77,-200,-200
1526460091776,-90,-75,-200,-200
1526460091933,-89,-77,-200,-200
1526460092040,-91,-200,-200,-200
