,0121.0012-vlucci.com A1.4.0.1,011e.0012-vlucci.com A1.4.0.1,011f.0012-vlucci.com A1.4.0.1,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:79:6C,F4:B8:5E:AA:78:68,F4:B8:5E:AA:77:7A,F4:B8:5E:AA:79:21,78:A5:04:41:E9:E0
1526459952076,-77,-72,-200,-200,-200
1526459956602,-74,-200,-200,-200,-200
1526459956709,-75,-72,-76,-80,-200
1526459956814,-75,-200,-200,-200,-200
1526459956914,-75,-200,-200,-200,-200
1526459957008,-76,-73,-77,-90,-200
1526459961729,-200,-77,-72,-90,-200
1526459961838,-71,-78,-200,-91,-200
1526459961940,-200,-200,-200,-91,-200
1526459962039,-71,-200,-73,-92,-200
1526459966577,-75,-200,-200,-97,-200
1526459966683,-74,-73,-200,-99,-200
1526459966864,-200,-200,-80,-98,-200
1526459966995,-200,-73,-80,-96,-200
1526459967096,-75,-200,-81,-200,-200
1526459971599,-71,-81,-200,-200,-200
1526459971703,-71,-200,-73,-200,-200
1526459971843,-71,-82,-75,-95,-200
1526459971951,-72,-82,-74,-95,-200
1526459972046,-200,-82,-73,-200,-96
1526459976660,-70,-76,-74,-90,-200
1526459976902,-200,-78,-200,-91,-200
1526459977005,-70,-200,-73,-92,-200
1526459977114,-200,-75,-81,-92,-200
1526459981602,-75,-75,-81,-95,-200
1526459981703,-75,-76,-81,-95,-200
1526459981817,-75,-76,-82,-95,-200
1526459981966,-75,-76,-81,-95,-200
1526459986588,-71,-200,-74,-200,-200
1526459986691,-72,-82,-75,-200,-93
1526459986802,-200,-80,-74,-200,-94
1526459986942,-71,-82,-75,-200,-200
1526459987022,-72,-82,-73,-200,-200
1526459991578,-70,-74,-73,-200,-200
1526459991885,-70,-200,-74,-200,-200
1526459992018,-76,-75,-75,-200,-200
1526459996663,-75,-72,-79,-98,-200
1526459996763,-75,-72,-80,-200,-200
1526459996874,-76,-72,-80,-200,-200
1526459996968,-76,-72,-80,-99,-98
1526459997070,-78,-73,-80,-99,-200
1526460001594,-73,-76,-75,-92,-200
1526460001694,-73,-75,-75,-91,-92
1526460001788,-200,-75,-75,-93,-90
1526460001903,-73,-75,-75,-200,-92
1526460002015,-73,-200,-74,-200,-200
1526460006650,-71,-200,-73,-95,-200
1526460006797,-71,-77,-200,-200,-200
1526460007023,-71,-78,-73,-200,-200
1526460011665,-75,-77,-79,-95,-200
1526460011834,-75,-77,-79,-96,-200
1526460011940,-75,-76,-79,-97,-200
1526460012046,-75,-76,-200,-96,-200
1526460016588,-70,-83,-200,-200,-200
1526460016702,-72,-83,-75,-90,-92
1526460016793,-70,-83,-75,-200,-91
1526460016895,-70,-81,-75,-90,-93
1526460017055,-72,-83,-75,-200,-200
