,0125.0012-vlucci.com A1.4.0.1,011e.0012-vlucci.com A1.4.0.1,011a.0012-vlucci.com A1.4.0.1,0121.0012-vlucci.com A1.4.0.1,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:21,F4:B8:5E:AA:78:68,F4:B8:5E:AA:77:7E,F4:B8:5E:AA:79:6C,F4:B8:5E:AA:7A:38,78:A5:04:41:E9:E0,F4:B8:5E:AA:77:7A
1526459876730,-73,-89,-200,-200,-200,-200,-200
1526459876952,-72,-200,-81,-82,-200,-200,-200
1526459881620,-71,-200,-85,-83,-93,-93,-200
1526459881672,-200,-87,-85,-83,-93,-92,-200
1526459881775,-70,-88,-85,-83,-200,-200,-200
1526459881881,-71,-200,-85,-200,-92,-200,-200
1526459882010,-75,-200,-86,-87,-92,-93,-200
1526459886614,-76,-97,-94,-88,-94,-200,-99
1526459886710,-75,-200,-93,-88,-92,-200,-200
1526459886813,-75,-98,-93,-88,-95,-200,-99
1526459887021,-77,-200,-94,-88,-200,-200,-200
1526459887109,-200,-200,-200,-87,-200,-200,-200
1526459891672,-200,-200,-200,-83,-200,-200,-200
1526459891773,-72,-200,-200,-82,-200,-200,-200
1526459891878,-72,-200,-82,-83,-200,-200,-200
1526459892020,-72,-89,-83,-84,-200,-200,-200
1526459892088,-200,-86,-81,-83,-200,-200,-200
1526459896716,-200,-200,-82,-81,-200,-200,-92
1526459896818,-200,-200,-81,-200,-200,-200,-93
1526459896922,-70,-200,-81,-200,-200,-200,-200
1526459897035,-70,-85,-81,-89,-200,-200,-94
1526459901561,-77,-98,-90,-87,-95,-200,-97
1526459901748,-77,-97,-91,-89,-96,-200,-96
1526459901850,-77,-200,-89,-200,-200,-200,-96
1526459901958,-76,-99,-90,-88,-95,-200,-94
1526459902088,-72,-95,-83,-200,-95,-200,-200
1526459905913,-73,-200,-200,-83,-91,-200,-200
1526459906168,-72,-87,-200,-83,-92,-200,-200
1526459906360,-73,-89,-83,-84,-91,-200,-200
1526459906486,-200,-86,-82,-83,-92,-200,-200
1526459906587,-71,-88,-82,-82,-200,-200,-95
1526459906696,-70,-200,-82,-85,-200,-200,-200
1526459906825,-71,-87,-82,-84,-94,-200,-200
1526459906931,-71,-200,-82,-86,-94,-200,-200
1526459907021,-71,-87,-200,-86,-95,-200,-200
1526459907200,-72,-87,-82,-86,-94,-200,-200
1526459907302,-72,-88,-82,-85,-93,-200,-97
1526459907480,-72,-200,-200,-200,-93,-200,-200
1526459907573,-76,-83,-200,-200,-93,-92,-200
1526459907682,-75,-200,-78,-200,-94,-92,-200
1526459907784,-200,-200,-78,-88,-92,-200,-91
1526459907960,-75,-200,-78,-200,-91,-200,-92
1526459908234,-74,-84,-200,-84,-94,-89,-200
1526459908542,-72,-200,-79,-200,-200,-200,-92
1526459908643,-74,-87,-81,-85,-200,-200,-94
1526459908788,-81,-85,-200,-83,-92,-200,-200
1526459908961,-81,-200,-83,-91,-91,-200,-200
1526459909160,-77,-200,-83,-200,-92,-200,-200
1526459909277,-79,-86,-200,-200,-200,-94,-200
1526459909388,-79,-200,-200,-85,-200,-92,-200
1526459909489,-79,-200,-82,-84,-91,-200,-200
1526459909595,-79,-87,-200,-200,-200,-95,-200
1526459909698,-80,-88,-81,-85,-91,-92,-200
1526459909825,-76,-89,-200,-200,-200,-95,-200
1526459909995,-76,-200,-200,-200,-92,-92,-200
1526459910094,-75,-200,-200,-200,-90,-92,-200
1526459910300,-75,-87,-81,-200,-90,-92,-200
1526459910573,-77,-200,-80,-200,-200,-93,-200
1526459910727,-77,-200,-80,-84,-93,-94,-200
1526459910991,-200,-200,-82,-85,-200,-93,-200
1526459911091,-77,-87,-81,-84,-91,-94,-200
1526459911322,-76,-200,-82,-83,-200,-200,-200
1526459911423,-77,-87,-80,-84,-92,-94,-200
1526459911540,-200,-200,-81,-85,-200,-200,-200
1526459911640,-76,-90,-87,-81,-89,-95,-200
1526459911757,-75,-88,-80,-82,-200,-200,-200
1526459911837,-73,-88,-83,-82,-90,-200,-200
1526459911946,-73,-89,-82,-83,-90,-200,-200
1526459912139,-72,-90,-85,-85,-92,-97,-200
1526459916630,-72,-88,-86,-90,-200,-97,-200
1526459916834,-71,-87,-86,-200,-93,-200,-200
1526459917055,-71,-200,-87,-88,-91,-200,-94
1526459921607,-200,-200,-94,-200,-94,-200,-200
1526459921714,-200,-200,-94,-99,-94,-200,-200
1526459921855,-76,-200,-95,-200,-95,-200,-200
1526459921962,-200,-200,-95,-200,-92,-200,-200
1526459922074,-76,-200,-200,-200,-93,-200,-200
1526459926591,-73,-92,-83,-85,-200,-200,-200
1526459926747,-73,-200,-200,-84,-200,-200,-200
1526459926884,-71,-200,-83,-85,-93,-200,-200
1526459927053,-200,-200,-82,-200,-95,-200,-200
1526459931571,-200,-200,-83,-200,-92,-200,-200
1526459931681,-200,-200,-83,-200,-200,-200,-200
1526459931887,-200,-86,-83,-200,-92,-200,-200
1526459932020,-78,-200,-200,-85,-93,-200,-92
1526459936611,-78,-88,-200,-91,-200,-99,-92
1526459936868,-77,-88,-90,-90,-200,-200,-93
1526459937081,-77,-88,-200,-200,-200,-200,-200
1526459941619,-74,-200,-85,-84,-200,-93,-200
1526459941728,-73,-200,-86,-83,-200,-200,-200
1526459941840,-73,-90,-86,-83,-200,-200,-200
1526459941949,-200,-200,-86,-83,-200,-200,-200
