,011a.0012-vlucci.com A1.4.0.1,0125.0012-vlucci.com A1.4.0.1,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:77:7E,F4:B8:5E:AA:79:21,F4:B8:5E:AA:7A:38,78:A5:04:41:E9:8A,78:A5:04:41:E5:62
1526459801725,-79,-78,-82,-200,-200
1526459801826,-79,-77,-81,-200,-200
1526459801928,-79,-200,-81,-200,-200
1526459802035,-79,-200,-81,-200,-200
1526459806591,-84,-200,-78,-101,-98
1526459806665,-200,-81,-79,-102,-99
1526459806774,-83,-82,-80,-200,-102
1526459806937,-83,-81,-200,-200,-200
1526459807048,-82,-81,-84,-200,-200
1526459811590,-93,-81,-200,-200,-91
1526459811805,-92,-81,-200,-200,-90
1526459812004,-89,-200,-78,-200,-90
1526459812112,-87,-85,-200,-200,-96
1526459816741,-200,-86,-200,-200,-200
1526459816845,-82,-86,-74,-200,-200
1526459816963,-82,-85,-200,-200,-200
1526459817073,-82,-200,-74,-200,-200
1526459821596,-79,-79,-77,-200,-200
1526459821695,-78,-80,-76,-200,-200
1526459821794,-78,-80,-77,-200,-200
1526459821897,-77,-80,-77,-200,-97
1526459822008,-79,-78,-77,-200,-200
1526459826639,-200,-81,-82,-200,-200
1526459826737,-200,-82,-83,-200,-90
1526459826951,-94,-82,-200,-200,-200
1526459831579,-81,-85,-74,-200,-200
1526459831718,-82,-200,-73,-200,-200
1526459831822,-80,-200,-73,-200,-200
1526459831920,-77,-84,-73,-200,-200
1526459836575,-76,-89,-81,-200,-94
1526459836792,-77,-92,-80,-200,-97
1526459836901,-77,-87,-80,-200,-95
1526459837012,-200,-86,-200,-200,-200
1526459841625,-200,-89,-81,-200,-200
1526459841728,-81,-90,-81,-200,-200
1526459841955,-80,-90,-80,-200,-200
1526459842055,-81,-200,-79,-200,-200
1526459844973,-81,-89,-80,-200,-200
1526459845081,-200,-200,-79,-200,-200
1526459845286,-82,-89,-80,-200,-200
1526459845392,-81,-200,-79,-200,-200
1526459845500,-80,-200,-80,-200,-200
1526459845634,-79,-200,-79,-200,-200
1526459846063,-80,-87,-79,-200,-200
1526459846441,-200,-89,-79,-200,-200
1526459846549,-82,-88,-80,-200,-200
1526459846657,-80,-94,-80,-200,-200
1526459846757,-78,-90,-80,-200,-96
1526459846903,-79,-90,-80,-200,-200
1526459846963,-200,-90,-78,-200,-200
1526459847076,-79,-89,-80,-200,-200
1526459847186,-200,-88,-200,-200,-200
1526459847278,-79,-89,-79,-200,-200
1526459847408,-79,-87,-80,-200,-96
1526459847591,-79,-89,-80,-200,-94
1526459847696,-77,-89,-80,-200,-200
1526459847903,-77,-87,-200,-200,-95
1526459848323,-200,-87,-200,-200,-200
1526459848534,-200,-87,-79,-200,-200
1526459848642,-79,-87,-79,-200,-200
1526459848861,-200,-89,-78,-200,-200
1526459848992,-79,-200,-79,-200,-200
1526459849326,-79,-200,-79,-200,-200
1526459849404,-200,-84,-79,-200,-200
1526459849518,-200,-86,-79,-200,-200
1526459849626,-200,-85,-78,-200,-200
1526459849722,-200,-200,-79,-200,-200
1526459849829,-200,-84,-79,-200,-200
1526459850005,-200,-85,-77,-200,-200
1526459850102,-200,-83,-77,-200,-200
1526459850203,-76,-83,-76,-200,-200
1526459850374,-76,-82,-75,-200,-200
1526459850474,-77,-200,-75,-200,-200
1526459850562,-77,-200,-75,-200,-200
1526459850769,-79,-70,-78,-200,-200
1526459851038,-79,-86,-200,-200,-200
1526459851571,-200,-82,-200,-200,-200
1526459851677,-79,-84,-75,-200,-200
1526459851780,-79,-84,-77,-200,-200
1526459851892,-200,-83,-200,-200,-200
1526459851999,-79,-85,-77,-200,-200
1526459856559,-200,-200,-83,-200,-97
1526459856666,-84,-200,-83,-200,-200
1526459856769,-85,-200,-82,-200,-97
1526459856880,-85,-200,-84,-200,-98
1526459857042,-84,-88,-83,-200,-200
1526459861605,-81,-200,-83,-200,-200
1526459861709,-81,-86,-82,-200,-200
1526459861921,-84,-84,-79,-200,-200
1526459862019,-84,-200,-80,-200,-200
