,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:47:3D,78:A5:04:41:E7:93,78:A5:04:41:E5:70,78:A5:04:41:EB:DD,BC:6A:29:BE:2F:12,78:A5:04:41:EE:15,78:A5:04:41:E7:A2,7C:66:9D:7B:2B:BA,78:A5:04:41:EB:CE,BC:6A:29:BE:31:61
1526447188590,-94,-65,-92,-68,-90,-200,-200,-200,-200,-200
1526447188724,-200,-65,-200,-200,-200,-92,-200,-200,-200,-200
1526447188809,-200,-65,-200,-68,-95,-200,-70,-86,-200,-200
1526447193465,-200,-68,-200,-77,-200,-200,-68,-86,-88,-200
1526447193565,-200,-68,-200,-75,-200,-200,-68,-85,-200,-200
1526447193676,-200,-68,-200,-73,-200,-200,-68,-200,-200,-96
1526447193779,-200,-70,-200,-75,-200,-200,-67,-85,-87,-96
1526447193884,-200,-200,-200,-200,-91,-200,-67,-200,-200,-200
1526447198688,-200,-200,-200,-200,-98,-200,-73,-200,-84,-200
1526447198988,-200,-72,-200,-70,-89,-200,-70,-200,-84,-200
1526447199107,-200,-74,-200,-69,-89,-200,-72,-200,-85,-200
1526447199253,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200
1526447203454,-200,-78,-200,-69,-200,-87,-67,-200,-200,-91
1526447203541,-200,-77,-200,-69,-92,-87,-66,-200,-90,-90
1526447203645,-200,-200,-200,-69,-90,-86,-65,-90,-200,-200
1526447203771,-200,-200,-200,-74,-90,-86,-65,-91,-200,-200
1526447203864,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526447208485,-200,-200,-200,-80,-200,-200,-82,-200,-200,-200
1526447208590,-200,-200,-200,-80,-200,-200,-82,-200,-200,-103
1526447208700,-200,-200,-200,-80,-200,-200,-81,-200,-200,-103
1526447208815,-200,-200,-200,-81,-200,-200,-82,-200,-200,-200
1526447208905,-200,-200,-200,-81,-200,-200,-88,-200,-200,-200
1526447213518,-200,-200,-200,-84,-200,-200,-89,-200,-200,-200
1526447213620,-200,-200,-200,-84,-200,-200,-90,-200,-200,-200
1526447213758,-200,-200,-200,-84,-200,-200,-87,-200,-200,-200
1526447213858,-200,-88,-200,-200,-200,-200,-88,-200,-200,-200
1526447218473,-200,-89,-200,-90,-200,-200,-77,-200,-200,-98
1526447218553,-200,-87,-200,-200,-200,-200,-77,-200,-200,-200
1526447218676,-200,-88,-200,-200,-200,-200,-77,-200,-200,-200
1526447218776,-200,-88,-200,-200,-200,-200,-77,-200,-200,-200
1526447218872,-200,-85,-200,-80,-200,-200,-77,-200,-200,-200
1526447223495,-200,-85,-200,-80,-200,-200,-77,-200,-200,-102
1526447223783,-200,-84,-200,-81,-200,-200,-77,-200,-200,-101
1526447223898,-200,-84,-200,-89,-200,-200,-82,-200,-200,-200
1526447228612,-200,-200,-200,-90,-200,-200,-81,-200,-200,-200
1526447228717,-200,-200,-200,-89,-200,-200,-82,-200,-200,-200
1526447228817,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526447228921,-200,-82,-200,-200,-200,-200,-81,-200,-200,-200
1526447233471,-200,-200,-200,-82,-200,-200,-80,-200,-200,-200
1526447233557,-200,-200,-200,-82,-200,-200,-80,-200,-200,-101
1526447233660,-200,-82,-200,-82,-200,-200,-81,-200,-200,-200
1526447233873,-200,-82,-200,-81,-200,-200,-81,-200,-200,-200
1526447238474,-200,-85,-200,-80,-200,-200,-83,-200,-200,-200
1526447238563,-200,-84,-200,-80,-200,-200,-83,-200,-200,-200
1526447238665,-200,-200,-200,-79,-200,-200,-83,-200,-200,-200
1526447238769,-200,-84,-200,-80,-200,-200,-83,-200,-200,-200
1526447238937,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526447243454,-200,-90,-200,-85,-200,-200,-200,-200,-200,-200
1526447243750,-200,-88,-200,-87,-200,-200,-79,-200,-200,-200
1526447243890,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200
1526447248895,-200,-84,-200,-80,-200,-200,-83,-200,-200,-200
1526447248993,-200,-84,-200,-80,-200,-200,-82,-200,-200,-200
1526447249102,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526447249210,-200,-84,-200,-81,-200,-200,-200,-200,-200,-200
