,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,null
,78:A5:04:41:E7:93,78:A5:04:41:EB:DD,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:BA,78:A5:04:41:EE:15,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:CB,7C:66:9D:7B:47:3D
1526447568542,-75,-77,-91,-68,-89,-200,-200,-200,-200,-200
1526447568650,-74,-77,-92,-69,-88,-200,-200,-200,-200,-200
1526447568776,-200,-77,-90,-68,-88,-200,-200,-200,-200,-200
1526447573444,-200,-79,-92,-61,-200,-87,-200,-200,-200,-200
1526447573537,-81,-79,-92,-61,-86,-200,-93,-99,-200,-200
1526447573653,-81,-79,-92,-61,-200,-88,-200,-200,-200,-200
1526447573761,-81,-80,-92,-200,-85,-87,-200,-200,-200,-200
1526447573857,-80,-200,-200,-62,-85,-200,-200,-200,-200,-200
1526447578501,-81,-200,-92,-200,-86,-200,-88,-97,-200,-200
1526447578601,-80,-74,-200,-62,-86,-200,-87,-200,-200,-200
1526447578721,-81,-74,-200,-62,-85,-200,-88,-95,-92,-200
1526447578863,-200,-200,-85,-62,-200,-200,-88,-200,-200,-200
1526447583558,-200,-78,-101,-200,-200,-200,-93,-200,-200,-97
1526447583819,-200,-78,-200,-200,-87,-200,-90,-101,-200,-97
1526447583940,-84,-200,-89,-59,-85,-86,-200,-200,-200,-96
1526447584043,-84,-200,-90,-60,-86,-200,-87,-200,-200,-200
1526447588461,-79,-69,-90,-200,-85,-200,-87,-96,-90,-200
1526447588545,-79,-70,-200,-61,-200,-200,-200,-94,-200,-200
1526447588659,-79,-69,-90,-61,-200,-200,-88,-95,-200,-200
1526447588768,-80,-70,-200,-61,-86,-200,-200,-94,-200,-200
1526447588879,-200,-69,-92,-200,-89,-200,-200,-200,-200,-200
1526447593578,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526447593678,-200,-200,-92,-200,-89,-200,-200,-200,-200,-101
1526447593898,-200,-200,-91,-69,-90,-200,-200,-200,-200,-200
1526447593988,-200,-200,-92,-200,-200,-200,-200,-101,-200,-95
1526447598516,-200,-78,-90,-200,-200,-86,-200,-200,-200,-200
1526447598624,-84,-78,-90,-60,-87,-86,-91,-200,-200,-94
1526447598721,-83,-78,-90,-60,-86,-86,-200,-200,-92,-96
1526447598835,-83,-78,-90,-60,-86,-87,-88,-101,-92,-200
1526447603458,-200,-200,-90,-60,-84,-200,-200,-96,-200,-200
1526447603555,-79,-200,-90,-60,-84,-200,-200,-98,-200,-200
1526447603663,-78,-200,-90,-200,-85,-200,-87,-95,-200,-200
1526447603874,-79,-200,-91,-61,-89,-200,-200,-200,-90,-200
1526447608489,-74,-77,-89,-70,-89,-200,-200,-200,-200,-99
1526447608581,-74,-77,-89,-70,-89,-200,-200,-200,-200,-200
1526447608710,-74,-77,-200,-200,-89,-200,-200,-200,-200,-98
1526447608856,-74,-78,-200,-200,-88,-200,-200,-200,-200,-200
1526447613445,-200,-78,-90,-60,-88,-85,-200,-200,-200,-200
1526447613577,-200,-77,-90,-200,-88,-85,-200,-200,-200,-200
1526447613677,-88,-200,-90,-61,-200,-85,-92,-200,-92,-94
1526447613779,-200,-78,-90,-61,-88,-85,-200,-200,-200,-200
1526447613887,-200,-200,-91,-200,-86,-85,-200,-200,-200,-200
1526447618550,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526447618657,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526447618756,-85,-200,-91,-60,-85,-200,-200,-98,-91,-200
1526447618852,-85,-74,-92,-60,-85,-200,-200,-200,-92,-200
1526447618974,-200,-74,-90,-60,-200,-200,-200,-97,-200,-200
1526447619109,-200,-200,-88,-60,-85,-200,-200,-200,-200,-200
1526447623454,-74,-79,-88,-72,-89,-200,-200,-200,-200,-99
1526447623574,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200
1526447623667,-74,-80,-200,-200,-88,-200,-200,-200,-200,-98
1526447623789,-200,-79,-91,-200,-89,-200,-200,-200,-200,-99
1526447628442,-200,-78,-89,-60,-200,-200,-90,-200,-200,-96
1526447628537,-84,-78,-89,-60,-86,-85,-200,-200,-200,-98
1526447628653,-84,-78,-89,-60,-87,-86,-91,-200,-200,-94
1526447628765,-84,-78,-90,-60,-86,-86,-200,-94,-94,-200
1526447633481,-79,-69,-90,-61,-85,-92,-200,-96,-90,-200
1526447633585,-200,-70,-91,-61,-86,-200,-200,-200,-200,-200
1526447633692,-79,-200,-90,-200,-85,-200,-89,-200,-200,-200
1526447633808,-200,-69,-90,-61,-85,-200,-200,-200,-200,-200
