,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:93,78:A5:04:41:EB:DD,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:E7:A2,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:BA,78:A5:04:41:EE:15,78:A5:04:41:EE:1D,78:A5:04:41:EB:CE
1526447723580,-65,-68,-96,-200,-200,-200,-200,-200,-200,-200
1526447723676,-68,-66,-101,-98,-64,-200,-200,-200,-200,-200
1526447723780,-64,-66,-200,-200,-62,-89,-200,-200,-200,-200
1526447723885,-60,-67,-97,-200,-75,-200,-89,-200,-200,-200
1526447728522,-65,-69,-200,-200,-76,-95,-90,-200,-200,-200
1526447728625,-65,-69,-200,-200,-200,-94,-200,-200,-200,-200
1526447728751,-66,-68,-200,-200,-77,-94,-200,-200,-200,-200
1526447728858,-67,-65,-200,-200,-78,-200,-200,-90,-88,-200
1526447733569,-81,-66,-200,-200,-78,-200,-200,-200,-88,-200
1526447733668,-69,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526447733770,-69,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526447733875,-69,-200,-200,-200,-78,-100,-91,-200,-88,-200
1526447738463,-84,-69,-200,-200,-68,-97,-91,-200,-200,-200
1526447738567,-200,-69,-95,-200,-200,-99,-200,-200,-200,-200
1526447738677,-85,-81,-200,-200,-200,-97,-200,-200,-200,-92
1526447738792,-85,-200,-95,-200,-68,-96,-200,-200,-200,-200
1526447738897,-85,-200,-99,-200,-68,-200,-200,-200,-200,-200
1526447743510,-82,-68,-200,-200,-79,-93,-200,-200,-200,-200
1526447743610,-82,-67,-200,-200,-79,-95,-200,-200,-200,-200
1526447743719,-81,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526447743824,-81,-68,-200,-200,-80,-95,-200,-200,-200,-200
1526447748472,-73,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447748559,-72,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447748708,-74,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447748806,-73,-64,-96,-200,-200,-200,-200,-200,-90,-200
1526447753518,-81,-74,-95,-200,-68,-200,-90,-200,-200,-200
1526447753618,-81,-82,-95,-200,-68,-200,-91,-200,-200,-200
1526447753727,-81,-200,-95,-200,-68,-200,-200,-200,-200,-200
1526447753823,-81,-75,-96,-200,-68,-97,-200,-200,-200,-200
1526447753942,-81,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526447758692,-80,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526447758795,-79,-66,-200,-200,-85,-200,-200,-200,-200,-200
1526447758913,-73,-65,-200,-200,-69,-95,-200,-200,-200,-200
1526447763520,-72,-64,-200,-200,-69,-200,-200,-200,-200,-200
1526447763627,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447763745,-73,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447763834,-200,-64,-200,-200,-69,-200,-200,-200,-200,-200
1526447768468,-200,-200,-93,-200,-68,-200,-92,-200,-200,-200
1526447768562,-200,-76,-96,-200,-68,-96,-200,-200,-200,-200
1526447768665,-81,-76,-96,-200,-67,-98,-200,-200,-200,-200
1526447768768,-83,-76,-200,-200,-68,-97,-200,-200,-200,-200
1526447768861,-77,-76,-99,-200,-68,-95,-200,-200,-200,-200
1526447773625,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200
1526447773731,-200,-200,-100,-200,-88,-96,-200,-200,-200,-200
1526447773826,-78,-200,-99,-102,-200,-96,-89,-200,-200,-200
1526447773974,-77,-66,-200,-100,-200,-95,-200,-200,-200,-200
1526447774075,-77,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447778502,-76,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447778612,-76,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447778720,-75,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526447778857,-75,-64,-200,-200,-200,-94,-200,-200,-200,-200
1526447783576,-200,-200,-99,-200,-200,-94,-200,-200,-200,-200
1526447783675,-200,-200,-200,-200,-200,-94,-88,-200,-200,-200
1526447783781,-200,-64,-100,-200,-200,-94,-200,-200,-200,-200
1526447784106,-200,-200,-99,-200,-200,-95,-200,-200,-200,-200
1526447784219,-200,-200,-200,-200,-200,-95,-91,-200,-200,-200
1526447784317,-200,-64,-200,-200,-200,-95,-87,-200,-200,-200
