,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f5,74:da:da:c0:f4:69,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c0:f3:01,74:da:da:c0:e2:d9,0c:73:eb:d0:11:f8,74:da:da:c1:48:bd,0c:73:eb:d0:7f:18,74:da:da:c1:3c:99,0c:73:eb:d0:7c:10,74:da:da:c0:d7:19,0c:73:eb:d0:7e:e0,74:da:da:c1:4b:01,74:da:da:c1:4b:59,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:08,74:da:da:c1:3c:dd,74:da:da:98:91:d4,0c:73:eb:d0:7c:38,0c:73:eb:d0:7c:30,74:da:da:c1:3b:49,74:da:da:c1:3c:51,74:da:da:98:92:14,74:da:da:c1:3c:e1,74:da:da:c1:3a:81,0c:73:eb:d0:11:e0,74:da:da:c1:4a:f5,0c:73:eb:d0:7f:10,74:da:da:c1:4b:05,0c:73:eb:d0:13:a8,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:f8,74:da:da:c0:f2:fd,0c:73:eb:d0:7c:48,0c:73:eb:d0:7a:68,74:da:da:c1:56:a1,74:da:da:c1:3a:dd,74:da:da:98:8d:78,0c:73:eb:d0:7f:08,74:da:da:c1:56:ed
1526459841690,-47,-48,-48,-54,-57,-61,-61,-65,-65,-67,-68,-69,-69,-70,-72,-73,-75,-76,-80,-80,-81,-82,-82,-82,-85,-86,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459844727,-57,-44,-48,-51,-69,-65,-68,-66,-67,-67,-68,-67,-74,-75,-72,-66,-67,-74,-80,-80,-70,-73,-82,-82,-85,-69,-88,-88,-72,-77,-78,-80,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459847769,-57,-44,-48,-51,-69,-65,-68,-66,-67,-67,-68,-67,-74,-75,-72,-66,-67,-74,-80,-80,-70,-73,-82,-82,-85,-69,-88,-88,-72,-77,-78,-80,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459850809,-57,-44,-48,-51,-69,-65,-68,-66,-67,-67,-68,-67,-74,-75,-72,-66,-67,-74,-80,-80,-70,-73,-82,-82,-85,-69,-88,-88,-72,-77,-78,-80,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459853850,-59,-47,-49,-50,-69,-65,-71,-73,-67,-76,-200,-66,-73,-78,-74,-69,-64,-74,-200,-78,-66,-71,-200,-83,-200,-68,-85,-200,-72,-77,-78,-79,-84,-86,-70,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526459856878,-57,-47,-49,-50,-69,-66,-67,-68,-66,-76,-75,-66,-75,-79,-74,-71,-65,-73,-200,-78,-66,-71,-200,-83,-200,-68,-85,-200,-72,-77,-78,-79,-84,-85,-70,-75,-89,-200,-200,-200,-200,-200,-200,-200
1526459859921,-57,-47,-49,-50,-69,-66,-67,-68,-66,-76,-75,-66,-75,-79,-74,-71,-65,-73,-200,-78,-66,-71,-200,-83,-200,-68,-85,-200,-72,-77,-78,-79,-84,-85,-70,-75,-89,-200,-200,-200,-200,-200,-200,-200
1526459862962,-57,-47,-49,-50,-69,-66,-67,-68,-66,-76,-75,-66,-75,-79,-74,-71,-65,-73,-200,-78,-66,-71,-200,-83,-200,-68,-85,-200,-72,-77,-78,-79,-84,-85,-70,-75,-89,-200,-200,-200,-200,-200,-200,-200
1526459866009,-57,-51,-49,-50,-70,-67,-70,-67,-65,-80,-73,-66,-75,-79,-73,-66,-67,-72,-200,-82,-67,-73,-200,-83,-200,-67,-200,-200,-73,-82,-77,-79,-200,-85,-69,-75,-85,-84,-85,-85,-88,-200,-200,-200
