,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E0,78:A5:04:41:EB:85,78:A5:04:41:EB:B7,78:A5:04:41:E7:FE,78:A5:04:41:EB:94,78:A5:04:41:EB:FE,78:A5:04:41:E7:81,78:A5:04:41:EB:AC
1526463737726,-81,-83,-200,-200,-200,-200,-200,-200
1526463737845,-81,-200,-200,-200,-200,-200,-200,-200
1526463738050,-84,-81,-92,-200,-200,-200,-200,-200
1526463742646,-89,-85,-200,-92,-200,-200,-200,-200
1526463742904,-200,-85,-200,-92,-91,-200,-200,-200
1526463743041,-200,-84,-200,-200,-200,-200,-200,-200
1526463747629,-200,-78,-200,-200,-200,-200,-200,-200
1526463747740,-200,-78,-200,-200,-200,-200,-200,-200
1526463747837,-200,-78,-200,-200,-200,-91,-200,-200
1526463752637,-79,-82,-91,-200,-200,-200,-200,-200
1526463752839,-79,-82,-200,-200,-200,-200,-200,-200
1526463752940,-84,-82,-200,-92,-200,-200,-200,-200
1526463757885,-200,-83,-200,-200,-200,-200,-200,-200
1526463757991,-84,-85,-200,-200,-200,-200,-200,-200
1526463767771,-84,-200,-200,-200,-200,-200,-91,-200
1526463767870,-84,-83,-200,-200,-88,-200,-200,-200
1526463772692,-84,-85,-200,-200,-200,-200,-200,-200
1526463773350,-85,-86,-200,-200,-200,-200,-200,-200
1526463777745,-86,-83,-200,-200,-88,-200,-200,-200
1526463777947,-86,-83,-200,-200,-88,-200,-200,-200
1526463778076,-88,-77,-200,-200,-88,-90,-200,-92
1526463782784,-87,-77,-89,-200,-90,-91,-200,-200
1526463783013,-200,-77,-200,-200,-200,-200,-200,-200
1526463787637,-88,-85,-200,-200,-200,-200,-200,-200
1526463787737,-88,-85,-200,-200,-200,-200,-200,-200
1526463787846,-200,-85,-93,-200,-200,-200,-200,-200
1526463788050,-200,-84,-200,-200,-200,-200,-200,-200
1526463792678,-200,-82,-200,-200,-88,-200,-200,-200
1526463792780,-200,-82,-200,-200,-200,-200,-200,-200
1526463792886,-200,-82,-200,-200,-200,-200,-93,-200
1526463792983,-200,-82,-200,-200,-200,-200,-200,-200
1526463793099,-87,-82,-200,-200,-200,-200,-200,-200
1526463797718,-89,-88,-200,-200,-200,-200,-200,-200
1526463798044,-87,-88,-200,-200,-200,-200,-200,-200
