,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:EB:94,78:A5:04:41:EB:D1,7C:66:9D:7B:47:FC,78:A5:04:41:E9:E0,78:A5:04:41:EB:B7,78:A5:04:41:EB:D8,7C:66:9D:7B:2E:21,78:A5:04:41:EB:85,78:A5:04:41:E9:A5,78:A5:04:41:EB:E8,78:A5:04:41:E7:81
1526463812766,-84,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463812873,-84,-82,-94,-98,-90,-200,-200,-200,-200,-200,-200,-200
1526463813001,-200,-82,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526463817632,-200,-80,-200,-200,-200,-88,-85,-102,-200,-200,-200,-200
1526463817829,-200,-80,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526463817947,-84,-200,-200,-200,-200,-88,-85,-200,-200,-200,-200,-200
1526463827682,-85,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463827790,-85,-80,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526463827902,-86,-80,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526463828001,-86,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463832695,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463832790,-80,-79,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200
1526463832907,-80,-79,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200
1526463833098,-80,-80,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526463837701,-84,-82,-200,-200,-90,-200,-92,-200,-200,-200,-200,-200
1526463837819,-85,-200,-200,-200,-90,-200,-93,-200,-200,-200,-200,-200
1526463837926,-85,-82,-200,-200,-90,-200,-92,-200,-200,-200,-200,-200
1526463838040,-85,-80,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526463842668,-87,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463842770,-88,-80,-94,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526463842868,-88,-80,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526463843035,-87,-80,-200,-200,-200,-88,-200,-200,-92,-200,-200,-200
1526463847641,-80,-80,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200
1526463847758,-200,-79,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526463847860,-81,-79,-200,-200,-200,-88,-85,-200,-200,-89,-200,-200
1526463847984,-81,-200,-200,-200,-200,-88,-200,-200,-200,-89,-200,-200
1526463852661,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463852770,-83,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526463852877,-83,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526463852988,-83,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526463857661,-83,-82,-93,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526463857754,-84,-83,-200,-200,-89,-200,-200,-200,-200,-94,-200,-200
1526463857932,-84,-83,-200,-100,-90,-200,-200,-200,-200,-200,-200,-200
1526463858035,-84,-200,-200,-97,-84,-200,-200,-94,-89,-200,-94,-200
1526463862743,-79,-76,-200,-97,-200,-200,-200,-200,-200,-200,-200,-89
1526463862845,-78,-77,-200,-98,-84,-200,-200,-95,-88,-200,-200,-200
1526463863040,-78,-200,-200,-99,-90,-200,-200,-200,-89,-200,-200,-200
1526463867678,-86,-90,-200,-200,-91,-200,-200,-200,-89,-200,-200,-200
1526463867833,-87,-82,-200,-200,-92,-200,-200,-200,-90,-200,-200,-200
1526463872670,-91,-82,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200
