,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null
,7C:66:9D:7B:47:3D,78:A5:04:41:E9:D7,78:A5:04:41:EB:98,78:A5:04:41:E9:92,78:A5:04:41:E7:98,78:A5:04:41:E9:8A,78:A5:04:41:E5:62,78:A5:04:41:E7:EF,78:A5:04:41:E9:EB,78:A5:04:41:E7:D5,78:A5:04:41:E7:88,78:A5:04:41:EE:1D,78:A5:04:41:EE:15,78:A5:04:41:EB:CE,BC:6A:29:BE:31:7F,7C:66:9D:7B:47:FC
1526446589947,-92,-75,-66,-80,-66,-78,-76,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526446590058,-94,-200,-200,-80,-66,-200,-76,-81,-76,-60,-200,-200,-200,-200,-200,-200
1526446590188,-200,-200,-200,-80,-66,-78,-200,-200,-76,-200,-65,-200,-200,-200,-200,-200
1526446594820,-93,-75,-200,-80,-67,-74,-200,-79,-200,-60,-62,-87,-200,-200,-200,-200
1526446594942,-200,-75,-200,-200,-66,-74,-74,-79,-200,-59,-62,-200,-200,-200,-200,-200
1526446595077,-92,-75,-78,-80,-66,-74,-74,-79,-200,-59,-200,-200,-200,-200,-200,-200
1526446595215,-200,-200,-200,-78,-200,-200,-200,-79,-200,-60,-200,-200,-200,-200,-200,-200
1526446599845,-200,-200,-200,-78,-68,-78,-76,-87,-200,-73,-200,-200,-88,-200,-200,-200
1526446599943,-200,-85,-67,-78,-68,-200,-76,-200,-200,-72,-66,-200,-200,-200,-200,-200
1526446600055,-200,-85,-67,-78,-68,-78,-200,-88,-200,-73,-200,-200,-88,-200,-200,-200
1526446600146,-97,-85,-66,-200,-200,-200,-76,-87,-83,-72,-200,-200,-88,-200,-200,-200
1526446600250,-92,-75,-200,-200,-66,-74,-75,-200,-75,-72,-67,-200,-200,-200,-200,-200
