,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:CE,78:A5:04:41:E7:D5,78:A5:04:41:EB:98,78:A5:04:41:EE:15,78:A5:04:41:E9:EB,78:A5:04:41:E9:8A,78:A5:04:41:E7:98,78:A5:04:41:E7:88,78:A5:04:41:E7:EF,78:A5:04:41:E5:62,78:A5:04:41:E9:D7,78:A5:04:41:EE:1D,7C:66:9D:7B:47:3D,78:A5:04:41:E9:92,78:A5:04:41:E5:70
1526446437199,-80,-81,-65,-88,-82,-80,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526446437307,-79,-81,-64,-200,-82,-80,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526446437413,-79,-80,-64,-80,-83,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526446442099,-84,-62,-200,-200,-79,-200,-200,-70,-200,-79,-200,-200,-200,-200,-200
1526446442201,-200,-200,-200,-200,-80,-200,-200,-70,-77,-80,-200,-200,-200,-200,-200
1526446442329,-84,-62,-200,-79,-200,-200,-200,-69,-77,-79,-200,-200,-200,-200,-200
1526446442432,-84,-69,-74,-85,-200,-200,-84,-69,-200,-79,-200,-200,-200,-200,-200
1526446447183,-84,-69,-73,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446447330,-84,-200,-73,-86,-82,-80,-85,-72,-200,-200,-200,-200,-200,-200,-200
1526446447437,-84,-200,-200,-85,-200,-80,-85,-200,-81,-200,-87,-200,-200,-200,-200
1526446452098,-200,-76,-79,-82,-80,-78,-200,-76,-200,-78,-200,-88,-200,-200,-200
1526446452216,-200,-200,-200,-84,-80,-80,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526446452313,-83,-75,-200,-200,-200,-79,-74,-82,-200,-200,-200,-200,-98,-200,-200
1526446452427,-200,-200,-79,-200,-80,-200,-75,-67,-89,-85,-200,-200,-200,-200,-200
1526446457109,-200,-73,-73,-84,-80,-76,-75,-67,-200,-79,-200,-200,-200,-200,-200
1526446457213,-200,-73,-200,-85,-80,-76,-76,-67,-200,-78,-87,-200,-200,-200,-200
1526446457344,-200,-74,-74,-200,-81,-76,-76,-67,-200,-200,-88,-200,-200,-86,-200
1526446457434,-200,-73,-61,-86,-81,-76,-200,-68,-85,-200,-200,-200,-200,-86,-200
1526446462092,-85,-65,-62,-90,-79,-200,-78,-86,-200,-82,-200,-200,-200,-200,-87
1526446462203,-200,-66,-200,-200,-79,-200,-200,-200,-200,-82,-200,-200,-200,-200,-86
1526446462313,-85,-66,-200,-200,-200,-200,-78,-86,-85,-82,-89,-200,-200,-200,-87
1526446462413,-200,-66,-61,-200,-200,-200,-78,-85,-200,-81,-88,-200,-101,-200,-87
1526446467056,-83,-68,-200,-85,-79,-77,-70,-200,-82,-74,-200,-200,-200,-200,-200
