,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:2F:12,78:A5:04:41:E5:70,78:A5:04:41:E7:EF,78:A5:04:41:EE:1D,7C:66:9D:7B:47:3D,78:A5:04:41:E7:A2,BC:6A:29:BE:31:61,78:A5:04:41:E7:93,78:A5:04:41:EB:DD,7C:66:9D:7B:2B:CB,78:A5:04:41:EB:CE,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:98,78:A5:04:41:E7:88,78:A5:04:41:EE:15,78:A5:04:41:E7:D5,78:A5:04:41:E5:62
1526452791202,-83,-90,-72,-70,-83,-82,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452792314,-78,-89,-78,-200,-200,-200,-83,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452793424,-200,-200,-72,-200,-82,-74,-82,-200,-76,-79,-86,-200,-200,-200,-200,-200,-200,-200
1526452794522,-200,-200,-200,-69,-200,-87,-80,-74,-75,-79,-92,-81,-79,-200,-200,-200,-200,-200
1526452795653,-79,-200,-76,-70,-200,-200,-200,-77,-78,-84,-200,-200,-76,-200,-200,-200,-200,-200
1526452795738,-200,-200,-74,-81,-82,-74,-200,-76,-82,-78,-200,-93,-78,-200,-200,-200,-200,-200
1526452797967,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-92,-86,-200,-200,-200,-200,-200,-200
1526452799018,-82,-200,-200,-200,-200,-200,-82,-79,-90,-82,-200,-200,-200,-86,-200,-200,-200,-200
1526452800124,-85,-90,-200,-78,-86,-200,-200,-200,-200,-79,-87,-83,-81,-200,-97,-200,-200,-200
1526452801233,-200,-91,-200,-200,-95,-71,-81,-80,-86,-80,-200,-200,-77,-200,-200,-86,-200,-200
1526452802323,-87,-200,-71,-72,-86,-200,-74,-82,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200
1526452802423,-91,-200,-77,-72,-200,-200,-77,-81,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526452804527,-82,-200,-73,-75,-85,-73,-81,-75,-200,-82,-88,-200,-75,-200,-200,-83,-200,-200
1526452805617,-92,-92,-71,-200,-200,-76,-73,-200,-200,-200,-200,-200,-78,-200,-200,-94,-97,-200
1526452805721,-81,-200,-76,-72,-200,-200,-77,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526452806810,-85,-93,-200,-200,-200,-200,-82,-86,-200,-79,-88,-84,-200,-200,-200,-200,-200,-200
1526452807910,-200,-200,-72,-71,-200,-200,-72,-200,-200,-88,-86,-82,-200,-87,-93,-200,-94,-200
