,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:1D,78:A5:04:41:E5:62,78:A5:04:41:E7:A2,78:A5:04:41:EB:DD,7C:66:9D:7B:47:3D,BC:6A:29:BE:31:61,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:D5,78:A5:04:41:E7:93,78:A5:04:41:EB:CE,7C:66:9D:7B:46:8C,78:A5:04:41:E5:70,7C:66:9D:7B:2B:CB,78:A5:04:41:EE:15,78:A5:04:41:E7:88,78:A5:04:41:E7:EF,78:A5:04:41:EB:98,78:A5:04:41:E7:98
1526452574108,-72,-92,-80,-98,-82,-86,-91,-81,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452576326,-72,-200,-80,-200,-200,-79,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-200
1526452577413,-66,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-81,-87,-73,-80,-84,-200,-200,-200
1526452578539,-200,-90,-200,-200,-88,-77,-200,-200,-91,-200,-81,-79,-80,-200,-72,-86,-75,-94,-200
1526452579682,-200,-200,-82,-200,-82,-86,-96,-200,-86,-200,-200,-81,-87,-200,-67,-91,-80,-200,-200
1526452580823,-66,-200,-200,-200,-77,-80,-200,-200,-200,-200,-88,-200,-200,-70,-200,-82,-200,-200,-200
1526452580944,-66,-200,-200,-200,-82,-84,-200,-80,-200,-86,-86,-200,-84,-200,-200,-91,-200,-200,-200
1526452583022,-66,-92,-200,-200,-200,-200,-80,-80,-200,-200,-90,-200,-200,-70,-200,-84,-74,-200,-91
1526452584110,-70,-86,-200,-200,-91,-79,-200,-76,-200,-200,-200,-200,-200,-65,-70,-84,-200,-200,-90
1526452585250,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-85,-72,-200,-94,-83,-200,-200
1526452586311,-66,-200,-200,-89,-83,-80,-200,-200,-200,-80,-85,-200,-200,-68,-200,-200,-74,-200,-89
1526452587407,-200,-200,-200,-200,-85,-80,-200,-77,-200,-80,-200,-85,-200,-200,-67,-200,-86,-200,-87
1526452588513,-74,-91,-79,-200,-200,-200,-85,-80,-200,-200,-200,-78,-200,-200,-200,-200,-83,-200,-200
1526452588618,-66,-200,-200,-200,-81,-80,-200,-80,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526452589662,-70,-200,-200,-200,-78,-82,-79,-80,-95,-200,-200,-82,-200,-66,-80,-200,-200,-200,-200
1526452590832,-200,-200,-200,-89,-200,-84,-200,-200,-87,-200,-78,-200,-200,-75,-80,-200,-200,-200,-88
1526452591918,-200,-200,-200,-84,-79,-200,-82,-200,-200,-81,-200,-91,-76,-65,-200,-90,-73,-200,-93
1526452593007,-200,-200,-200,-88,-79,-200,-86,-80,-83,-81,-200,-200,-200,-200,-200,-85,-200,-90,-89
1526452594124,-200,-200,-200,-88,-81,-200,-81,-200,-82,-80,-200,-200,-200,-76,-75,-200,-200,-200,-200
1526452595268,-69,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-84,-200,-79,-200,-200,-200,-200
1526452596329,-200,-200,-87,-200,-200,-83,-82,-75,-200,-200,-200,-82,-200,-67,-74,-200,-73,-88,-200
1526452598518,-200,-200,-79,-200,-81,-82,-81,-81,-200,-87,-200,-81,-200,-67,-200,-86,-200,-200,-91
1526452599667,-65,-88,-200,-87,-81,-87,-79,-200,-84,-200,-200,-200,-85,-200,-74,-200,-200,-88,-200
1526452599779,-74,-200,-200,-200,-200,-84,-82,-200,-200,-200,-200,-83,-200,-200,-82,-88,-200,-200,-200
1526452600851,-72,-87,-200,-200,-82,-84,-78,-200,-200,-78,-77,-200,-74,-66,-200,-200,-78,-200,-200
1526452601918,-200,-200,-200,-87,-82,-200,-200,-81,-82,-200,-200,-200,-83,-76,-200,-83,-200,-200,-200
1526452603027,-66,-200,-78,-200,-79,-200,-78,-76,-200,-84,-81,-80,-83,-65,-200,-86,-73,-200,-200
1526452604169,-75,-200,-200,-87,-83,-200,-80,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452605220,-200,-200,-200,-200,-80,-83,-82,-200,-200,-82,-200,-82,-83,-200,-73,-200,-200,-87,-90
1526452606324,-68,-200,-77,-200,-75,-87,-80,-200,-200,-83,-82,-200,-76,-66,-84,-90,-73,-200,-200
1526452607419,-90,-200,-200,-84,-200,-200,-81,-200,-200,-200,-200,-98,-200,-200,-76,-200,-200,-200,-200
1526452608503,-200,-87,-200,-86,-200,-85,-200,-200,-200,-200,-200,-83,-200,-200,-73,-85,-200,-92,-200
1526452609626,-200,-89,-78,-200,-79,-88,-79,-200,-84,-82,-76,-82,-200,-200,-74,-86,-200,-200,-89
1526452609749,-200,-200,-200,-200,-82,-200,-200,-76,-84,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526452610805,-72,-200,-84,-200,-80,-200,-87,-74,-84,-80,-78,-200,-200,-66,-76,-84,-79,-200,-200
1526452611992,-200,-200,-200,-200,-200,-82,-200,-81,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452613052,-78,-200,-200,-200,-200,-84,-86,-75,-200,-200,-74,-200,-78,-200,-82,-85,-74,-200,-200
1526452615203,-70,-200,-80,-200,-80,-200,-82,-200,-200,-81,-200,-200,-79,-76,-74,-200,-200,-200,-200
1526452616307,-71,-200,-74,-200,-200,-200,-86,-76,-200,-81,-200,-200,-77,-200,-200,-85,-73,-200,-200
1526452617422,-70,-87,-200,-91,-82,-84,-84,-79,-93,-84,-200,-85,-85,-67,-200,-88,-200,-94,-200
1526452618546,-200,-200,-74,-93,-200,-200,-200,-75,-200,-200,-200,-80,-200,-200,-82,-84,-200,-200,-200
1526452619613,-200,-200,-81,-200,-200,-86,-84,-80,-84,-82,-200,-85,-93,-66,-72,-88,-200,-200,-90
1526452620806,-66,-200,-74,-91,-200,-81,-200,-200,-91,-200,-200,-200,-77,-68,-200,-87,-72,-200,-86
1526452621913,-70,-200,-82,-200,-87,-86,-200,-74,-200,-82,-84,-200,-200,-200,-74,-200,-73,-200,-200
1526452623018,-67,-88,-83,-200,-200,-200,-200,-200,-200,-200,-80,-82,-86,-200,-68,-200,-84,-200,-86
1526452624126,-68,-88,-82,-86,-200,-83,-76,-75,-200,-200,-200,-94,-78,-66,-200,-200,-200,-200,-200
1526452625218,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-81,-200,-200,-80,-88,-200
1526452626309,-200,-200,-75,-200,-75,-80,-80,-200,-87,-200,-80,-80,-77,-200,-71,-88,-200,-200,-200
1526452627406,-200,-89,-83,-88,-78,-200,-200,-200,-200,-200,-76,-200,-200,-200,-72,-90,-200,-200,-200
1526452628564,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526452629619,-200,-200,-200,-200,-78,-200,-200,-75,-88,-200,-200,-89,-84,-200,-200,-200,-75,-200,-94
1526452629724,-200,-200,-200,-200,-74,-82,-200,-200,-200,-200,-84,-200,-200,-67,-75,-200,-73,-200,-200
1526452630803,-200,-200,-88,-200,-75,-200,-200,-200,-200,-81,-76,-200,-200,-200,-70,-200,-75,-200,-200
1526452630904,-70,-88,-87,-86,-200,-83,-86,-80,-200,-200,-77,-81,-200,-200,-200,-200,-75,-90,-200
1526452631975,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-74,-200,-73,-200,-200
1526452633015,-200,-200,-200,-200,-75,-200,-80,-75,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-95
1526452634112,-200,-200,-200,-200,-78,-84,-200,-200,-200,-200,-77,-91,-80,-77,-71,-86,-200,-200,-95
1526452635213,-200,-86,-85,-87,-78,-200,-82,-200,-200,-82,-78,-200,-200,-200,-72,-87,-82,-200,-200
1526452636320,-68,-200,-77,-200,-200,-200,-200,-75,-200,-200,-83,-82,-88,-200,-77,-200,-73,-200,-200
1526452637406,-200,-87,-87,-85,-79,-84,-81,-75,-81,-200,-200,-200,-200,-66,-70,-200,-200,-200,-92
