,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:67,78:A5:04:41:EB:EA
1526463920175,-93,-200
1526463930153,-94,-200
1526463943488,-92,-92
1526463944634,-92,-200
1526463949036,-92,-200
1526463952303,-92,-200
1526463956820,-91,-200
1526463963466,-92,-92
1526463967821,-92,-91
1526463973246,-200,-91
1526463976620,-90,-92
