,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:EA,78:A5:04:41:E5:67
1526463842346,-87,-200
1526463844562,-93,-200
1526463846768,-89,-200
1526463847931,-93,-200
1526463855639,-89,-200
1526463864540,-90,-200
1526463865577,-88,-93
1526463867776,-84,-200
1526463871239,-87,-90
1526463875435,-87,-91
1526463879935,-91,-200
1526463881955,-90,-200
1526463884158,-92,-200
1526463885342,-96,-200
1526463886394,-87,-93
1526463895299,-90,-200
1526463900842,-92,-97
