,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,0c:73:eb:d0:13:d0,74:da:da:c1:3c:99,74:da:da:c1:3c:dd,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:18,74:da:da:c1:4b:01,0c:73:eb:d0:7c:10,74:da:da:c0:d7:19,74:da:da:c0:f4:69,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:98:91:d4,74:da:da:c1:3a:81,74:da:da:c1:4b:59,74:da:da:98:85:60,0c:73:eb:d0:11:f8,74:da:da:c0:d7:b9,0c:73:eb:d0:11:e0,0c:73:eb:d0:7a:68,74:da:da:c0:e0:69,0c:73:eb:d0:7f:08,0c:73:eb:d0:7e:f8,74:da:da:98:85:00,74:da:da:c1:3c:51,74:da:da:c1:56:ed,74:da:da:98:8f:34,74:da:da:c0:f3:01,74:da:da:c1:48:bd,0c:73:eb:d0:7c:38,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:10,74:da:da:c1:4b:05,0c:73:eb:d0:7c:48,0c:73:eb:d0:7e:f0,74:da:da:c1:4a:f5,0c:73:eb:d0:7e:e0,74:da:da:c0:d8:59,0c:73:eb:d0:13:a8,74:da:da:c1:3b:9d,ec:26:ca:0b:d4:1e,74:da:da:c1:3b:4d,74:da:da:c1:6b:4d,0c:73:eb:d0:2a:10,74:da:da:c1:4a:ed,74:da:da:98:74:94,0c:73:eb:d0:76:40,74:da:da:98:8d:78,74:da:da:c0:f2:fd,74:da:da:c1:4a:c9,74:da:da:c0:e0:71
1526450004878,-29,-39,-41,-46,-48,-52,-53,-57,-59,-64,-64,-65,-65,-66,-67,-68,-71,-72,-74,-74,-76,-76,-76,-77,-78,-79,-79,-81,-82,-84,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450007899,-29,-37,-39,-54,-54,-48,-55,-61,-51,-65,-72,-67,-65,-68,-71,-75,-71,-68,-74,-67,-76,-76,-76,-73,-71,-79,-79,-81,-86,-82,-80,-85,-65,-68,-77,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450010932,-29,-37,-39,-54,-54,-48,-55,-61,-51,-65,-72,-67,-65,-68,-71,-75,-71,-68,-74,-67,-76,-76,-76,-73,-71,-79,-79,-81,-86,-82,-80,-85,-65,-68,-77,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450013972,-29,-37,-39,-54,-54,-48,-55,-61,-51,-65,-72,-67,-65,-68,-71,-75,-71,-68,-74,-67,-76,-76,-76,-73,-71,-79,-79,-81,-86,-82,-80,-85,-65,-68,-77,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450017020,-34,-42,-46,-58,-52,-51,-59,-59,-54,-70,-69,-67,-67,-69,-69,-74,-73,-72,-72,-77,-83,-73,-200,-71,-79,-71,-83,-85,-86,-82,-80,-82,-73,-76,-83,-77,-80,-79,-80,-80,-85,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450020073,-36,-45,-44,-59,-49,-51,-56,-70,-60,-75,-66,-71,-66,-69,-69,-69,-69,-72,-70,-81,-83,-77,-75,-71,-83,-71,-83,-81,-83,-82,-76,-82,-73,-72,-83,-75,-80,-79,-80,-80,-85,-88,-89,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450023128,-36,-45,-44,-59,-49,-51,-56,-70,-60,-75,-66,-71,-66,-69,-69,-69,-69,-72,-70,-81,-83,-77,-75,-71,-83,-71,-83,-81,-83,-82,-76,-82,-73,-72,-83,-75,-80,-79,-80,-80,-85,-88,-89,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450026177,-36,-45,-44,-59,-49,-51,-56,-70,-60,-75,-66,-71,-66,-69,-69,-69,-69,-72,-70,-81,-83,-77,-75,-71,-83,-71,-83,-81,-83,-82,-76,-82,-73,-72,-83,-75,-80,-79,-80,-80,-85,-88,-89,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450029225,-38,-46,-45,-58,-51,-51,-58,-70,-60,-75,-66,-74,-70,-67,-71,-69,-68,-200,-70,-80,-80,-79,-75,-200,-82,-200,-200,-83,-83,-200,-76,-200,-69,-73,-200,-74,-85,-79,-83,-200,-200,-200,-90,-80,-93,-85,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200
