,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:67
1526450966507,-85
1526450966609,-85
1526450991318,-91
1526450991426,-90
1526451006281,-91
1526451006374,-90
1526451006595,-89
1526451011415,-86
1526451016484,-83
