,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:9B,78:A5:04:41:E7:84,78:A5:04:41:E9:8C
1526447061945,-79,-85,-95
1526447062049,-79,-84,-200
1526447066393,-200,-85,-200
1526447066508,-200,-84,-87
1526447066614,-90,-85,-200
1526447071353,-95,-88,-88
1526447076332,-84,-90,-84
1526447076428,-83,-88,-84
1526447076528,-82,-87,-83
1526447076786,-83,-82,-83
1526447081521,-200,-82,-85
1526447081629,-200,-200,-85
1526447081753,-88,-200,-84
1526447086381,-89,-200,-84
1526447086444,-90,-94,-84
1526447086553,-90,-200,-84
1526447086644,-200,-200,-83
1526447086746,-83,-93,-84
1526447091368,-83,-200,-86
1526447091496,-83,-200,-84
1526447091573,-83,-200,-86
1526447096631,-200,-200,-83
1526447096740,-85,-200,-82
1526447101338,-200,-200,-84
1526447101438,-200,-200,-84
1526447101549,-200,-200,-84
1526447101655,-200,-200,-84
1526447101765,-83,-200,-85
1526447106405,-83,-200,-87
1526447106504,-83,-200,-87
1526447106759,-83,-200,-88
1526447111366,-200,-200,-83
1526447111560,-200,-84,-82
1526447111666,-92,-91,-81
1526447116417,-200,-92,-83
1526447116516,-200,-91,-82
1526447116625,-200,-93,-82
1526447116781,-200,-200,-82
1526447121355,-87,-91,-82
1526447121569,-86,-90,-86
1526447121655,-88,-200,-87
