,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:84,78:A5:04:41:E9:8C,78:A5:04:41:E7:A3,78:A5:04:41:E9:9B
1526447137399,-85,-84,-200,-200
1526447137615,-84,-82,-200,-200
1526447141300,-83,-79,-200,-200
1526447141615,-200,-80,-200,-200
1526447141737,-83,-79,-200,-200
1526447146327,-84,-85,-200,-200
1526447146455,-84,-85,-200,-200
1526447146566,-84,-85,-200,-200
1526447146645,-84,-86,-200,-200
1526447146751,-84,-200,-200,-200
1526447151361,-84,-82,-200,-200
1526447151462,-85,-82,-200,-200
1526447151563,-84,-83,-200,-200
1526447151701,-84,-82,-200,-200
1526447151793,-84,-83,-200,-200
1526447156330,-85,-79,-200,-200
1526447156430,-83,-80,-95,-200
1526447156709,-84,-79,-200,-200
1526447161363,-85,-85,-200,-200
1526447161464,-84,-84,-200,-200
1526447161578,-83,-84,-200,-200
1526447161695,-79,-84,-200,-200
1526447166396,-84,-80,-200,-200
1526447166496,-84,-82,-200,-200
1526447166623,-85,-83,-200,-200
1526447166732,-83,-83,-200,-200
1526447166832,-84,-82,-200,-200
1526447171411,-85,-78,-200,-200
1526447171527,-84,-80,-200,-200
1526447171631,-85,-85,-200,-95
1526447176345,-85,-87,-200,-200
1526447176590,-84,-85,-200,-95
1526447176761,-85,-200,-200,-200
1526447181379,-84,-82,-200,-200
1526447181496,-200,-81,-200,-200
1526447181600,-84,-82,-200,-200
1526447181701,-84,-81,-200,-200
1526447181810,-84,-83,-200,-200
1526447186390,-84,-79,-200,-200
1526447186532,-84,-80,-200,-200
1526447186593,-85,-79,-200,-200
1526447186834,-84,-200,-200,-97
1526447191436,-85,-87,-200,-95
1526447191630,-86,-86,-200,-94
1526447196343,-85,-200,-200,-200
1526447196452,-83,-200,-200,-200
1526447196586,-85,-82,-200,-200
1526447196684,-85,-82,-200,-200
1526447201299,-200,-78,-200,-200
1526447201402,-85,-79,-200,-200
1526447201504,-83,-79,-200,-200
1526447201639,-200,-79,-200,-200
1526447201718,-83,-80,-200,-200
