,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:EC,78:A5:04:41:E7:A3,78:A5:04:41:E7:84,78:A5:04:41:EB:B1,78:A5:04:41:EB:D9,78:A5:04:41:E9:9B,78:A5:04:41:EE:01,78:A5:04:41:E9:8C
1526447318400,-88,-85,-200,-200,-200,-200,-200,-200
1526447321351,-82,-200,-90,-200,-200,-200,-200,-200
1526447321625,-83,-84,-90,-200,-200,-200,-200,-200
1526447326338,-84,-200,-98,-91,-200,-200,-200,-200
1526447326424,-200,-84,-96,-92,-95,-200,-200,-200
1526447326556,-83,-200,-200,-92,-95,-200,-200,-200
1526447326670,-83,-85,-200,-200,-200,-200,-200,-200
1526447331569,-86,-200,-200,-200,-200,-96,-200,-200
1526447331810,-83,-200,-200,-200,-200,-97,-200,-200
1526447336548,-76,-200,-200,-93,-200,-200,-200,-200
1526447341357,-83,-85,-200,-200,-200,-200,-200,-200
1526447341493,-83,-84,-200,-200,-96,-200,-200,-200
1526447341567,-83,-200,-200,-200,-200,-200,-200,-200
1526447341674,-83,-200,-200,-200,-200,-200,-200,-200
1526447341797,-82,-83,-200,-200,-200,-200,-200,-200
1526447346613,-85,-86,-200,-200,-200,-200,-93,-200
1526447351472,-81,-200,-200,-200,-200,-200,-200,-91
1526447356335,-82,-84,-200,-90,-96,-200,-200,-200
1526447356401,-82,-200,-200,-200,-93,-200,-200,-200
1526447356503,-83,-84,-200,-90,-200,-200,-200,-200
1526447356611,-83,-84,-200,-91,-200,-200,-200,-200
1526447356737,-83,-83,-200,-91,-200,-200,-200,-200
1526447361342,-87,-200,-200,-200,-200,-200,-200,-200
1526447361539,-85,-200,-200,-200,-200,-200,-200,-200
1526447361643,-85,-200,-200,-92,-200,-200,-200,-200
1526447361770,-86,-200,-200,-91,-95,-200,-200,-200
1526447371518,-82,-83,-200,-200,-200,-200,-200,-200
1526447371588,-82,-200,-200,-90,-200,-200,-200,-200
1526447376403,-85,-200,-200,-94,-200,-200,-200,-200
1526447376559,-87,-200,-200,-200,-200,-200,-200,-200
1526447376755,-85,-200,-200,-200,-200,-200,-200,-200
