,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:13:90,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,0c:73:eb:d0:7f:00,74:da:da:c1:6b:4d,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:d0,74:da:da:c1:03:21,0c:73:eb:d0:13:d8,74:da:da:c1:03:1d,d8:15:0d:6c:13:98,0c:73:eb:d0:11:c8,74:da:da:c1:02:91,0c:73:eb:d0:7c:28,74:da:da:c1:3c:f5,74:da:da:98:85:4c,74:da:da:98:74:80,74:da:da:c1:3a:dd,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:b8,74:da:da:98:74:34,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c0:d7:0d,74:da:da:c0:f3:01,74:da:da:c1:48:bd,74:da:da:98:ea:54,74:da:da:98:91:d4,0c:73:eb:d0:11:e8
1526444058874,-34,-38,-53,-53,-55,-59,-61,-63,-64,-66,-67,-67,-72,-72,-72,-72,-73,-73,-74,-77,-80,-82,-82,-84,-85,-87,-87,-88,-200,-200,-200,-200,-200,-200
1526444061903,-32,-38,-55,-59,-53,-60,-55,-66,-68,-66,-72,-65,-69,-69,-72,-70,-72,-73,-73,-81,-75,-75,-82,-80,-85,-200,-87,-88,-200,-200,-200,-200,-200,-200
1526444064940,-32,-38,-55,-59,-53,-60,-55,-66,-68,-66,-72,-65,-69,-69,-72,-70,-72,-73,-73,-81,-75,-75,-82,-80,-85,-200,-87,-88,-200,-200,-200,-200,-200,-200
1526444067974,-32,-38,-55,-59,-53,-60,-55,-66,-68,-66,-72,-65,-69,-69,-72,-70,-72,-73,-73,-81,-75,-75,-82,-80,-85,-200,-87,-88,-200,-200,-200,-200,-200,-200
1526444070995,-33,-38,-53,-58,-54,-57,-54,-66,-68,-71,-71,-65,-69,-64,-73,-72,-72,-69,-72,-81,-74,-74,-200,-80,-91,-90,-200,-200,-82,-86,-88,-200,-200,-200
1526444074041,-32,-40,-56,-58,-52,-60,-54,-62,-66,-68,-72,-65,-72,-66,-73,-69,-72,-73,-72,-79,-74,-74,-200,-80,-91,-89,-88,-200,-82,-86,-88,-200,-200,-200
1526444077063,-32,-40,-56,-58,-52,-60,-54,-62,-66,-68,-72,-65,-72,-66,-73,-69,-72,-73,-72,-79,-74,-74,-200,-80,-91,-89,-88,-200,-82,-86,-88,-200,-200,-200
1526444080104,-32,-40,-56,-58,-52,-60,-54,-62,-66,-68,-72,-65,-72,-66,-73,-69,-72,-73,-72,-79,-74,-74,-200,-80,-91,-89,-88,-200,-82,-86,-88,-200,-200,-200
1526444083147,-32,-39,-54,-59,-55,-58,-55,-64,-68,-61,-75,-64,-71,-66,-74,-71,-71,-71,-200,-80,-73,-76,-200,-75,-200,-88,-88,-200,-85,-84,-200,-200,-200,-200
1526444086182,-32,-39,-54,-59,-55,-58,-55,-64,-68,-61,-75,-64,-71,-66,-74,-71,-71,-71,-200,-80,-73,-76,-200,-75,-200,-88,-88,-200,-85,-84,-200,-200,-200,-200
1526444089211,-32,-39,-54,-59,-55,-58,-55,-64,-68,-61,-75,-64,-71,-66,-74,-71,-71,-71,-200,-80,-73,-76,-200,-75,-200,-88,-88,-200,-85,-84,-200,-200,-200,-200
1526444092229,-32,-39,-54,-59,-55,-58,-55,-64,-68,-61,-75,-64,-71,-66,-74,-71,-71,-71,-200,-80,-73,-76,-200,-75,-200,-88,-88,-200,-85,-84,-200,-200,-200,-200
1526444095262,-34,-38,-55,-59,-54,-60,-55,-63,-65,-61,-73,-66,-72,-66,-79,-72,-74,-69,-73,-80,-75,-73,-200,-78,-200,-90,-200,-200,-200,-84,-200,-91,-200,-200
1526444098284,-33,-39,-56,-59,-54,-60,-54,-67,-68,-61,-72,-66,-75,-66,-79,-71,-74,-72,-73,-80,-75,-73,-200,-80,-200,-89,-200,-200,-82,-84,-200,-91,-200,-200
