,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,74:da:da:c1:3a:8d,0c:73:eb:d0:13:90,74:da:da:c1:03:2d,74:da:da:c1:03:1d,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:c8,d8:15:0d:6c:13:98,0c:73:eb:d0:7f:00,0c:73:eb:d0:7e:d0,74:da:da:c1:03:21,74:da:da:c1:3c:f5,74:da:da:c1:6b:4d,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:28,74:da:da:98:74:80,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:d8,74:da:da:c1:02:91,74:da:da:98:85:4c,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:b8,74:da:da:98:74:34,74:da:da:98:90:94,74:da:da:98:91:d4,0c:73:eb:d0:7c:08,74:da:da:c1:48:bd,0c:73:eb:d0:11:e8,0c:73:eb:d0:13:c8,74:da:da:c0:d7:0d,0c:73:eb:d0:11:c0,74:da:da:c0:d7:19,74:da:da:98:ea:54,0c:73:eb:d0:7a:68
1526444133433,-33,-39,-54,-56,-59,-59,-62,-65,-67,-68,-70,-71,-72,-72,-72,-73,-73,-74,-76,-76,-79,-80,-80,-84,-85,-86,-88,-88,-89,-89,-90,-95,-200,-200,-200,-200,-200,-200
1526444136464,-34,-43,-52,-71,-64,-70,-55,-65,-68,-65,-67,-67,-76,-70,-83,-73,-73,-78,-80,-75,-77,-76,-72,-200,-200,-200,-200,-88,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200
1526444139485,-34,-43,-52,-71,-64,-70,-55,-65,-68,-65,-67,-67,-76,-70,-83,-73,-73,-78,-80,-75,-77,-76,-72,-200,-200,-200,-200,-88,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200
1526444142512,-34,-43,-52,-71,-64,-70,-55,-65,-68,-65,-67,-67,-76,-70,-83,-73,-73,-78,-80,-75,-77,-76,-72,-200,-200,-200,-200,-88,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200
1526444145547,-38,-46,-64,-73,-60,-62,-55,-82,-68,-67,-67,-67,-80,-77,-83,-77,-200,-78,-80,-75,-83,-83,-72,-87,-78,-84,-200,-200,-200,-200,-200,-200,-84,-80,-200,-200,-200,-200
1526444148582,-36,-39,-54,-75,-59,-61,-53,-78,-80,-67,-64,-66,-74,-77,-83,-77,-200,-77,-80,-75,-81,-80,-77,-87,-75,-84,-200,-200,-89,-200,-200,-200,-84,-80,-200,-200,-200,-200
1526444151611,-36,-39,-54,-75,-59,-61,-53,-78,-80,-67,-64,-66,-74,-77,-83,-77,-200,-77,-80,-75,-81,-80,-77,-87,-75,-84,-200,-200,-89,-200,-200,-200,-84,-80,-200,-200,-200,-200
1526444154653,-36,-39,-54,-75,-59,-61,-53,-78,-80,-67,-64,-66,-74,-77,-83,-77,-200,-77,-80,-75,-81,-80,-77,-87,-75,-84,-200,-200,-89,-200,-200,-200,-84,-80,-200,-200,-200,-200
1526444157691,-38,-41,-54,-73,-58,-70,-55,-68,-73,-66,-66,-69,-74,-77,-78,-73,-79,-77,-83,-70,-68,-77,-75,-200,-75,-79,-89,-200,-89,-200,-200,-200,-200,-81,-93,-200,-200,-200
1526444160728,-41,-41,-55,-70,-58,-70,-60,-68,-69,-65,-65,-73,-76,-73,-78,-75,-79,-77,-83,-68,-74,-77,-75,-200,-75,-81,-81,-86,-89,-200,-200,-200,-200,-81,-93,-200,-200,-200
1526444163764,-41,-41,-55,-70,-58,-70,-60,-68,-69,-65,-65,-73,-76,-73,-78,-75,-79,-77,-83,-68,-74,-77,-75,-200,-75,-81,-81,-86,-89,-200,-200,-200,-200,-81,-93,-200,-200,-200
1526444166786,-41,-41,-55,-70,-58,-70,-60,-68,-69,-65,-65,-73,-76,-73,-78,-75,-79,-77,-83,-68,-74,-77,-75,-200,-75,-81,-81,-86,-89,-200,-200,-200,-200,-81,-93,-200,-200,-200
1526444169828,-37,-44,-59,-77,-60,-58,-49,-72,-72,-67,-63,-68,-73,-81,-83,-76,-200,-200,-82,-74,-72,-84,-78,-200,-75,-77,-81,-86,-200,-200,-200,-200,-200,-81,-200,-87,-91,-200
1526444172863,-37,-46,-61,-74,-60,-65,-49,-71,-71,-67,-63,-67,-73,-81,-83,-76,-200,-200,-82,-74,-81,-84,-78,-86,-75,-77,-81,-86,-200,-200,-200,-200,-200,-83,-200,-87,-91,-91
1526444175903,-37,-46,-61,-74,-60,-65,-49,-71,-71,-67,-63,-67,-73,-81,-83,-76,-200,-200,-82,-74,-81,-84,-78,-86,-75,-77,-81,-86,-200,-200,-200,-200,-200,-83,-200,-87,-91,-91
1526444178943,-37,-46,-61,-74,-60,-65,-49,-71,-71,-67,-63,-67,-73,-81,-83,-76,-200,-200,-82,-74,-81,-84,-78,-86,-75,-77,-81,-86,-200,-200,-200,-200,-200,-83,-200,-87,-91,-91
