,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:03:2d,74:da:da:c1:02:8d,74:da:da:c1:03:1d,74:da:da:c1:3a:81,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:d0,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:00,74:da:da:c1:3a:8d,74:da:da:c1:02:91,74:da:da:c1:6b:4d,0c:73:eb:d0:13:90,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:c8,74:da:da:c0:d7:0d,74:da:da:c1:3a:dd,74:da:da:c1:3c:f5,74:da:da:98:74:80,74:da:da:98:85:4c,74:da:da:c1:3d:2d,74:da:da:98:90:94,74:da:da:c0:f3:01,74:da:da:98:74:34,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:b8,74:da:da:98:66:cc,0c:73:eb:d0:13:98,0c:73:eb:d0:7f:10,74:da:da:c0:f6:15,74:da:da:98:ea:54,74:da:da:c1:48:bd,74:da:da:c1:3c:55,74:da:da:98:74:74,74:da:da:c1:3c:f9,74:da:da:c1:3c:4d
1526443679891,-45,-52,-53,-55,-56,-60,-65,-66,-68,-69,-69,-69,-69,-69,-70,-70,-71,-71,-76,-78,-78,-78,-82,-83,-85,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443682903,-46,-56,-63,-53,-65,-53,-65,-62,-67,-63,-66,-69,-67,-72,-70,-61,-72,-71,-79,-200,-78,-68,-81,-87,-200,-200,-88,-200,-69,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443685936,-46,-56,-63,-53,-65,-53,-65,-62,-67,-63,-66,-69,-67,-72,-70,-61,-72,-71,-79,-200,-78,-68,-81,-87,-200,-200,-88,-200,-69,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443688970,-46,-56,-63,-53,-65,-53,-65,-62,-67,-63,-66,-69,-67,-72,-70,-61,-72,-71,-79,-200,-78,-68,-81,-87,-200,-200,-88,-200,-69,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443692005,-43,-56,-46,-53,-65,-53,-65,-60,-67,-64,-66,-67,-75,-72,-75,-63,-60,-200,-79,-200,-200,-68,-81,-87,-200,-200,-82,-200,-69,-87,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526443695044,-44,-66,-48,-58,-64,-53,-64,-62,-78,-66,-66,-67,-75,-71,-65,-63,-66,-74,-83,-200,-77,-67,-81,-87,-200,-92,-82,-200,-69,-87,-89,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526443698086,-44,-66,-48,-58,-64,-53,-64,-62,-78,-66,-66,-67,-75,-71,-65,-63,-66,-74,-83,-200,-77,-67,-81,-87,-200,-92,-82,-200,-69,-87,-89,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526443701128,-44,-66,-48,-58,-64,-53,-64,-62,-78,-66,-66,-67,-75,-71,-65,-63,-66,-74,-83,-200,-77,-67,-81,-87,-200,-92,-82,-200,-69,-87,-89,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526443704167,-38,-51,-46,-64,-66,-52,-66,-75,-78,-63,-73,-74,-65,-70,-68,-67,-76,-74,-77,-200,-77,-81,-79,-71,-200,-92,-87,-200,-200,-77,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200
1526443707186,-38,-49,-46,-64,-66,-52,-66,-77,-78,-64,-73,-77,-63,-68,-68,-68,-74,-74,-81,-200,-77,-81,-79,-73,-200,-92,-87,-200,-200,-77,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200
1526443710226,-38,-49,-46,-64,-66,-52,-66,-77,-78,-64,-73,-77,-63,-68,-68,-68,-74,-74,-81,-200,-77,-81,-79,-73,-200,-92,-87,-200,-200,-77,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200
1526443713248,-38,-49,-46,-64,-66,-52,-66,-77,-78,-64,-73,-77,-63,-68,-68,-68,-74,-74,-81,-200,-77,-81,-79,-73,-200,-92,-87,-200,-200,-77,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200
1526443716289,-36,-49,-43,-66,-66,-53,-68,-76,-200,-63,-74,-77,-57,-66,-66,-69,-73,-82,-82,-200,-200,-81,-78,-71,-90,-200,-87,-84,-85,-76,-200,-200,-200,-200,-91,-94,-200,-200,-200,-200
1526443719323,-39,-49,-45,-62,-66,-51,-64,-77,-200,-65,-74,-75,-57,-66,-67,-70,-73,-81,-82,-200,-200,-81,-78,-71,-90,-200,-87,-84,-82,-76,-200,-200,-200,-200,-91,-94,-200,-200,-200,-200
1526443722349,-39,-49,-45,-62,-66,-51,-64,-77,-200,-65,-74,-75,-57,-66,-67,-70,-73,-81,-82,-200,-200,-81,-78,-71,-90,-200,-87,-84,-82,-76,-200,-200,-200,-200,-91,-94,-200,-200,-200,-200
1526443725382,-39,-49,-45,-62,-66,-51,-64,-77,-200,-65,-74,-75,-57,-66,-67,-70,-73,-81,-82,-200,-200,-81,-78,-71,-90,-200,-87,-84,-82,-76,-200,-200,-200,-200,-91,-94,-200,-200,-200,-200
1526443728426,-39,-50,-46,-62,-68,-54,-64,-78,-83,-65,-71,-75,-59,-68,-68,-70,-67,-81,-82,-200,-83,-81,-80,-74,-200,-200,-200,-87,-82,-77,-200,-200,-200,-200,-200,-200,-85,-91,-92,-200
1526443731462,-39,-50,-45,-63,-67,-54,-64,-78,-82,-65,-72,-75,-63,-68,-68,-70,-69,-79,-82,-200,-83,-79,-79,-74,-200,-200,-200,-87,-82,-75,-200,-200,-200,-92,-90,-200,-85,-89,-92,-200
1526443734503,-39,-50,-45,-63,-67,-54,-64,-78,-82,-65,-72,-75,-63,-68,-68,-70,-69,-79,-82,-200,-83,-79,-79,-74,-200,-200,-200,-87,-82,-75,-200,-200,-200,-92,-90,-200,-85,-89,-92,-200
1526443737534,-39,-50,-45,-63,-67,-54,-64,-78,-82,-65,-72,-75,-63,-68,-68,-70,-69,-79,-82,-200,-83,-79,-79,-74,-200,-200,-200,-87,-82,-75,-200,-200,-200,-92,-90,-200,-85,-89,-92,-200
1526443740566,-39,-50,-45,-63,-66,-51,-64,-200,-82,-64,-71,-73,-63,-68,-69,-70,-71,-78,-200,-200,-200,-79,-79,-72,-200,-200,-85,-83,-84,-77,-200,-200,-200,-92,-90,-200,-200,-89,-200,-88
