,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:45,0c:73:eb:d0:76:18,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c1:3c:46,0c:73:eb:d0:19:c8,74:da:da:98:66:cc,0c:73:eb:d0:19:90,50:3a:a0:ea:01:66,0c:73:eb:d0:13:b0,74:da:da:c1:3c:55,0c:73:eb:d0:13:90,0c:73:eb:d0:19:c0,74:da:da:98:90:95,74:da:da:98:ea:64,74:da:da:98:85:4c,74:da:da:c1:3c:4d,74:da:da:98:8f:30,74:da:da:98:74:34,74:da:da:98:66:cd,0c:73:eb:d0:19:80,74:da:da:c1:3c:12,74:da:da:c1:3c:56,74:da:da:c1:3c:86,74:da:da:c1:3c:11,74:da:da:98:ea:5c,74:da:da:98:90:2c,0c:73:eb:d0:2a:50,74:da:da:98:90:2d,0c:73:eb:d0:76:10,74:da:da:c1:3c:85,74:da:da:c0:d7:11,74:da:da:98:74:80,0c:73:eb:d0:2a:90,74:da:da:98:ea:54,74:da:da:c1:3d:2d,74:da:da:c0:d7:9d,0c:73:eb:d0:11:c8,74:da:da:c1:25:e5,0c:73:eb:d0:13:b8,74:da:da:c0:d6:ed,74:da:da:c1:4a:69
1526458094963,-34,-38,-38,-42,-49,-51,-51,-52,-53,-56,-56,-59,-62,-62,-64,-66,-67,-69,-72,-74,-76,-76,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458097972,-36,-38,-41,-38,-51,-51,-47,-57,-50,-56,-52,-54,-58,-58,-64,-72,-71,-69,-69,-74,-73,-77,-84,-82,-47,-56,-61,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458100982,-36,-38,-41,-38,-51,-51,-47,-57,-50,-56,-52,-54,-58,-58,-64,-72,-71,-69,-69,-74,-73,-77,-84,-82,-47,-56,-61,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458104000,-36,-39,-40,-39,-51,-47,-46,-57,-46,-62,-50,-54,-58,-58,-64,-72,-71,-69,-69,-74,-73,-77,-84,-86,-47,-56,-61,-77,-86,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458107011,-36,-39,-40,-39,-51,-47,-46,-57,-46,-62,-50,-54,-58,-58,-64,-72,-71,-69,-69,-74,-73,-77,-84,-86,-47,-56,-61,-77,-86,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458110019,-33,-42,-38,-35,-50,-51,-53,-57,-54,-57,-53,-54,-58,-59,-68,-72,-67,-69,-69,-72,-73,-77,-80,-86,-47,-56,-61,-77,-88,-63,-53,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458113031,-33,-42,-38,-35,-50,-51,-53,-57,-54,-57,-53,-54,-58,-59,-68,-72,-67,-69,-69,-72,-73,-77,-80,-86,-47,-56,-61,-77,-88,-63,-53,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458116042,-33,-37,-34,-36,-50,-51,-55,-53,-50,-57,-52,-54,-58,-62,-68,-72,-68,-69,-67,-72,-73,-79,-79,-85,-51,-56,-61,-80,-88,-63,-53,-65,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526458119052,-33,-37,-34,-36,-50,-51,-55,-53,-50,-57,-52,-54,-58,-62,-68,-72,-68,-69,-67,-72,-73,-79,-79,-85,-51,-56,-61,-80,-88,-63,-53,-65,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526458122069,-40,-42,-35,-41,-48,-55,-55,-49,-50,-58,-60,-52,-61,-56,-62,-72,-70,-200,-75,-69,-73,-75,-79,-85,-54,-63,-61,-80,-83,-63,-53,-65,-79,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458125085,-40,-42,-35,-41,-48,-55,-55,-49,-50,-58,-60,-52,-61,-56,-62,-72,-70,-200,-75,-69,-200,-75,-79,-85,-54,-63,-200,-80,-83,-63,-53,-65,-79,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458128105,-54,-42,-35,-45,-50,-54,-51,-54,-45,-58,-56,-50,-61,-58,-62,-72,-70,-200,-70,-70,-200,-79,-79,-83,-54,-63,-61,-80,-85,-63,-51,-65,-71,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458131116,-54,-42,-35,-45,-50,-54,-51,-54,-45,-58,-56,-50,-61,-58,-62,-72,-70,-200,-70,-70,-200,-79,-79,-83,-54,-63,-61,-80,-85,-63,-51,-65,-71,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458134126,-46,-41,-31,-45,-49,-54,-51,-50,-45,-58,-53,-52,-61,-57,-63,-72,-70,-200,-66,-73,-200,-83,-80,-87,-54,-63,-61,-80,-87,-63,-51,-67,-74,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458137139,-46,-41,-31,-45,-49,-54,-51,-50,-45,-58,-53,-52,-61,-57,-63,-72,-70,-200,-66,-73,-200,-83,-80,-87,-54,-63,-61,-80,-87,-63,-51,-67,-74,-84,-64,-71,-73,-200,-200,-200,-200,-200
1526458140147,-45,-40,-35,-35,-49,-53,-53,-54,-47,-58,-53,-52,-64,-57,-63,-72,-74,-200,-65,-74,-200,-85,-81,-86,-47,-58,-61,-80,-88,-62,-51,-67,-74,-84,-64,-71,-73,-65,-88,-200,-200,-200
1526458143159,-45,-42,-35,-33,-49,-49,-53,-54,-46,-67,-53,-52,-58,-57,-63,-80,-74,-66,-65,-74,-200,-87,-81,-85,-47,-58,-61,-80,-88,-59,-62,-67,-76,-84,-64,-71,-73,-65,-88,-200,-200,-200
1526458146174,-45,-42,-35,-33,-49,-49,-53,-54,-46,-67,-53,-52,-58,-57,-63,-80,-74,-66,-65,-74,-200,-87,-81,-85,-47,-58,-61,-200,-88,-59,-62,-67,-76,-200,-200,-200,-200,-65,-88,-200,-200,-200
1526458149186,-41,-43,-35,-33,-50,-49,-53,-54,-51,-67,-52,-52,-58,-57,-63,-80,-72,-65,-65,-74,-200,-88,-81,-85,-45,-58,-61,-200,-88,-59,-62,-67,-75,-200,-200,-200,-200,-65,-88,-78,-79,-91
1526458152198,-41,-43,-35,-33,-50,-49,-53,-54,-51,-67,-52,-52,-58,-57,-63,-80,-72,-65,-65,-74,-200,-88,-81,-85,-45,-58,-200,-200,-88,-59,-62,-67,-75,-200,-200,-200,-200,-65,-88,-78,-79,-91
1526458155206,-40,-43,-35,-42,-50,-53,-50,-54,-48,-59,-55,-52,-62,-57,-63,-80,-72,-66,-68,-74,-200,-80,-86,-85,-50,-61,-200,-74,-88,-62,-52,-67,-75,-80,-200,-200,-200,-67,-88,-78,-79,-91
