,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:98:90:2c,74:da:da:c1:3c:45,74:da:da:c1:3c:11,50:3a:a0:ea:01:66,74:da:da:c1:3c:46,74:da:da:c0:d7:11,0c:73:eb:d0:13:b0,0c:73:eb:d0:19:c0,0c:73:eb:d0:76:18,0c:73:eb:d0:19:90,74:da:da:98:90:95,74:da:da:c1:3c:55,74:da:da:c1:3c:85,74:da:da:98:74:34,74:da:da:98:66:cc,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:c8,0c:73:eb:d0:13:90,74:da:da:98:8f:30,74:da:da:98:ea:5c,74:da:da:98:74:80,74:da:da:c0:d6:ed,0c:73:eb:d0:76:30,0c:73:eb:d0:76:10,74:da:da:98:90:2d,74:da:da:c1:3c:4d,74:da:da:c1:3c:12,74:da:da:98:74:74,74:da:da:c1:3c:56,74:da:da:98:66:cd,74:da:da:98:ea:50,74:da:da:98:85:4c,74:da:da:c1:3c:86,74:da:da:98:85:60,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:50,0c:73:eb:d0:11:e0,74:da:da:c1:02:91,74:da:da:c0:d9:39,0c:73:eb:d0:13:98,74:da:da:c0:f6:15,0c:73:eb:d0:19:80,0c:73:eb:d0:0e:c8,74:da:da:c1:3d:2d,74:da:da:98:ea:54,74:da:da:c0:d6:f5
1526458461416,-35,-36,-40,-42,-46,-46,-52,-52,-53,-55,-56,-56,-56,-56,-56,-58,-59,-59,-63,-63,-65,-65,-67,-72,-72,-73,-74,-74,-77,-79,-82,-84,-84,-88,-88,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458464435,-36,-36,-46,-45,-47,-47,-53,-61,-53,-51,-62,-63,-56,-56,-56,-55,-59,-58,-66,-65,-65,-65,-67,-65,-72,-73,-76,-74,-81,-79,-84,-83,-84,-84,-88,-88,-92,-78,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458467444,-36,-36,-46,-45,-47,-47,-53,-61,-53,-51,-62,-63,-56,-56,-56,-55,-59,-58,-66,-65,-200,-65,-67,-65,-72,-73,-76,-200,-81,-200,-84,-83,-200,-84,-88,-88,-200,-78,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458470458,-36,-35,-51,-45,-47,-47,-57,-57,-53,-54,-59,-62,-54,-56,-56,-59,-59,-58,-59,-65,-61,-72,-71,-65,-72,-73,-76,-76,-81,-200,-84,-80,-200,-84,-88,-88,-200,-78,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458473469,-36,-35,-51,-45,-47,-47,-57,-57,-53,-54,-59,-62,-54,-56,-56,-59,-59,-58,-59,-65,-61,-72,-71,-65,-72,-73,-76,-76,-81,-200,-84,-80,-200,-84,-88,-88,-200,-78,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458476487,-37,-35,-51,-45,-48,-47,-58,-57,-57,-51,-59,-62,-55,-51,-56,-58,-59,-58,-58,-65,-61,-74,-71,-65,-72,-70,-76,-75,-80,-200,-84,-80,-200,-84,-88,-88,-200,-78,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458479499,-37,-35,-51,-45,-48,-47,-58,-57,-57,-51,-59,-62,-55,-51,-56,-58,-200,-58,-58,-65,-61,-74,-71,-65,-72,-70,-76,-75,-80,-200,-84,-80,-200,-84,-88,-200,-200,-78,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526458482519,-34,-35,-54,-43,-51,-47,-59,-57,-60,-53,-54,-58,-55,-51,-56,-58,-200,-59,-56,-65,-61,-74,-71,-65,-72,-70,-76,-75,-80,-200,-84,-80,-200,-84,-88,-200,-200,-78,-89,-84,-82,-83,-91,-200,-200,-200,-200,-200
1526458485532,-34,-35,-54,-43,-51,-47,-59,-57,-60,-53,-54,-58,-55,-51,-56,-58,-200,-59,-56,-65,-61,-74,-71,-65,-200,-70,-76,-75,-80,-200,-84,-80,-200,-84,-88,-200,-200,-78,-89,-84,-82,-83,-91,-200,-200,-200,-200,-200
