,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:77,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:77:73,7C:66:9D:7B:2E:16,78:A5:04:41:E7:91,7C:66:9D:7B:2B:D3,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:DE,78:A5:04:41:E5:56,BC:6A:29:BE:2F:12,78:A5:04:41:E7:81,78:A5:04:41:E7:CC,78:A5:04:41:E5:5F,78:A5:04:41:EB:C9,7C:66:9D:7B:46:8C,BC:6A:29:BE:31:61,78:A5:04:41:EE:07
1526459932168,-98,-78,-87,-71,-73,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459932271,-95,-77,-87,-200,-74,-78,-72,-97,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459932384,-96,-78,-200,-71,-74,-78,-71,-200,-77,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459932484,-200,-77,-86,-72,-73,-77,-72,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459932605,-90,-78,-72,-200,-67,-81,-73,-200,-71,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526459937125,-200,-81,-72,-80,-65,-81,-72,-200,-71,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526459937236,-91,-80,-72,-80,-67,-200,-72,-200,-71,-200,-91,-92,-200,-200,-200,-200,-200,-200
1526459937344,-200,-79,-200,-200,-66,-80,-72,-200,-70,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526459937458,-200,-79,-71,-80,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526459937566,-89,-79,-200,-80,-63,-80,-73,-200,-71,-97,-91,-88,-200,-200,-200,-200,-200,-200
1526459942076,-89,-70,-72,-73,-63,-76,-200,-200,-76,-200,-91,-200,-97,-200,-200,-200,-200,-200
1526459942183,-88,-71,-72,-73,-63,-75,-72,-200,-200,-200,-93,-200,-101,-200,-200,-200,-200,-200
1526459942289,-200,-200,-72,-73,-63,-75,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459942392,-89,-71,-72,-73,-63,-76,-200,-200,-73,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526459942493,-87,-72,-72,-200,-63,-75,-72,-200,-74,-95,-92,-200,-200,-200,-200,-200,-200,-200
1526459942597,-200,-200,-72,-200,-200,-200,-72,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459947035,-97,-79,-200,-200,-200,-200,-71,-95,-75,-200,-200,-200,-200,-98,-99,-200,-200,-200
1526459947127,-98,-200,-80,-70,-72,-77,-71,-97,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459947239,-200,-78,-80,-70,-73,-77,-71,-200,-200,-91,-200,-200,-200,-97,-200,-101,-200,-200
1526459947348,-96,-78,-81,-71,-73,-76,-71,-96,-75,-91,-101,-200,-200,-200,-200,-200,-200,-200
1526459947453,-200,-79,-81,-71,-200,-76,-70,-200,-75,-92,-200,-200,-200,-200,-200,-200,-96,-200
1526459947566,-95,-78,-81,-71,-73,-77,-71,-97,-200,-91,-200,-200,-200,-97,-200,-200,-200,-200
1526459947663,-200,-78,-200,-200,-66,-77,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526459952055,-200,-200,-72,-200,-67,-81,-73,-200,-71,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526459952167,-200,-200,-72,-200,-66,-80,-200,-200,-71,-200,-91,-93,-200,-200,-200,-200,-200,-200
1526459952283,-89,-200,-200,-81,-67,-81,-72,-200,-71,-200,-200,-93,-200,-200,-200,-200,-200,-92
1526459952382,-200,-79,-72,-200,-66,-81,-73,-200,-71,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459952489,-90,-200,-200,-81,-67,-81,-71,-200,-71,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526459952587,-200,-71,-200,-73,-200,-80,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459957071,-200,-71,-73,-73,-62,-75,-71,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526459957149,-90,-70,-73,-73,-63,-75,-71,-200,-200,-95,-91,-86,-200,-200,-200,-200,-200,-200
1526459957270,-89,-200,-73,-73,-63,-200,-75,-200,-200,-200,-200,-87,-97,-200,-200,-200,-200,-200
1526459957387,-200,-200,-200,-73,-63,-200,-73,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459957485,-200,-200,-73,-73,-63,-75,-73,-200,-74,-96,-200,-200,-97,-200,-200,-200,-200,-200
1526459957606,-200,-200,-73,-200,-200,-200,-200,-200,-73,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459962040,-200,-79,-81,-71,-72,-77,-71,-98,-76,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526459962142,-200,-79,-200,-70,-73,-76,-71,-96,-75,-200,-98,-200,-200,-200,-200,-200,-98,-200
1526459962263,-95,-79,-80,-70,-73,-77,-72,-96,-75,-90,-100,-200,-200,-200,-200,-200,-100,-200
1526459962358,-200,-79,-81,-70,-73,-77,-71,-98,-200,-91,-200,-200,-200,-200,-200,-200,-98,-200
1526459962473,-200,-79,-80,-70,-72,-200,-200,-96,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459962571,-95,-200,-81,-71,-66,-77,-73,-97,-71,-94,-200,-200,-200,-200,-200,-200,-99,-200
1526459967109,-200,-80,-72,-81,-200,-200,-200,-200,-70,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459967165,-200,-200,-72,-81,-200,-200,-71,-200,-71,-94,-200,-200,-200,-200,-200,-200,-200,-92
