,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2B:E4,78:A5:04:41:E5:77,78:A5:04:41:EB:C7,F4:B8:5E:AA:77:73,F4:B8:5E:AA:79:4E,78:A5:04:41:E5:5F,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,BC:6A:29:BE:31:61,BC:6A:29:BE:2F:12,78:A5:04:41:E7:91,78:A5:04:41:EE:07,78:A5:04:41:E7:81,7C:66:9D:7B:47:3D
1526459052124,-68,-94,-94,-71,-67,-87,-73,-85,-70,-200,-200,-200,-200,-200,-200,-200
1526459052247,-69,-200,-200,-72,-68,-87,-73,-86,-70,-64,-92,-200,-200,-200,-200,-200
1526459052432,-68,-200,-200,-200,-200,-200,-74,-200,-70,-64,-200,-87,-200,-200,-200,-200
1526459052558,-68,-200,-96,-72,-68,-86,-200,-89,-76,-200,-200,-86,-200,-200,-200,-200
1526459057102,-200,-200,-200,-200,-71,-95,-77,-91,-78,-72,-200,-90,-86,-200,-200,-200
1526459057204,-200,-200,-200,-86,-71,-200,-77,-89,-76,-73,-200,-90,-87,-86,-200,-200
1526459057285,-200,-200,-200,-200,-72,-200,-77,-91,-76,-73,-200,-89,-87,-86,-200,-200
1526459057390,-200,-200,-200,-200,-71,-200,-200,-90,-200,-74,-200,-200,-200,-86,-200,-200
1526459057496,-71,-200,-200,-200,-71,-200,-200,-91,-78,-73,-200,-200,-87,-87,-200,-200
1526459057625,-200,-200,-200,-200,-200,-200,-78,-200,-200,-72,-200,-200,-86,-87,-200,-200
1526459062025,-69,-200,-85,-80,-73,-87,-86,-93,-71,-73,-200,-200,-88,-87,-200,-200
1526459062141,-200,-200,-86,-79,-200,-85,-200,-200,-70,-73,-92,-94,-200,-200,-200,-200
1526459062254,-70,-200,-84,-78,-72,-88,-200,-91,-72,-72,-90,-200,-200,-87,-200,-200
1526459062359,-69,-200,-84,-79,-71,-87,-200,-200,-71,-71,-91,-200,-200,-200,-200,-200
1526459062460,-68,-200,-84,-200,-71,-88,-200,-200,-71,-72,-90,-200,-200,-88,-200,-200
1526459062562,-69,-200,-200,-76,-200,-86,-200,-200,-200,-71,-91,-98,-200,-200,-200,-200
1526459067023,-66,-200,-200,-71,-70,-88,-73,-200,-71,-200,-200,-200,-200,-200,-200,-200
1526459067135,-66,-200,-200,-200,-69,-88,-73,-86,-72,-65,-200,-200,-200,-200,-200,-200
1526459067251,-64,-200,-200,-72,-200,-200,-200,-200,-72,-66,-89,-200,-200,-200,-200,-200
1526459067357,-65,-200,-200,-72,-200,-87,-74,-86,-71,-66,-200,-88,-86,-200,-200,-200
1526459067497,-65,-200,-200,-71,-200,-87,-74,-200,-200,-63,-200,-89,-200,-200,-200,-200
1526459067600,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526459072049,-200,-200,-95,-84,-71,-96,-77,-200,-77,-200,-200,-89,-200,-85,-200,-200
1526459072133,-70,-200,-95,-200,-73,-95,-200,-91,-77,-200,-200,-200,-86,-85,-200,-200
1526459072247,-70,-200,-200,-85,-72,-200,-78,-89,-77,-71,-200,-200,-87,-86,-200,-200
1526459072347,-71,-200,-200,-200,-72,-93,-200,-90,-77,-72,-200,-90,-200,-86,-200,-200
1526459072448,-71,-200,-200,-85,-72,-93,-78,-200,-77,-71,-200,-200,-87,-200,-200,-200
1526459072551,-70,-200,-96,-85,-71,-87,-79,-200,-72,-71,-93,-90,-87,-200,-200,-200
1526459077094,-66,-200,-86,-76,-73,-200,-90,-200,-72,-72,-200,-98,-200,-87,-200,-200
1526459077216,-66,-200,-200,-76,-73,-200,-89,-93,-74,-72,-200,-200,-200,-200,-200,-200
1526459077325,-66,-200,-200,-76,-73,-200,-89,-92,-71,-72,-91,-200,-200,-87,-200,-200
1526459077431,-66,-200,-200,-76,-74,-87,-90,-94,-72,-71,-94,-93,-200,-88,-200,-200
1526459077543,-200,-200,-85,-73,-200,-86,-90,-94,-73,-200,-93,-200,-200,-200,-96,-200
1526459082073,-66,-200,-200,-200,-200,-200,-200,-200,-200,-64,-89,-200,-200,-200,-200,-200
1526459082170,-200,-200,-93,-73,-70,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526459082298,-66,-200,-200,-73,-69,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200
1526459082403,-65,-200,-200,-72,-68,-200,-200,-200,-70,-64,-200,-200,-200,-200,-200,-200
1526459082505,-200,-200,-200,-72,-68,-95,-75,-200,-70,-64,-200,-91,-200,-200,-200,-200
