,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:07,7C:66:9D:7B:2B:DE,78:A5:04:41:E5:5F,78:A5:04:41:E5:56,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2E:16,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:E4,BC:6A:29:BE:31:61,78:A5:04:41:E7:81,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,78:A5:04:41:EB:C9
1526458892499,-94,-78,-200,-94,-200,-65,-72,-200,-92,-82,-83,-91,-200,-200,-200,-200,-200
1526458892609,-96,-200,-200,-95,-200,-200,-200,-72,-92,-81,-200,-90,-200,-200,-200,-200,-200
1526458897010,-200,-73,-94,-90,-89,-63,-70,-79,-200,-87,-83,-71,-200,-200,-200,-200,-200
1526458897145,-200,-73,-95,-92,-200,-200,-70,-78,-200,-87,-81,-200,-200,-200,-200,-200,-200
1526458897247,-200,-200,-93,-89,-200,-63,-69,-78,-200,-200,-82,-71,-200,-200,-200,-200,-200
1526458897362,-200,-73,-92,-90,-200,-63,-69,-79,-200,-87,-83,-71,-200,-200,-200,-200,-200
1526458897471,-200,-73,-200,-90,-200,-63,-69,-79,-200,-87,-82,-71,-200,-200,-200,-200,-200
1526458897625,-200,-73,-200,-200,-200,-200,-66,-200,-83,-85,-200,-200,-200,-93,-200,-200,-200
1526458902056,-200,-200,-87,-200,-200,-200,-65,-70,-200,-71,-84,-200,-200,-200,-200,-200,-200
1526458902167,-200,-71,-200,-200,-200,-61,-67,-70,-200,-73,-84,-200,-200,-200,-200,-200,-200
1526458902240,-200,-70,-88,-200,-200,-61,-66,-69,-83,-71,-84,-200,-200,-92,-97,-200,-200
1526458902350,-200,-70,-200,-200,-88,-61,-67,-70,-200,-72,-84,-200,-97,-92,-200,-200,-200
1526458902522,-200,-70,-200,-91,-200,-61,-67,-200,-200,-200,-200,-200,-98,-200,-97,-200,-200
1526458902630,-200,-75,-200,-94,-200,-61,-200,-200,-200,-84,-84,-200,-200,-200,-200,-200,-200
1526458907136,-200,-200,-200,-200,-88,-65,-200,-200,-95,-83,-85,-90,-200,-200,-200,-200,-200
1526458907225,-200,-75,-200,-95,-200,-65,-73,-72,-94,-84,-84,-200,-200,-200,-200,-200,-200
1526458907338,-200,-75,-200,-200,-89,-66,-72,-73,-200,-83,-85,-200,-200,-200,-200,-200,-200
1526458907450,-94,-200,-200,-94,-200,-65,-200,-72,-200,-200,-84,-92,-200,-200,-200,-100,-200
1526458907553,-94,-200,-200,-200,-200,-65,-72,-200,-93,-85,-84,-200,-200,-95,-200,-200,-200
1526458912046,-84,-200,-200,-200,-89,-200,-200,-200,-200,-200,-82,-200,-200,-95,-200,-200,-200
1526458912189,-85,-200,-200,-89,-88,-62,-68,-77,-200,-200,-82,-200,-93,-200,-200,-200,-200
1526458912249,-200,-71,-200,-89,-88,-62,-69,-77,-200,-83,-82,-70,-94,-96,-200,-200,-200
1526458912355,-83,-200,-200,-88,-87,-200,-68,-78,-200,-200,-82,-70,-95,-200,-200,-200,-200
1526458912465,-83,-200,-200,-90,-89,-62,-200,-200,-200,-85,-81,-70,-93,-200,-200,-200,-200
1526458912571,-85,-70,-200,-200,-89,-61,-68,-200,-200,-84,-82,-83,-200,-92,-97,-200,-200
1526458917116,-85,-70,-88,-200,-89,-59,-68,-71,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526458917227,-200,-70,-200,-91,-87,-61,-200,-200,-200,-73,-84,-83,-95,-200,-200,-200,-97
1526458917311,-200,-69,-200,-200,-87,-200,-200,-200,-84,-71,-84,-83,-200,-92,-96,-200,-200
1526458917414,-200,-71,-89,-200,-87,-61,-67,-200,-200,-71,-84,-83,-200,-200,-200,-200,-200
1526458917521,-200,-70,-88,-200,-88,-61,-67,-71,-84,-73,-84,-83,-200,-200,-200,-200,-200
1526458917630,-200,-200,-200,-200,-200,-61,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
