,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:77,F4:B8:5E:AA:79:4E,F4:B8:5E:AA:77:73,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2E:16,78:A5:04:41:E5:56,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:E4,78:A5:04:41:E7:91,78:A5:04:41:EB:C9,78:A5:04:41:EB:C7,78:A5:04:41:E7:81,78:A5:04:41:E5:5F
1526458362151,-86,-72,-74,-69,-69,-90,-77,-82,-200,-200,-200,-200,-200
1526458362256,-88,-73,-200,-69,-70,-200,-78,-200,-77,-200,-200,-200,-200
1526458362367,-200,-72,-74,-70,-69,-200,-200,-200,-200,-95,-200,-200,-200
1526458362472,-200,-72,-73,-70,-70,-89,-78,-83,-200,-200,-200,-200,-200
1526458362571,-200,-72,-73,-200,-69,-96,-200,-200,-200,-200,-200,-200,-200
1526458367048,-88,-84,-73,-75,-79,-96,-79,-200,-200,-95,-92,-96,-200
1526458367149,-89,-83,-73,-200,-79,-200,-78,-88,-88,-95,-200,-96,-200
1526458367257,-89,-85,-72,-74,-80,-200,-200,-200,-200,-95,-92,-97,-200
1526458367377,-88,-200,-73,-75,-80,-96,-78,-90,-86,-97,-200,-96,-200
1526458367495,-89,-85,-73,-74,-200,-200,-79,-200,-200,-96,-200,-95,-200
1526458367615,-200,-200,-73,-200,-200,-200,-85,-74,-78,-95,-200,-200,-200
1526458372080,-93,-83,-73,-70,-200,-200,-86,-73,-78,-200,-200,-200,-200
1526458372189,-200,-200,-75,-71,-71,-200,-85,-73,-79,-200,-89,-200,-200
1526458372293,-200,-84,-200,-71,-71,-200,-86,-73,-200,-200,-88,-200,-200
1526458372401,-200,-83,-72,-70,-71,-200,-85,-73,-78,-200,-88,-200,-200
1526458372510,-93,-84,-73,-70,-71,-200,-200,-200,-79,-200,-89,-200,-200
1526458377027,-200,-72,-72,-69,-69,-87,-77,-200,-200,-200,-87,-200,-200
1526458377136,-93,-71,-200,-69,-69,-200,-77,-200,-200,-200,-87,-93,-200
1526458377248,-200,-73,-71,-69,-69,-87,-200,-200,-78,-200,-87,-92,-200
1526458377456,-200,-200,-200,-69,-69,-87,-200,-200,-200,-200,-200,-200,-200
1526458377568,-91,-200,-200,-69,-200,-200,-200,-200,-84,-200,-91,-200,-200
1526458382072,-92,-200,-72,-74,-200,-200,-78,-200,-84,-200,-91,-200,-200
1526458382191,-91,-87,-72,-74,-78,-200,-79,-91,-84,-200,-91,-200,-200
1526458382281,-200,-87,-72,-73,-200,-200,-78,-90,-200,-200,-91,-200,-200
1526458382391,-200,-87,-200,-74,-79,-94,-200,-90,-84,-200,-91,-200,-200
1526458382504,-200,-85,-71,-74,-71,-200,-79,-90,-77,-200,-200,-200,-200
1526458387077,-200,-200,-74,-68,-71,-92,-200,-75,-78,-200,-88,-200,-200
1526458387211,-200,-86,-75,-71,-200,-91,-200,-74,-78,-200,-88,-200,-200
1526458387315,-200,-87,-74,-71,-200,-90,-200,-75,-78,-200,-88,-200,-200
1526458387414,-200,-87,-75,-72,-71,-92,-200,-75,-79,-200,-200,-200,-200
1526458387524,-200,-200,-200,-71,-71,-200,-200,-76,-78,-95,-200,-200,-200
1526458392070,-87,-200,-72,-69,-69,-200,-200,-200,-200,-200,-88,-200,-200
1526458392176,-89,-200,-71,-69,-68,-200,-200,-200,-200,-94,-200,-200,-200
1526458392284,-88,-72,-71,-69,-69,-200,-80,-200,-81,-200,-200,-92,-200
1526458392387,-87,-72,-71,-200,-69,-200,-80,-200,-78,-95,-89,-200,-97
1526458392496,-87,-73,-71,-69,-69,-200,-79,-200,-79,-200,-87,-200,-200
1526458392594,-200,-200,-200,-68,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526458397034,-92,-93,-71,-74,-75,-95,-200,-85,-84,-200,-200,-200,-200
1526458397142,-91,-89,-200,-75,-75,-200,-200,-85,-200,-200,-200,-96,-200
1526458397261,-91,-89,-72,-76,-75,-95,-77,-86,-83,-97,-200,-200,-200
1526458397375,-91,-90,-71,-75,-75,-94,-77,-85,-84,-96,-200,-200,-200
1526458397456,-92,-91,-70,-75,-75,-94,-77,-87,-84,-95,-91,-200,-200
1526458397584,-200,-200,-71,-200,-200,-94,-76,-87,-200,-97,-91,-200,-200
