,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:13:c8,74:da:da:c1:3c:45,74:da:da:98:90:94,74:da:da:c1:3c:11,50:3a:a0:ea:01:66,0c:73:eb:d0:76:18,74:da:da:c1:3c:85,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,74:da:da:c1:3c:46,0c:73:eb:d0:19:c8,0c:73:eb:d0:13:90,74:da:da:98:90:95,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,0c:73:eb:d0:11:c8,74:da:da:98:ea:54,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,0c:73:eb:d0:13:b8,74:da:da:c0:d6:f5,74:da:da:98:85:4c,74:da:da:c1:3c:4d,74:da:da:98:74:80,74:da:da:98:66:cc,0c:73:eb:d0:76:10,74:da:da:c0:d9:39,74:da:da:98:74:34,74:da:da:98:66:cd,74:da:da:c1:3c:56,0c:73:eb:d0:2a:50,74:da:da:c1:3c:12,74:da:da:c1:3c:86,c0:61:18:93:35:28,74:da:da:98:90:2d,74:da:da:98:ea:64,0c:73:eb:d0:19:80,74:da:da:98:8f:30,0c:73:eb:d0:76:28,74:da:da:c0:d7:81,0c:73:eb:d0:76:38,0c:73:eb:d0:2a:90
1526458752809,-30,-34,-34,-41,-44,-48,-48,-53,-53,-56,-56,-57,-58,-58,-58,-59,-59,-65,-65,-65,-66,-67,-67,-68,-70,-70,-70,-72,-75,-79,-79,-81,-85,-87,-88,-200,-200,-200,-200,-200,-200,-200
1526458755840,-34,-33,-31,-40,-40,-42,-48,-57,-53,-52,-57,-54,-61,-62,-57,-59,-59,-56,-65,-65,-66,-67,-71,-68,-65,-70,-70,-68,-76,-81,-79,-80,-83,-87,-88,-49,-200,-200,-200,-200,-200,-200
1526458758854,-33,-33,-31,-40,-40,-42,-48,-57,-53,-52,-57,-54,-61,-62,-57,-59,-59,-56,-65,-200,-66,-67,-71,-68,-65,-70,-70,-68,-76,-81,-79,-80,-83,-87,-88,-49,-200,-200,-200,-200,-200,-200
1526458761879,-32,-33,-31,-40,-38,-42,-55,-57,-56,-51,-52,-53,-61,-62,-57,-59,-59,-54,-58,-200,-66,-67,-72,-71,-65,-70,-70,-70,-77,-81,-79,-80,-82,-87,-88,-52,-72,-200,-200,-200,-200,-200
1526458764905,-31,-33,-31,-40,-38,-42,-55,-57,-56,-51,-52,-53,-61,-62,-57,-59,-59,-54,-58,-200,-66,-67,-72,-71,-65,-70,-70,-70,-77,-81,-79,-80,-82,-87,-88,-52,-72,-200,-200,-200,-200,-200
1526458767923,-31,-31,-31,-42,-42,-40,-55,-57,-58,-50,-51,-48,-61,-62,-57,-60,-59,-53,-58,-200,-66,-67,-72,-71,-62,-200,-70,-69,-77,-84,-79,-77,-84,-200,-88,-52,-70,-200,-200,-200,-200,-200
1526458770947,-31,-31,-31,-42,-42,-40,-55,-57,-58,-50,-51,-48,-61,-62,-57,-60,-59,-53,-58,-200,-66,-67,-72,-71,-62,-200,-70,-69,-77,-84,-79,-77,-84,-200,-88,-52,-70,-200,-200,-200,-200,-200
1526458773969,-33,-31,-31,-39,-38,-36,-56,-49,-58,-56,-53,-52,-57,-61,-57,-60,-200,-53,-58,-200,-200,-69,-71,-73,-50,-200,-70,-69,-77,-84,-79,-81,-85,-200,-84,-52,-70,-74,-80,-200,-200,-200
1526458776994,-33,-31,-31,-39,-38,-36,-56,-49,-58,-56,-53,-52,-57,-61,-57,-60,-200,-53,-58,-200,-200,-69,-71,-73,-50,-200,-70,-69,-77,-84,-79,-81,-85,-200,-84,-52,-70,-74,-80,-200,-200,-200
