TimeStamp,cc:d5:39:e9:5c:a0,cc:d5:39:e9:5c:ab,24:01:c7:08:b3:ff,cc:d5:39:e9:5c:ae,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:aa,cc:d5:39:e9:5c:ac,cc:d5:39:e9:5c:ad,cc:d5:39:a0:cd:bd,cc:d5:39:e9:5c:a2,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b2,24:01:c7:08:b3:f0,24:01:c7:6c:fc:52,cc:d5:39:a0:cd:b5,24:01:c7:08:b3:f2,24:01:c7:08:b3:f1,24:01:c7:6c:fc:51,24:01:c7:6c:fc:50,24:01:c7:6c:fc:54,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:bb,24:01:c7:6c:fc:55,24:01:c7:08:b3:fd,24:01:c7:08:b3:f5,24:01:c7:08:b3:fb,24:01:c7:33:7f:a1,cc:d5:39:a0:cd:bc,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:5b,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5e,24:01:c7:33:7f:aa,24:01:c7:33:7f:ac,24:01:c7:33:7f:ae,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,34:a8:4e:c6:22:00,24:01:c7:08:b3:fa,24:01:c7:08:b3:fc,24:01:c7:08:b3:fe,cc:d5:39:a0:cd:be,24:01:c7:33:7f:ad,34:a8:4e:c6:22:01,34:a8:4e:c6:22:02,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a4,24:01:c7:33:7f:a0,24:01:c7:33:7f:a2,24:01:c7:08:b3:f4,24:01:c7:33:7f:ab,24:01:c7:33:7f:af,24:01:c7:33:7f:a5,24:01:c7:6c:fc:5c,cc:d5:39:e5:b3:84,cc:d5:39:e5:b3:81,24:01:c7:77:3e:aa,24:01:c7:77:3e:ab,24:01:c7:77:3e:ac,24:01:c7:77:3e:ae,24:01:c7:77:3e:af,58:97:1e:f7:73:b1,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:85,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b2,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,cc:d5:39:e5:b3:8d,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,58:97:1e:f7:73:b0,e0:d1:73:ff:ee:54,e0:d1:73:ff:ee:50,e0:d1:73:ff:ee:52,e0:d1:73:ff:ee:5b,e0:d1:73:ff:ee:5f,cc:d5:39:e5:b3:8e,e0:d1:73:ff:ee:5c,e0:d1:73:ff:ee:5a,88:75:56:44:c6:ee,e0:d1:73:ff:ee:5e,88:75:56:44:c6:ed,cc:d5:39:25:b4:35,cc:d5:39:25:b4:30,cc:d5:39:25:b4:34,88:75:56:44:c6:e1,e0:d1:73:ff:ee:5d,88:75:56:44:c6:e0,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:bd,58:97:1e:f7:73:bb,88:75:56:44:c6:ef,88:75:56:44:c6:ea,88:75:56:44:c6:e2,58:97:1e:f7:73:bf,88:75:56:44:c6:ec,58:97:1e:f7:73:bc,58:97:1e:f7:73:ba,cc:d5:39:25:b4:3d,58:97:1e:f7:73:be,24:01:c7:ca:81:0c,24:01:c7:ca:81:0a,24:01:c7:ca:81:04,24:01:c7:ca:81:02,24:01:c7:ca:81:00,24:01:c7:ca:81:05,24:01:c7:ca:81:0d,24:01:c7:ca:81:01,34:a8:4e:a2:a3:99,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:9a,24:01:c7:ca:81:0f,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:92,34:a8:4e:a2:a3:9f,24:01:c7:ca:81:0e,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:9d,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:f5
1453855917944,-71,-84,-87,-84,-86,-86,-84,-84,-85,-75,-71,-77,-70,-66,-83,-71,-71,-71,-85,-85,-84,-66,-65,-81,-84,-81,-89,-64,-87,-87,-81,-82,-82,-84,-86,-82,-80,-80,-77,-71,-73,-87,-86,-87,-87,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855920300,-72,-83,-87,-81,-82,-82,-83,-82,-85,-75,-71,-77,-70,-68,-83,-71,-71,-71,-85,-85,-84,-64,-72,-84,-84,,-89,-68,-90,-84,-81,-84,-86,-84,-86,,-79,-78,-77,-71,-73,-84,-86,-87,-87,-89,-88,-88,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855922661,-72,-79,-85,-85,-82,-83,-83,-82,-86,-67,-71,-77,-70,-68,-83,-71,-71,-66,-84,-85,-84,-64,-72,-87,-84,,-85,-68,-90,-84,-85,-84,-86,-84,-86,,-79,-78,-75,-69,-69,-84,-85,-85,-87,-88,-78,-88,-85,-85,-84,-86,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855925001,-65,-80,-81,-79,-80,-79,-82,-81,-83,-67,-71,-66,-70,-70,-78,-60,-71,-66,-84,-78,-84,-60,-68,-83,-83,-76,-81,-68,-90,-84,-85,-84,-86,,,-77,-80,-78,-75,-69,-69,-84,-85,-85,-84,-88,-78,-88,-85,-85,-84,-86,-84,-72,-79,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855927359,-65,-72,-77,-71,-74,-72,-71,-74,-74,-67,-60,-66,,-70,-73,-60,-71,-68,-76,-74,-84,-60,-68,-74,-83,-76,-78,-68,-90,-84,-75,-84,-86,,-67,-77,-80,-78,-68,-65,-66,-84,-79,-78,-84,-76,-70,-88,-85,-72,-84,-83,-85,-72,-79,-84,-85,-67,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855929714,-57,-60,-75,-62,-62,-61,-63,-62,-64,-67,-60,-58,,-65,-74,-60,-63,-68,-76,-70,,-54,-60,-64,-67,-73,-74,-68,-90,-84,-75,-84,-86,,-67,-73,-80,-78,-68,-65,-66,-84,-79,-78,-76,-76,-70,-88,-85,-72,-84,-75,-74,-64,-70,-72,-75,-67,-86,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855932088,-57,-57,-67,-59,-62,-61,-62,-58,-61,-67,-53,-58,-50,-65,-74,-60,-63,-60,-76,-74,,-54,-60,-61,-67,-73,-67,,,-69,-63,-61,-79,,-73,-73,-80,,-67,-54,-57,,-66,-78,-76,-76,-70,,,-77,-84,-68,-67,-64,-70,-72,-75,-67,-80,-83,-82,-84,-84,-84,-84,-88,-84,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855934435,-57,-56,-63,-51,-57,-51,-52,-56,-69,-53,-61,-52,-50,-65,-74,-61,-53,-54,-76,-74,,-54,-60,-69,-67,-73,-63,,,-69,-63,-61,-79,,-73,-73,-80,,-67,-54,-57,,-62,-64,-68,-72,-65,,,-77,-72,-69,-67,-64,-66,-72,-75,-79,-80,-83,-86,-87,-86,-85,-85,-88,-84,-77,-77,-78,-83,-86,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855936808,-57,-52,-65,-52,-53,-50,-49,-52,-71,-53,-61,-52,-61,-57,-74,-61,-53,-54,-76,-74,,-61,-47,-72,-67,-79,-65,-59,-65,-77,-71,-70,-76,-77,-76,-73,-66,-65,-67,-54,-57,,-62,-64,-68,-72,-65,,,-77,-72,-69,-67,-64,-66,-72,-75,-79,-80,-75,-86,-87,-86,-85,-85,-88,-84,-73,-72,-78,-83,-86,-83,-85,-90,-91,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855939165,-57,-52,-69,-54,-55,-50,-53,-56,-75,-53,-63,-52,-61,-57,-80,-61,-53,-58,-82,-79,,-61,-47,-75,-67,-79,-69,-59,-65,-77,-73,-70,-76,-77,-79,-73,-66,-65,-62,-59,-40,,-70,-68,-68,-76,-63,,,-78,-71,-71,-70,-64,-66,-72,-75,-79,-80,-75,-86,-87,-86,-85,-86,-85,-84,-72,-72,-78,-83,-86,-83,-85,-90,-91,-88,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
