TimeStamp,e0:d1:73:a1:20:e0,e0:d1:73:a1:20:e2,e0:d1:73:a1:20:e5,e0:d1:73:a1:20:e1,cc:d5:39:9a:e4:85,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,54:78:1a:24:67:c2,e0:d1:73:a1:20:ef,54:78:1a:24:67:c4,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:80,84:78:ac:dc:d4:a1,cc:d5:39:9a:e4:82,54:78:1a:24:67:c0,cc:d5:39:24:a7:71,84:78:ac:dc:d4:a4,84:78:ac:dc:d4:a2,54:78:1a:24:67:c5,54:78:1a:24:67:cc,cc:d5:39:24:a7:74,54:78:1a:24:67:ca,54:78:1a:24:67:cf,cc:d5:39:24:a7:72,54:78:1a:24:67:ce,54:78:1a:24:67:cd,cc:d5:39:24:a7:70,cc:d5:39:24:a7:75,54:78:1a:24:67:cb,e0:d1:73:0f:2f:75,cc:d5:39:9a:e4:81,cc:d5:39:6a:49:e4,20:3a:07:aa:41:31,cc:d5:39:6a:49:e2,20:3a:07:aa:41:32,20:3a:07:aa:41:30,e0:d1:73:d8:74:94,34:a8:4e:ae:31:70,e0:d1:73:d8:74:92,20:3a:07:aa:41:3d,20:3a:07:aa:41:3e,20:3a:07:aa:41:35,20:3a:07:aa:41:3c,e0:d1:73:d8:74:90,e0:d1:73:d8:74:95,cc:d5:39:49:c0:95,20:3a:07:aa:41:3a,cc:d5:39:49:c0:90,cc:d5:39:49:c0:94,e0:d1:73:d8:74:91,cc:d5:39:49:c0:91,cc:d5:39:49:c0:92,20:3a:07:aa:41:34,20:3a:07:aa:41:3f,20:3a:07:aa:41:3b,cc:d5:39:15:29:64,1c:e6:c7:03:56:20,e0:d1:73:de:ac:14,e0:d1:73:de:ac:10,e0:d1:73:de:ac:12,e0:d1:73:95:71:42,e0:d1:73:d8:74:9c,e0:d1:73:d8:74:9f,e0:d1:73:d8:74:9e,e0:d1:73:d8:74:9d,e0:d1:73:a1:20:ee,e0:d1:73:a1:20:eb,e0:d1:73:a1:20:ed,e0:d1:73:d8:74:9a,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:44,e0:d1:73:de:ac:11,e0:d1:73:de:ac:15,e0:d1:73:0f:2f:71,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4a,e0:d1:73:bd:c9:a2,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7b,e0:d1:73:0f:2f:7e,e0:d1:73:95:71:41,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:4b,e0:d1:73:95:71:4c,e0:d1:73:95:71:4e,e0:d1:73:95:71:4f,e0:d1:73:bd:c9:a4,e0:d1:73:95:71:4d,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:7a,e0:d1:73:de:ac:1f,e0:d1:73:bd:c9:ab,e0:d1:73:de:ac:1a,e0:d1:73:de:ac:1e,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ae,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:a5,e0:d1:73:de:ac:1b,e0:d1:73:de:ac:1c,34:a8:4e:29:3d:95,cc:d5:39:15:29:62,e0:d1:73:de:ac:1d
1454081778490,-73,-75,-77,-76,-85,-75,-77,-77,-81,-77,-84,-86,-86,-87,-92,-86,-77,-85,-87,-89,-77,-87,-85,-86,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081780824,-76,-79,-77,-78,-86,-75,-77,-77,,-75,,,-86,-87,,,-75,-83,-87,-89,-75,-87,-85,-86,-87,-83,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081783154,-72,-72,-71,-78,-86,-75,-76,-75,,-75,,,-86,-87,,-86,-75,-83,-87,-89,-75,-87,-85,-86,-87,-73,-87,-87,-72,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081785482,-77,-76,-71,-78,-86,-77,-76,-75,,-75,,,-86,-87,,-86,-75,-83,,-89,-75,-87,-85,-86,-87,-82,-87,-87,-72,-72,-88,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081787802,-75,-76,-71,-76,-86,-77,-76,-75,,-75,,,-86,-87,,-86,-76,-83,,,-75,-87,-79,-86,-87,-80,-87,-87,-77,-72,-88,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081790134,-75,-78,-76,-76,-86,-77,-76,-74,,-73,,,-86,-87,,-86,-74,-82,,,-75,-87,-79,,-87,-81,-87,-87,-77,-72,-88,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081792473,-75,-77,-76,-76,,-77,-82,-74,,-73,,,-86,,,-85,-74,-82,,,-75,,-79,,,-81,-87,,-77,-72,-88,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081794796,-82,-81,-76,-81,,-77,-82,-74,,-73,,,,,,-85,-74,-82,,,-75,,-79,,,-81,,,-77,,-88,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081797127,-82,-81,-76,-81,,-77,-82,-74,,-73,,,,,,-85,-74,-82,,,-75,,-79,,,-81,,,-77,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081799448,-82,-81,-76,-81,,-77,-82,-74,,-73,,,,,,-85,-74,-82,,,,,,,,-81,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
