,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:02:91,74:da:da:c1:03:2d,74:da:da:c1:03:1d,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,0c:73:eb:d0:11:d8,74:da:da:98:74:34,0c:73:eb:d0:13:90,74:da:da:98:74:80,74:da:da:c1:3a:81,0c:73:eb:d0:7c:40,74:da:da:98:74:74,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:98,74:da:da:c1:3a:dd,74:da:da:c1:6b:4d,d8:15:0d:6c:13:98,74:da:da:98:90:94,74:da:da:98:90:2c,74:da:da:98:85:60,74:da:da:c0:d7:11,74:da:da:98:66:cc,0c:73:eb:d0:19:c0,74:da:da:c0:d6:ed
1526447648782,-42,-46,-52,-54,-61,-65,-65,-67,-70,-72,-73,-73,-77,-80,-82,-85,-85,-86,-87,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526447651804,-43,-26,-66,-68,-61,-65,-61,-69,-84,-69,-75,-62,-77,-80,-82,-88,-85,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526447654833,-43,-26,-66,-68,-61,-65,-61,-69,-84,-69,-75,-62,-77,-80,-82,-88,-85,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526447657857,-43,-26,-66,-68,-61,-65,-61,-69,-84,-69,-75,-62,-77,-80,-82,-88,-85,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526447660876,-42,-35,-72,-59,-76,-68,-64,-66,-84,-72,-73,-64,-82,-200,-200,-87,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447663895,-42,-37,-69,-59,-74,-68,-64,-66,-84,-76,-73,-66,-88,-200,-200,-87,-200,-89,-200,-200,-89,-200,-86,-91,-200,-200,-200,-200,-200
1526447666920,-42,-37,-69,-59,-74,-68,-64,-66,-84,-76,-73,-66,-88,-200,-200,-87,-200,-89,-200,-200,-89,-200,-86,-91,-200,-200,-200,-200,-200
1526447669945,-42,-37,-69,-59,-74,-68,-64,-66,-84,-76,-73,-66,-88,-200,-200,-87,-200,-89,-200,-200,-89,-200,-86,-91,-200,-200,-200,-200,-200
1526447672971,-41,-33,-65,-58,-76,-67,-65,-65,-84,-72,-73,-67,-83,-200,-200,-200,-200,-89,-90,-200,-89,-91,-85,-91,-92,-200,-200,-200,-200
1526447675998,-39,-34,-65,-61,-76,-64,-67,-65,-84,-72,-73,-67,-82,-83,-200,-200,-200,-89,-90,-200,-89,-91,-85,-91,-92,-86,-90,-200,-200
1526447679030,-39,-34,-65,-61,-76,-64,-67,-65,-84,-72,-73,-67,-82,-83,-200,-200,-200,-89,-90,-200,-89,-91,-85,-91,-92,-86,-90,-200,-200
1526447682061,-39,-34,-65,-61,-76,-64,-67,-65,-84,-72,-73,-67,-82,-83,-200,-200,-200,-89,-90,-200,-89,-91,-85,-91,-92,-86,-90,-200,-200
1526447685094,-42,-33,-67,-58,-200,-67,-64,-65,-81,-75,-74,-66,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-87,-90,-89,-200
1526447688123,-44,-33,-67,-59,-73,-66,-66,-66,-85,-80,-72,-64,-86,-87,-88,-200,-200,-200,-200,-200,-200,-90,-86,-200,-200,-87,-90,-89,-200
1526447691151,-39,-32,-68,-59,-73,-67,-66,-66,-85,-80,-72,-64,-84,-87,-89,-200,-200,-200,-200,-200,-200,-90,-88,-200,-93,-87,-90,-89,-89
1526447694180,-39,-32,-68,-59,-73,-67,-66,-66,-85,-80,-72,-64,-84,-87,-89,-200,-200,-200,-200,-200,-200,-90,-88,-200,-93,-87,-90,-89,-89
1526447697226,-41,-29,-67,-58,-75,-66,-66,-67,-81,-74,-72,-68,-84,-200,-89,-88,-86,-89,-200,-200,-200,-90,-87,-200,-93,-88,-200,-200,-89
1526447700256,-38,-30,-64,-60,-72,-66,-66,-68,-81,-77,-75,-67,-86,-200,-89,-88,-86,-89,-89,-200,-200,-90,-87,-200,-93,-88,-200,-200,-89
1526447703286,-38,-30,-64,-60,-72,-66,-66,-68,-81,-77,-75,-67,-86,-200,-89,-88,-86,-89,-89,-200,-200,-90,-87,-200,-93,-88,-200,-200,-89
1526447706312,-38,-30,-64,-60,-72,-66,-66,-68,-81,-77,-75,-67,-86,-200,-89,-88,-86,-89,-89,-200,-200,-90,-87,-200,-93,-88,-200,-200,-89
1526447709344,-39,-29,-68,-60,-76,-69,-67,-63,-88,-79,-73,-67,-83,-86,-200,-200,-200,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-85,-200
