,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,74:da:da:c1:03:2d,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c8,74:da:da:c1:3a:8d,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:98:74:34,0c:73:eb:d0:11:d8,74:da:da:c1:3a:81,0c:73:eb:d0:13:d8,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:40,74:da:da:c1:6b:4d,0c:73:eb:d0:13:98,74:da:da:98:85:4c,74:da:da:98:90:94,74:da:da:98:74:80,74:da:da:98:ea:54,74:da:da:c1:3a:dd,0c:73:eb:d0:13:90,74:da:da:98:74:74,0c:73:eb:d0:7c:28,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:c8,74:da:da:98:85:60,0c:73:eb:d0:13:b8,74:da:da:c1:25:e5,74:da:da:c1:3c:55,0c:73:eb:d0:19:90,74:da:da:c0:d7:11
1526447802693,-38,-39,-57,-62,-65,-67,-68,-68,-71,-72,-73,-81,-82,-82,-84,-84,-85,-86,-89,-89,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447805717,-46,-44,-61,-68,-65,-69,-73,-79,-71,-79,-77,-89,-84,-82,-87,-84,-85,-200,-82,-86,-92,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447808741,-46,-44,-61,-68,-65,-69,-73,-79,-71,-79,-77,-89,-84,-82,-87,-84,-85,-200,-82,-86,-92,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447811773,-46,-44,-61,-68,-65,-69,-73,-79,-71,-79,-77,-89,-84,-82,-87,-84,-85,-200,-82,-86,-92,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447814812,-47,-43,-60,-66,-66,-67,-75,-71,-83,-78,-74,-89,-85,-82,-81,-200,-200,-88,-79,-87,-200,-200,-81,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447817846,-48,-44,-59,-66,-70,-68,-75,-71,-81,-79,-74,-89,-86,-84,-79,-82,-200,-88,-80,-87,-200,-200,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447820874,-48,-44,-59,-66,-70,-68,-75,-71,-81,-79,-74,-89,-86,-84,-79,-82,-200,-88,-80,-87,-200,-200,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447823903,-48,-44,-59,-66,-70,-68,-75,-71,-81,-79,-74,-89,-86,-84,-79,-82,-200,-88,-80,-87,-200,-200,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447826944,-48,-41,-58,-64,-67,-67,-74,-68,-83,-81,-77,-200,-86,-84,-82,-83,-200,-200,-90,-200,-200,-200,-82,-85,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526447829977,-48,-43,-58,-64,-69,-67,-74,-68,-83,-76,-77,-200,-86,-83,-84,-83,-87,-200,-81,-200,-200,-200,-78,-85,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526447833011,-48,-43,-58,-64,-69,-67,-74,-68,-83,-76,-77,-200,-86,-83,-84,-83,-87,-200,-81,-200,-200,-200,-78,-85,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526447836035,-48,-43,-58,-64,-69,-67,-74,-68,-83,-76,-77,-200,-86,-83,-84,-83,-87,-200,-81,-200,-200,-200,-78,-85,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526447839075,-47,-42,-56,-61,-66,-67,-75,-67,-81,-73,-73,-200,-89,-82,-80,-200,-87,-200,-83,-200,-200,-88,-80,-71,-200,-200,-85,-86,-88,-200,-200,-200,-200
1526447842107,-46,-42,-58,-61,-67,-67,-75,-67,-83,-73,-73,-200,-89,-85,-84,-84,-87,-200,-78,-200,-200,-88,-80,-71,-200,-200,-85,-86,-88,-88,-88,-89,-200
1526447845140,-46,-42,-58,-61,-67,-67,-75,-67,-83,-73,-73,-200,-89,-85,-84,-84,-87,-200,-78,-200,-200,-88,-80,-71,-200,-200,-85,-86,-88,-88,-88,-89,-200
1526447848176,-46,-42,-58,-61,-67,-67,-75,-67,-83,-73,-73,-200,-89,-85,-84,-84,-87,-200,-78,-200,-200,-88,-80,-71,-200,-200,-85,-86,-88,-88,-88,-89,-200
1526447851225,-48,-41,-58,-61,-68,-66,-79,-67,-86,-73,-74,-200,-86,-85,-81,-83,-200,-200,-79,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-88,-89,-90
1526447854251,-49,-41,-57,-59,-66,-65,-78,-64,-82,-73,-72,-200,-86,-85,-81,-83,-200,-200,-79,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-88,-89,-89
1526447857282,-49,-41,-57,-59,-66,-65,-78,-64,-82,-73,-72,-200,-86,-85,-81,-83,-200,-200,-79,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-88,-89,-89
1526447860310,-49,-41,-57,-59,-66,-65,-78,-64,-82,-73,-72,-200,-86,-85,-81,-83,-200,-200,-79,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-88,-88,-89,-89
1526447863341,-49,-43,-57,-62,-70,-74,-78,-70,-79,-75,-76,-200,-200,-86,-81,-83,-200,-200,-79,-200,-89,-200,-80,-87,-200,-200,-86,-200,-200,-200,-200,-200,-89
