,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:03:2d,74:da:da:c1:02:8d,74:da:da:c1:02:91,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c8,74:da:da:c1:03:1d,0c:73:eb:d0:11:d8,74:da:da:98:74:34,74:da:da:c1:3a:8d,0c:73:eb:d0:13:d8,0c:73:eb:d0:13:90,74:da:da:c1:6b:4d,74:da:da:98:90:94,74:da:da:c1:3c:55,74:da:da:98:74:74,74:da:da:98:74:80,74:da:da:c0:d7:11,0c:73:eb:d0:7c:40,d8:15:0d:6c:13:98,0c:73:eb:d0:19:90,74:da:da:c1:3a:81,74:da:da:c1:3a:dd,0c:73:eb:d0:19:c0,74:da:da:c1:3c:4d,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,0c:73:eb:d0:13:c8,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:98,74:da:da:c1:3c:11
1526447420554,-35,-37,-46,-57,-57,-62,-65,-65,-66,-66,-69,-76,-80,-81,-83,-85,-86,-86,-86,-87,-87,-88,-89,-90,-91,-91,-92,-93,-200,-200,-200,-200
1526447423578,-35,-40,-49,-54,-66,-64,-61,-65,-65,-77,-78,-81,-80,-81,-83,-200,-82,-85,-86,-88,-88,-200,-89,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447426608,-35,-40,-49,-54,-66,-64,-61,-65,-65,-77,-78,-81,-80,-81,-83,-200,-82,-85,-86,-88,-88,-200,-89,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447429632,-33,-34,-46,-54,-62,-63,-61,-65,-66,-70,-78,-81,-80,-81,-81,-200,-82,-85,-200,-86,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447432665,-33,-38,-46,-54,-59,-62,-63,-72,-66,-68,-76,-80,-82,-86,-84,-200,-82,-85,-200,-86,-85,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447435692,-33,-38,-49,-54,-60,-62,-63,-72,-66,-69,-76,-80,-82,-86,-84,-200,-82,-86,-200,-86,-86,-200,-87,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526447438713,-33,-38,-49,-54,-60,-62,-63,-72,-66,-69,-76,-80,-82,-86,-84,-200,-82,-86,-200,-86,-86,-200,-87,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526447441745,-33,-38,-49,-54,-60,-62,-63,-72,-66,-69,-76,-80,-82,-86,-84,-200,-82,-86,-200,-86,-86,-200,-87,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526447444774,-33,-38,-48,-55,-59,-64,-62,-69,-68,-65,-79,-82,-83,-84,-84,-200,-81,-84,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
1526447447796,-33,-38,-48,-54,-59,-64,-61,-69,-68,-65,-75,-82,-83,-85,-82,-200,-82,-84,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526447450831,-33,-38,-48,-54,-59,-64,-61,-69,-68,-65,-75,-82,-83,-85,-82,-200,-82,-84,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526447453845,-33,-38,-48,-54,-59,-64,-61,-69,-68,-65,-75,-82,-83,-85,-82,-200,-82,-84,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526447456881,-34,-37,-47,-54,-57,-65,-61,-69,-68,-64,-74,-83,-200,-85,-82,-200,-81,-200,-200,-85,-88,-200,-87,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526447459915,-33,-37,-47,-56,-60,-64,-61,-70,-68,-66,-79,-79,-82,-83,-82,-200,-81,-84,-200,-85,-88,-200,-88,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526447462945,-33,-37,-47,-56,-60,-64,-61,-70,-68,-66,-79,-79,-82,-83,-82,-200,-81,-84,-200,-85,-88,-200,-88,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526447465980,-33,-37,-47,-56,-60,-64,-61,-70,-68,-66,-79,-79,-82,-83,-82,-200,-81,-84,-200,-85,-88,-200,-88,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526447469016,-32,-38,-48,-54,-54,-61,-60,-68,-68,-65,-75,-82,-83,-83,-85,-200,-200,-84,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526447472052,-32,-38,-48,-53,-57,-64,-64,-69,-67,-65,-75,-82,-83,-87,-85,-200,-82,-84,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-80,-90,-89,-93
1526447475083,-32,-38,-48,-53,-57,-64,-64,-69,-67,-65,-75,-82,-83,-87,-85,-200,-82,-84,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-80,-90,-89,-93
1526447478112,-32,-38,-48,-53,-57,-64,-64,-69,-67,-65,-75,-82,-83,-87,-85,-200,-82,-84,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-80,-90,-89,-93
1526447481153,-34,-33,-48,-53,-56,-61,-60,-68,-66,-65,-78,-82,-87,-84,-83,-200,-81,-87,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-88,-93
