,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro
,74:da:da:98:8d:78,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,74:da:da:98:74:94,0c:73:eb:d0:7c:48,74:da:da:c1:4b:59,74:da:da:c1:4a:ed,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:18,74:da:da:c1:3c:99,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:f0,74:da:da:c1:3c:91,0c:73:eb:d0:2a:18,0c:73:eb:d0:11:d0,0c:73:eb:d0:11:b0,74:da:da:c1:3c:d1,74:da:da:c0:f2:fd,74:da:da:98:db:44,0c:73:eb:d0:11:e8,0c:73:eb:d0:76:20,74:da:da:c1:14:99,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:28,74:da:da:c1:3c:f5,74:da:da:c0:d7:09,74:da:da:98:7a:50,74:da:da:c1:3b:49,0c:73:eb:d0:19:b0,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:c0,0c:73:eb:d0:2a:38,74:da:da:c1:3c:e1
1526454078069,-38,-41,-46,-47,-50,-50,-52,-55,-56,-58,-60,-62,-64,-68,-68,-72,-73,-76,-78,-79,-80,-81,-81,-83,-85,-87,-87,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454081101,-45,-43,-42,-51,-52,-48,-52,-63,-71,-58,-61,-57,-63,-65,-68,-72,-65,-75,-78,-68,-79,-73,-76,-200,-85,-86,-84,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454084129,-45,-43,-42,-51,-52,-48,-52,-63,-71,-58,-61,-57,-63,-65,-68,-72,-65,-75,-78,-68,-79,-73,-76,-200,-85,-86,-84,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454087167,-45,-43,-42,-51,-52,-48,-52,-63,-71,-58,-61,-57,-63,-65,-68,-72,-65,-75,-78,-68,-79,-73,-76,-200,-85,-86,-84,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454090206,-37,-48,-44,-57,-49,-50,-50,-66,-67,-58,-66,-57,-58,-59,-200,-200,-68,-77,-200,-71,-79,-73,-76,-200,-200,-86,-84,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526454093247,-37,-48,-42,-56,-50,-53,-51,-67,-68,-58,-70,-57,-58,-66,-200,-75,-67,-77,-200,-71,-79,-75,-76,-200,-80,-86,-84,-200,-200,-70,-81,-84,-200,-200,-200,-200,-200,-200
1526454096272,-37,-48,-42,-56,-50,-53,-51,-67,-68,-58,-70,-57,-58,-66,-200,-75,-67,-77,-200,-71,-79,-75,-76,-200,-80,-86,-84,-200,-200,-70,-81,-84,-200,-200,-200,-200,-200,-200
1526454099306,-37,-48,-42,-56,-50,-53,-51,-67,-68,-58,-70,-57,-58,-66,-200,-75,-67,-77,-200,-71,-79,-75,-76,-200,-80,-86,-84,-200,-200,-70,-81,-84,-200,-200,-200,-200,-200,-200
1526454102347,-47,-44,-38,-53,-50,-54,-60,-57,-68,-61,-70,-61,-59,-70,-79,-70,-67,-81,-200,-77,-200,-76,-87,-200,-80,-200,-200,-200,-200,-77,-81,-84,-73,-87,-200,-200,-200,-200
