,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:8d:78,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:01,74:da:da:c1:4b:59,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:c1:3c:99,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f5,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:d1,74:da:da:c1:3c:91,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:e0,74:da:da:c0:f2:fd,0c:73:eb:d0:76:20,74:da:da:c1:3c:e1,74:da:da:c1:3b:49,74:da:da:98:7a:50,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:28,0c:73:eb:d0:11:b0,74:da:da:c0:d7:09,74:da:da:c1:14:99,0c:73:eb:d0:7c:00,74:da:da:98:7a:68,0c:73:eb:d0:13:c0,74:da:da:c0:f3:59,74:da:da:c1:3c:ad,74:da:da:98:db:44,74:da:da:98:92:14,0c:73:eb:d0:19:b0,74:da:da:c1:3b:e9
1526454554769,-37,-38,-40,-41,-51,-54,-55,-57,-59,-60,-61,-66,-68,-69,-70,-70,-71,-72,-78,-79,-81,-81,-83,-84,-85,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454557797,-31,-45,-36,-44,-55,-52,-55,-65,-58,-56,-54,-64,-64,-61,-69,-200,-71,-72,-76,-79,-200,-200,-200,-84,-85,-85,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454560817,-31,-45,-36,-44,-55,-52,-55,-65,-58,-56,-54,-64,-64,-61,-69,-200,-71,-72,-76,-79,-200,-200,-200,-84,-85,-85,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454563833,-31,-45,-36,-44,-55,-52,-55,-65,-58,-56,-54,-64,-64,-61,-69,-200,-71,-72,-76,-79,-200,-200,-200,-84,-85,-85,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454566880,-27,-39,-33,-47,-55,-52,-55,-56,-55,-55,-62,-64,-63,-65,-72,-73,-69,-72,-76,-79,-65,-200,-80,-200,-200,-200,-85,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454569907,-26,-40,-33,-46,-65,-66,-57,-54,-55,-54,-62,-64,-64,-65,-74,-73,-77,-69,-72,-72,-66,-200,-80,-200,-200,-200,-85,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454572940,-26,-40,-33,-46,-65,-66,-57,-54,-55,-54,-62,-64,-64,-65,-74,-73,-77,-69,-72,-72,-66,-200,-80,-200,-200,-200,-85,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454575973,-26,-40,-33,-46,-65,-66,-57,-54,-55,-54,-62,-64,-64,-65,-74,-73,-77,-69,-72,-72,-66,-200,-80,-200,-200,-200,-85,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454579009,-29,-37,-36,-49,-60,-63,-53,-56,-54,-54,-200,-200,-61,-63,-67,-200,-77,-69,-73,-75,-66,-200,-200,-75,-85,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454582041,-29,-37,-38,-49,-63,-59,-53,-62,-54,-58,-64,-200,-57,-66,-67,-200,-71,-69,-74,-76,-66,-200,-200,-75,-85,-200,-88,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454585079,-29,-37,-38,-49,-63,-59,-53,-62,-54,-58,-64,-200,-57,-66,-67,-200,-71,-69,-74,-76,-66,-200,-200,-75,-85,-200,-88,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454588106,-29,-37,-38,-49,-63,-59,-53,-62,-54,-58,-64,-200,-57,-66,-67,-200,-71,-69,-74,-76,-66,-200,-200,-75,-85,-200,-88,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454591148,-29,-43,-37,-42,-62,-54,-55,-62,-55,-47,-58,-68,-62,-70,-71,-200,-78,-74,-72,-75,-70,-200,-200,-74,-200,-200,-88,-200,-200,-86,-79,-79,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526454594164,-28,-40,-37,-44,-62,-54,-58,-65,-55,-46,-61,-68,-60,-72,-71,-76,-78,-73,-72,-75,-67,-200,-200,-74,-200,-200,-88,-200,-83,-86,-79,-79,-89,-91,-89,-92,-200,-200,-200,-200,-200
1526454597190,-28,-40,-37,-44,-62,-54,-58,-65,-55,-46,-61,-68,-60,-72,-71,-76,-78,-73,-72,-75,-67,-200,-200,-74,-200,-200,-88,-200,-83,-86,-79,-79,-89,-91,-89,-92,-200,-200,-200,-200,-200
1526454600224,-28,-40,-37,-44,-62,-54,-58,-65,-55,-46,-61,-68,-60,-72,-71,-76,-78,-73,-72,-75,-67,-200,-200,-74,-200,-200,-88,-200,-83,-86,-79,-79,-89,-91,-89,-92,-200,-200,-200,-200,-200
1526454603257,-28,-42,-35,-42,-60,-51,-55,-65,-56,-44,-59,-200,-64,-69,-72,-76,-76,-73,-74,-78,-68,-200,-200,-75,-200,-200,-200,-200,-83,-200,-84,-200,-200,-200,-89,-92,-77,-82,-92,-200,-200
1526454606295,-28,-45,-35,-41,-60,-51,-54,-66,-55,-44,-59,-200,-62,-69,-72,-76,-76,-73,-74,-78,-68,-200,-200,-75,-200,-200,-200,-200,-83,-200,-84,-200,-88,-200,-89,-92,-77,-82,-92,-200,-200
1526454609331,-28,-45,-35,-41,-60,-51,-54,-66,-55,-44,-59,-200,-62,-69,-72,-76,-76,-73,-74,-78,-68,-200,-200,-75,-200,-200,-200,-200,-83,-200,-84,-200,-88,-200,-89,-92,-77,-82,-92,-200,-200
1526454612375,-28,-45,-35,-41,-60,-51,-54,-66,-55,-44,-59,-200,-62,-69,-72,-76,-76,-73,-74,-78,-68,-200,-200,-75,-200,-200,-200,-200,-83,-200,-84,-200,-88,-200,-89,-92,-77,-82,-92,-200,-200
1526454615412,-27,-45,-35,-41,-62,-53,-58,-66,-55,-46,-60,-200,-62,-69,-75,-200,-80,-200,-72,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-88,-200,-200,-200,-200,-82,-200,-82,-83
