,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro
,74:da:da:98:8d:78,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:01,0c:73:eb:d0:7c:48,74:da:da:98:74:94,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,74:da:da:c1:4b:59,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:30,74:da:da:c1:3c:91,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,0c:73:eb:d0:11:e8,0c:73:eb:d0:76:20,74:da:da:98:db:44,0c:73:eb:d0:19:b0,74:da:da:c1:3b:e9,0c:73:eb:d0:2a:38,74:da:da:c0:d7:09,0c:73:eb:d0:7c:00,74:da:da:c1:3c:6d,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,0c:73:eb:d0:7e:d8,74:da:da:c1:4a:a5,74:da:da:c0:f2:fd,74:da:da:c0:f4:69,74:da:da:c1:14:99,74:da:da:c1:3c:ad,74:da:da:c1:3b:45,0c:73:eb:d0:0e:b8,74:da:da:98:92:14
1526454634307,-29,-45,-46,-53,-56,-56,-57,-64,-66,-66,-66,-68,-68,-69,-72,-75,-78,-81,-81,-81,-82,-82,-82,-83,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454637336,-34,-45,-51,-51,-57,-66,-64,-69,-64,-62,-66,-77,-68,-69,-67,-73,-70,-81,-81,-78,-81,-200,-78,-83,-200,-200,-76,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454640364,-34,-45,-51,-51,-57,-66,-64,-69,-64,-62,-66,-77,-68,-69,-67,-73,-70,-81,-81,-78,-81,-200,-78,-83,-200,-200,-76,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454643386,-34,-45,-51,-51,-57,-66,-64,-69,-64,-62,-66,-77,-68,-69,-67,-73,-70,-81,-81,-78,-81,-200,-78,-83,-200,-200,-76,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454646424,-36,-52,-51,-56,-51,-58,-63,-64,-60,-58,-71,-77,-66,-76,-64,-73,-69,-77,-87,-80,-81,-82,-67,-78,-88,-200,-76,-83,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454649456,-40,-48,-51,-53,-55,-55,-63,-65,-60,-55,-71,-72,-67,-81,-65,-76,-70,-79,-87,-77,-81,-82,-75,-78,-88,-200,-76,-83,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454652489,-40,-48,-51,-53,-55,-55,-63,-65,-60,-55,-71,-72,-67,-81,-65,-76,-70,-79,-87,-77,-81,-82,-75,-78,-88,-200,-76,-83,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454655525,-40,-48,-51,-53,-55,-55,-63,-65,-60,-55,-71,-72,-67,-81,-65,-76,-70,-79,-87,-77,-81,-82,-75,-78,-88,-200,-76,-83,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454658570,-36,-49,-51,-53,-63,-55,-63,-68,-61,-59,-68,-83,-74,-75,-64,-75,-69,-78,-200,-76,-200,-79,-75,-200,-200,-200,-200,-200,-200,-77,-83,-84,-86,-91,-200,-200,-200,-200
