,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:01,74:da:da:c1:4b:59,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:c0:f2:fd,74:da:da:c1:3c:99,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:30,74:da:da:98:74:94,0c:73:eb:d0:11:f0,74:da:da:c1:3b:49,74:da:da:c1:3c:f9,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f5,0c:73:eb:d0:11:d0,74:da:da:c1:3c:91,74:da:da:c1:4a:ed,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:28,0c:73:eb:d0:11:e8,74:da:da:c1:3c:6d,0c:73:eb:d0:19:98,74:da:da:c1:3c:d1,74:da:da:c1:4a:a5,74:da:da:c1:03:61,74:da:da:c1:3b:e9,74:da:da:c0:d7:09,74:da:da:c0:f6:15,0c:73:eb:d0:76:58,74:da:da:98:db:44,74:da:da:c1:14:99,0c:73:eb:d0:19:b0,74:da:da:98:91:d4,0c:73:eb:d0:7e:e0,0c:73:eb:d0:2a:18,74:da:da:c0:f3:59,74:da:da:98:92:14,74:da:da:c1:61:69,74:da:da:c1:3c:e1,0c:73:eb:d0:2a:38,0c:73:eb:d0:7c:00,74:da:da:c1:3c:ad,74:da:da:c1:3b:45
1526454391941,-40,-43,-43,-52,-52,-58,-59,-59,-60,-62,-63,-64,-64,-66,-67,-68,-71,-72,-73,-73,-78,-78,-79,-79,-79,-82,-82,-83,-83,-84,-85,-86,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454394970,-44,-59,-59,-64,-66,-58,-59,-59,-76,-65,-75,-75,-200,-70,-67,-76,-200,-72,-73,-73,-78,-78,-200,-200,-79,-82,-82,-200,-83,-84,-85,-200,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454397998,-44,-59,-59,-64,-66,-58,-59,-59,-76,-65,-75,-75,-200,-70,-67,-76,-200,-72,-73,-73,-78,-78,-200,-200,-79,-82,-82,-200,-83,-84,-85,-200,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454401032,-44,-59,-59,-64,-66,-58,-59,-59,-76,-65,-75,-75,-200,-70,-67,-76,-200,-72,-73,-73,-78,-78,-200,-200,-79,-82,-82,-200,-83,-84,-85,-200,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454404048,-44,-62,-66,-68,-66,-75,-73,-200,-74,-54,-82,-65,-200,-63,-200,-76,-82,-69,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454407086,-32,-54,-53,-57,-53,-65,-54,-200,-62,-54,-68,-61,-200,-61,-200,-64,-82,-72,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-76,-80,-83,-85,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526454410125,-32,-54,-53,-57,-53,-65,-54,-200,-62,-54,-68,-61,-200,-61,-200,-64,-82,-72,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-76,-80,-83,-85,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526454413157,-29,-52,-51,-51,-50,-60,-58,-81,-59,-55,-65,-66,-200,-61,-200,-62,-67,-70,-76,-69,-200,-200,-83,-200,-74,-83,-200,-200,-200,-92,-200,-85,-200,-200,-75,-80,-84,-85,-86,-87,-90,-85,-200,-200,-200,-200,-200,-200
1526454416205,-30,-51,-51,-53,-50,-60,-60,-81,-56,-55,-65,-63,-74,-62,-82,-61,-67,-72,-77,-69,-81,-200,-83,-200,-74,-83,-200,-83,-85,-91,-200,-85,-200,-200,-74,-79,-86,-85,-87,-87,-90,-85,-90,-200,-200,-200,-200,-200
