,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:4b:01,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4a:f5,74:da:da:c1:3c:f9,74:da:da:98:74:94,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:18,74:da:da:c1:4a:ed,0c:73:eb:d0:11:f0,74:da:da:c1:3c:99,74:da:da:c1:3c:d1,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:f5,74:da:da:c1:3c:91,74:da:da:98:7a:6c,74:da:da:98:7a:50,0c:73:eb:d0:76:20,74:da:da:c1:3b:e9,74:da:da:c0:f2:fd,0c:73:eb:d0:11:b0,0c:73:eb:d0:11:e8,74:da:da:c1:4a:a5,74:da:da:c1:3b:49,0c:73:eb:d0:7c:00
1526453614390,-38,-39,-43,-45,-48,-55,-57,-58,-59,-62,-62,-64,-65,-67,-70,-72,-74,-74,-75,-77,-82,-84,-86,-91,-91,-200,-200,-200,-200,-200,-200
1526453617421,-34,-43,-49,-48,-56,-55,-57,-51,-59,-66,-68,-64,-70,-64,-70,-75,-74,-67,-75,-73,-82,-84,-86,-91,-91,-88,-200,-200,-200,-200,-200
1526453620429,-36,-43,-53,-47,-60,-60,-57,-50,-61,-68,-64,-65,-63,-64,-70,-75,-72,-73,-85,-73,-82,-84,-86,-91,-91,-88,-85,-91,-200,-200,-200
1526453623449,-36,-44,-53,-47,-62,-58,-57,-52,-67,-68,-65,-65,-71,-65,-71,-74,-72,-75,-85,-73,-82,-84,-200,-91,-91,-88,-85,-91,-200,-200,-200
1526453626474,-36,-44,-53,-47,-62,-58,-57,-52,-67,-68,-65,-65,-71,-65,-71,-74,-72,-75,-85,-73,-82,-84,-200,-91,-91,-88,-85,-91,-200,-200,-200
1526453629503,-36,-44,-53,-47,-62,-58,-57,-52,-67,-68,-65,-65,-71,-65,-71,-74,-72,-75,-85,-73,-82,-84,-200,-91,-91,-88,-85,-91,-200,-200,-200
1526453632525,-37,-44,-52,-43,-67,-53,-56,-50,-72,-71,-62,-61,-68,-67,-72,-74,-73,-69,-78,-73,-200,-88,-200,-91,-200,-200,-200,-91,-87,-200,-200
1526453635561,-36,-44,-54,-44,-65,-53,-57,-51,-74,-72,-63,-62,-72,-65,-73,-73,-72,-68,-78,-73,-89,-89,-200,-91,-200,-200,-200,-91,-87,-200,-200
1526453638586,-36,-44,-54,-44,-65,-53,-57,-51,-74,-72,-63,-62,-72,-65,-73,-73,-72,-68,-78,-73,-89,-89,-200,-91,-200,-200,-200,-91,-87,-200,-200
1526453641618,-36,-44,-54,-44,-65,-53,-57,-51,-74,-72,-63,-62,-72,-65,-73,-73,-72,-68,-78,-73,-89,-89,-200,-91,-200,-200,-200,-91,-87,-200,-200
1526453644653,-37,-43,-51,-44,-78,-52,-58,-51,-70,-69,-61,-70,-69,-64,-75,-72,-73,-71,-200,-200,-87,-89,-200,-89,-200,-200,-200,-77,-200,-85,-89
1526453647692,-40,-43,-51,-44,-67,-53,-58,-52,-66,-74,-60,-67,-73,-65,-71,-72,-73,-76,-78,-200,-89,-89,-200,-89,-200,-87,-200,-77,-88,-85,-89
1526453650727,-40,-43,-51,-44,-67,-53,-58,-52,-66,-74,-60,-67,-73,-65,-71,-72,-73,-76,-78,-200,-89,-89,-200,-89,-200,-87,-200,-77,-88,-85,-89
1526453653751,-40,-43,-51,-44,-67,-53,-58,-52,-66,-74,-60,-67,-73,-65,-71,-72,-73,-76,-78,-200,-89,-89,-200,-89,-200,-87,-200,-77,-88,-85,-89
1526453656785,-39,-44,-55,-44,-61,-54,-57,-54,-81,-70,-61,-70,-73,-66,-71,-200,-71,-75,-79,-74,-88,-200,-200,-200,-200,-87,-200,-200,-88,-200,-200
1526453659806,-39,-44,-53,-44,-65,-52,-57,-52,-72,-69,-61,-70,-73,-66,-70,-200,-73,-72,-79,-74,-88,-200,-200,-93,-93,-87,-200,-78,-88,-200,-92
1526453662828,-39,-44,-53,-44,-65,-52,-57,-52,-72,-69,-61,-70,-73,-66,-70,-200,-73,-72,-79,-74,-88,-200,-200,-93,-93,-87,-200,-78,-88,-200,-92
1526453665870,-39,-44,-53,-44,-65,-52,-57,-52,-72,-69,-61,-70,-73,-66,-70,-200,-73,-72,-79,-74,-88,-200,-200,-93,-93,-87,-200,-78,-88,-200,-92
1526453668904,-38,-44,-52,-41,-58,-49,-55,-52,-70,-68,-65,-58,-75,-68,-72,-74,-71,-69,-200,-200,-87,-91,-200,-93,-93,-200,-200,-78,-200,-200,-86
1526453671940,-38,-44,-48,-41,-56,-46,-57,-52,-63,-66,-65,-71,-71,-68,-75,-68,-73,-72,-200,-200,-86,-91,-200,-93,-93,-200,-200,-78,-200,-200,-86
1526453674971,-38,-44,-48,-41,-56,-46,-57,-52,-63,-66,-65,-71,-71,-68,-75,-68,-73,-72,-200,-200,-86,-91,-200,-93,-93,-200,-200,-78,-200,-200,-86
