,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:8d:78,0c:73:eb:d0:7c:48,74:da:da:98:74:94,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f9,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:f5,74:da:da:c1:3c:91,74:da:da:c0:f2:fd,74:da:da:c1:3c:d1,0c:73:eb:d0:11:e8,74:da:da:c1:4a:a5,74:da:da:c1:3c:6d,0c:73:eb:d0:76:20,74:da:da:98:7a:50,74:da:da:c1:14:99,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:38,74:da:da:c1:3c:e1,74:da:da:98:db:44,74:da:da:c1:3c:ad,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:99
1526453999849,-36,-40,-41,-45,-45,-51,-53,-55,-57,-58,-58,-60,-61,-71,-71,-73,-73,-76,-78,-78,-79,-81,-82,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454002877,-42,-51,-47,-41,-49,-51,-52,-51,-61,-69,-68,-66,-71,-79,-71,-73,-73,-76,-83,-78,-81,-81,-82,-84,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526454005899,-42,-51,-47,-41,-49,-51,-52,-51,-61,-69,-68,-66,-71,-79,-71,-73,-73,-76,-83,-78,-81,-81,-82,-84,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526454008923,-42,-51,-47,-41,-49,-51,-52,-51,-61,-69,-68,-66,-71,-79,-71,-73,-73,-76,-83,-78,-81,-81,-82,-84,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526454011954,-42,-53,-51,-40,-47,-57,-57,-55,-67,-65,-66,-63,-66,-75,-66,-200,-76,-200,-83,-79,-81,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526454014982,-42,-53,-52,-39,-47,-57,-55,-55,-67,-64,-65,-63,-67,-77,-65,-74,-77,-200,-83,-79,-81,-87,-200,-200,-200,-85,-86,-81,-88,-200,-200,-200,-200,-200
1526454018019,-42,-53,-52,-39,-47,-57,-55,-55,-67,-64,-65,-63,-67,-77,-65,-74,-77,-200,-83,-79,-81,-87,-200,-200,-200,-85,-86,-81,-88,-200,-200,-200,-200,-200
1526454021051,-42,-53,-52,-39,-47,-57,-55,-55,-67,-64,-65,-63,-67,-77,-65,-74,-77,-200,-83,-79,-81,-87,-200,-200,-200,-85,-86,-81,-88,-200,-200,-200,-200,-200
1526454024061,-42,-52,-57,-40,-46,-57,-52,-55,-65,-64,-65,-63,-68,-75,-65,-74,-77,-200,-200,-79,-80,-87,-200,-200,-200,-85,-200,-81,-88,-92,-200,-200,-200,-200
1526454027097,-43,-55,-57,-40,-46,-56,-55,-54,-66,-64,-65,-63,-68,-75,-65,-74,-77,-81,-200,-79,-82,-87,-200,-200,-200,-85,-200,-81,-88,-92,-200,-200,-200,-200
1526454030135,-43,-55,-57,-40,-46,-56,-55,-54,-66,-64,-65,-63,-68,-75,-65,-74,-77,-81,-200,-79,-82,-87,-200,-200,-200,-85,-200,-81,-88,-92,-200,-200,-200,-200
