,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4,78:A5:04:41:EB:C3,78:A5:04:41:E9:DA,78:A5:04:41:E9:CD,78:A5:04:41:EB:8B,78:A5:04:41:E9:B4,78:A5:04:41:E9:AB,78:A5:04:41:E7:85,78:A5:04:41:E9:CC,78:A5:04:41:EE:17,78:A5:04:41:E9:FD,78:A5:04:41:E5:6B,78:A5:04:41:EB:9C,78:A5:04:41:EB:80,BC:6A:29:BE:31:17
1526455725984,-68,-64,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455726092,-67,-63,-77,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455726187,-67,-63,-77,-200,-86,-86,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455726288,-68,-60,-78,-68,-200,-88,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200
1526455730922,-57,-60,-78,-68,-83,-200,-200,-87,-89,-87,-83,-89,-200,-200,-200,-200
1526455731037,-58,-200,-200,-68,-200,-200,-200,-86,-87,-200,-83,-200,-200,-200,-200,-200
1526455731139,-57,-60,-77,-69,-200,-200,-85,-86,-200,-86,-82,-90,-200,-200,-200,-200
1526455731242,-58,-200,-77,-200,-82,-200,-86,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526455735886,-59,-63,-60,-200,-80,-200,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200
1526455735980,-59,-62,-60,-64,-80,-200,-91,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526455736073,-59,-63,-61,-200,-80,-200,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200
1526455736176,-60,-60,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455736288,-61,-200,-200,-68,-200,-200,-200,-85,-200,-200,-91,-200,-200,-200,-200,-200
