,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:00,74:da:da:c0:f4:69,74:da:da:c1:3c:dd,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,0c:73:eb:d0:13:d0,74:da:da:c0:e2:d9,74:da:da:c1:4b:01,74:da:da:c0:f3:01,74:da:da:c1:3c:51,74:da:da:c0:d7:b9,0c:73:eb:d0:7c:48,0c:73:eb:d0:7e:e0,74:da:da:c1:4a:f5,74:da:da:c0:d7:19,74:da:da:c1:3a:81,74:da:da:c1:4b:59,0c:73:eb:d0:11:f0,0c:73:eb:d0:7f:18,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:10,74:da:da:98:91:d4,74:da:da:c1:3b:49,74:da:da:c0:d7:0d,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:30,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:05,0c:73:eb:d0:13:a8,74:da:da:c1:48:bd,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:10,74:da:da:c1:3c:99,74:da:da:c1:3c:e1,0c:73:eb:d0:11:f8,0c:73:eb:d0:7a:68,0c:73:eb:d0:7e:d8,0c:73:eb:d0:76:20,74:da:da:c1:3b:85,74:da:da:c0:f2:fd,74:da:da:98:85:00,0c:73:eb:d0:7c:38,74:da:da:c1:3c:f9,0c:73:eb:d0:76:58,74:da:da:98:92:14,74:da:da:98:8d:78,0c:73:eb:d0:7e:e8,74:da:da:c1:6b:4d
1526460026938,-47,-54,-56,-57,-58,-59,-61,-61,-64,-67,-67,-68,-69,-70,-70,-70,-71,-71,-72,-72,-73,-75,-76,-76,-79,-79,-80,-80,-80,-81,-81,-81,-81,-83,-83,-83,-83,-85,-87,-89,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526460029974,-54,-64,-64,-60,-61,-59,-72,-66,-66,-67,-71,-78,-69,-67,-71,-72,-72,-74,-75,-82,-72,-79,-76,-81,-79,-77,-80,-80,-80,-83,-81,-81,-79,-83,-200,-83,-83,-200,-87,-89,-89,-89,-78,-81,-93,-200,-200,-200,-200
1526460033002,-54,-64,-64,-60,-61,-59,-72,-66,-66,-67,-71,-78,-69,-67,-71,-72,-72,-74,-75,-82,-72,-79,-76,-81,-79,-77,-80,-80,-80,-83,-81,-81,-79,-83,-200,-83,-83,-200,-87,-89,-89,-89,-78,-81,-93,-200,-200,-200,-200
1526460036038,-54,-64,-64,-60,-61,-59,-72,-66,-66,-67,-71,-78,-69,-67,-71,-72,-72,-74,-75,-82,-72,-79,-76,-81,-79,-77,-80,-80,-80,-83,-81,-81,-79,-83,-200,-83,-83,-200,-87,-89,-89,-89,-78,-81,-93,-200,-200,-200,-200
1526460039078,-61,-64,-64,-58,-60,-59,-71,-65,-66,-70,-67,-78,-75,-67,-76,-72,-71,-72,-68,-82,-73,-68,-81,-81,-200,-77,-91,-90,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-77,-200,-78,-78,-93,-81,-200,-200,-200
1526460042119,-61,-64,-64,-58,-60,-59,-71,-65,-66,-70,-67,-78,-75,-67,-76,-72,-71,-72,-68,-82,-73,-68,-81,-81,-200,-77,-91,-90,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-77,-200,-78,-78,-93,-81,-200,-200,-200
1526460045154,-61,-64,-64,-58,-60,-59,-71,-65,-66,-70,-67,-78,-75,-67,-76,-72,-71,-72,-68,-82,-73,-68,-81,-81,-200,-77,-91,-90,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-77,-200,-78,-78,-93,-81,-200,-200,-200
1526460048201,-61,-64,-64,-58,-60,-59,-71,-65,-66,-70,-67,-78,-75,-67,-76,-72,-71,-72,-68,-82,-73,-68,-81,-81,-200,-77,-91,-90,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-77,-200,-78,-78,-93,-81,-200,-200,-200
1526460051251,-61,-67,-66,-58,-60,-61,-70,-65,-69,-67,-76,-79,-74,-65,-75,-200,-73,-71,-70,-200,-75,-68,-80,-82,-86,-200,-200,-200,-81,-85,-200,-82,-76,-84,-200,-200,-200,-200,-200,-90,-80,-200,-81,-80,-200,-80,-200,-200,-200
1526460054279,-61,-67,-70,-60,-60,-61,-70,-65,-67,-67,-69,-79,-74,-64,-75,-76,-73,-72,-71,-84,-75,-68,-80,-82,-86,-200,-200,-200,-81,-85,-200,-82,-76,-82,-200,-200,-84,-200,-200,-89,-80,-93,-78,-81,-200,-80,-82,-200,-200
1526460057305,-61,-67,-70,-60,-60,-61,-70,-65,-67,-67,-69,-79,-74,-64,-75,-76,-73,-72,-71,-84,-75,-68,-80,-82,-86,-200,-200,-200,-81,-85,-200,-82,-76,-82,-200,-200,-84,-200,-200,-89,-80,-93,-78,-81,-200,-80,-82,-200,-200
1526460060354,-61,-67,-70,-60,-60,-61,-70,-65,-67,-67,-69,-79,-74,-64,-75,-76,-73,-72,-71,-84,-75,-68,-80,-82,-86,-200,-200,-200,-81,-85,-200,-82,-76,-82,-200,-200,-84,-200,-200,-89,-80,-93,-78,-81,-200,-80,-82,-200,-200
1526460063403,-61,-67,-65,-61,-60,-62,-71,-65,-68,-70,-69,-78,-75,-65,-75,-73,-68,-71,-72,-84,-70,-70,-81,-200,-200,-76,-200,-200,-80,-200,-84,-85,-77,-82,-200,-200,-84,-200,-200,-88,-81,-93,-78,-80,-200,-79,-82,-200,-200
1526460066444,-61,-67,-66,-59,-59,-57,-69,-65,-68,-70,-68,-78,-73,-65,-75,-73,-72,-71,-72,-79,-72,-68,-81,-200,-200,-80,-200,-200,-78,-200,-83,-85,-78,-82,-200,-200,-84,-200,-200,-88,-81,-93,-78,-80,-200,-79,-82,-200,-200
1526460069483,-61,-67,-66,-59,-59,-57,-69,-65,-68,-70,-68,-78,-73,-65,-75,-73,-72,-71,-72,-79,-72,-68,-81,-200,-200,-80,-200,-200,-78,-200,-83,-85,-78,-82,-200,-200,-84,-200,-200,-88,-81,-93,-78,-80,-200,-79,-82,-200,-200
1526460072505,-61,-67,-66,-59,-59,-57,-69,-65,-68,-70,-68,-78,-73,-65,-75,-73,-72,-71,-72,-79,-72,-68,-81,-200,-200,-80,-200,-200,-78,-200,-83,-85,-78,-82,-200,-200,-84,-200,-200,-88,-81,-93,-78,-80,-200,-79,-82,-200,-200
1526460075549,-61,-66,-68,-62,-60,-57,-69,-65,-66,-67,-68,-78,-73,-65,-76,-200,-75,-72,-72,-79,-75,-68,-82,-82,-200,-77,-200,-200,-78,-85,-84,-200,-76,-82,-86,-84,-200,-86,-200,-200,-81,-200,-200,-81,-200,-79,-200,-88,-200
1526460078587,-61,-68,-65,-58,-60,-57,-71,-64,-67,-67,-68,-78,-74,-64,-76,-200,-75,-72,-72,-82,-71,-69,-82,-82,-200,-77,-200,-200,-84,-85,-84,-200,-76,-82,-88,-84,-84,-86,-200,-200,-81,-200,-79,-81,-200,-79,-200,-91,-200
1526460081619,-61,-68,-65,-58,-60,-57,-71,-64,-67,-67,-68,-78,-74,-64,-76,-200,-75,-72,-72,-82,-71,-69,-82,-82,-200,-77,-200,-200,-84,-85,-84,-200,-76,-82,-88,-84,-84,-86,-200,-200,-81,-200,-79,-81,-200,-79,-200,-91,-200
