,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:D5,7C:66:9D:7B:47:FC,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,78:A5:04:41:E9:D2,BC:6A:29:BE:31:7F,78:A5:04:41:E5:62,78:A5:04:41:E9:EB,78:A5:04:41:E9:82,78:A5:04:41:EB:E8,78:A5:04:41:EB:FB,78:A5:04:41:E9:92,7C:66:9D:7B:2E:21,78:A5:04:41:E7:EF,78:A5:04:41:EE:08,78:A5:04:41:E7:98,78:A5:04:41:E5:34,78:A5:04:41:EB:98,BC:6A:29:BE:2F:54,78:A5:04:41:E7:88
1526441122992,-80,-89,-64,-75,-82,-88,-78,-66,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441123109,-200,-90,-65,-200,-82,-89,-78,-65,-85,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441123214,-200,-90,-200,-200,-82,-200,-78,-200,-200,-200,-200,-75,-93,-89,-200,-200,-200,-200,-200,-200
1526441127889,-200,-89,-200,-60,-81,-200,-200,-59,-85,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200
1526441127993,-200,-88,-59,-60,-82,-200,-200,-58,-200,-200,-80,-68,-94,-200,-85,-200,-83,-200,-200,-200
1526441128138,-200,-88,-59,-200,-200,-200,-74,-58,-200,-200,-79,-68,-96,-200,-200,-200,-200,-200,-200,-200
1526441128255,-200,-88,-200,-60,-84,-200,-77,-62,-200,-200,-79,-200,-200,-200,-200,-200,-83,-200,-200,-200
1526441132953,-78,-93,-200,-59,-77,-200,-200,-62,-200,-200,-200,-66,-101,-89,-85,-200,-200,-200,-200,-200
1526441133067,-78,-91,-200,-200,-200,-200,-77,-62,-200,-200,-200,-67,-200,-89,-200,-200,-86,-200,-200,-200
1526441133188,-78,-200,-59,-200,-200,-88,-77,-62,-200,-200,-83,-200,-200,-89,-200,-200,-86,-200,-200,-200
1526441133284,-200,-200,-200,-70,-82,-200,-77,-66,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526441137933,-84,-200,-200,-74,-83,-88,-78,-69,-87,-200,-82,-200,-200,-89,-200,-200,-92,-200,-200,-200
1526441138036,-86,-200,-77,-72,-200,-90,-88,-70,-200,-200,-200,-70,-94,-200,-200,-200,-200,-200,-200,-200
1526441138260,-90,-88,-200,-200,-84,-200,-200,-60,-200,-200,-80,-72,-96,-200,-200,-200,-82,-200,-200,-200
1526441142968,-200,-200,-59,-200,-200,-200,-200,-60,-82,-200,-79,-64,-94,-200,-200,-200,-82,-200,-200,-200
1526441143089,-200,-200,-59,-60,-85,-200,-79,-60,-82,-200,-200,-62,-94,-200,-200,-85,-200,-200,-200,-200
1526441143196,-200,-88,-59,-200,-85,-96,-200,-60,-83,-200,-80,-64,-200,-200,-200,-200,-81,-200,-200,-200
1526441143305,-200,-200,-59,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441147902,-200,-200,-59,-58,-76,-88,-200,-200,-88,-200,-85,-66,-200,-200,-87,-200,-85,-200,-200,-200
1526441148052,-200,-200,-59,-59,-76,-88,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441148151,-200,-200,-59,-58,-77,-200,-77,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526441148255,-79,-200,-200,-58,-76,-88,-77,-62,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441152881,-85,-92,-73,-200,-82,-89,-76,-200,-86,-200,-82,-68,-97,-200,-200,-200,-200,-200,-200,-200
