,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:E4,78:A5:04:41:E7:91,78:A5:04:41:EB:C7
1526460919590,-86,-200,-200,-200,-200
1526460919697,-87,-95,-200,-200,-200
1526460921875,-88,-200,-200,-200,-200
1526460922952,-93,-200,-93,-91,-96
1526460926200,-200,-200,-92,-200,-200
1526460927360,-88,-94,-92,-90,-200
1526460930716,-88,-200,-93,-200,-200
1526460931767,-90,-200,-90,-90,-200
1526460933982,-200,-200,-90,-200,-200
1526460935060,-90,-200,-91,-200,-200
1526460937283,-86,-200,-92,-91,-96
1526460938411,-91,-200,-90,-92,-200
1526460939565,-88,-200,-200,-200,-200
1526460941693,-92,-200,-200,-200,-200
1526460941802,-94,-200,-91,-200,-200
1526460942868,-90,-200,-200,-200,-200
1526460943936,-86,-200,-91,-200,-200
1526460946170,-200,-200,-92,-200,-200
1526460946261,-200,-200,-92,-200,-200
1526460948400,-88,-200,-93,-90,-200
1526460950500,-90,-200,-90,-200,-200
1526460953997,-93,-89,-200,-200,-93
1526460960520,-90,-93,-200,-200,-200
1526460962783,-88,-200,-200,-94,-200
1526460964893,-92,-200,-200,-200,-200
1526460966065,-90,-200,-95,-93,-200
1526460967125,-87,-95,-95,-200,-200
1526460971525,-90,-92,-94,-200,-200
1526460972666,-88,-200,-200,-200,-200
1526460973722,-90,-200,-200,-200,-200
1526460977187,-90,-90,-200,-200,-200
1526460978122,-90,-200,-200,-200,-200
1526460979269,-88,-90,-200,-200,-200
1526460980340,-92,-95,-200,-200,-200
1526460980542,-87,-90,-200,-200,-200
1526460982712,-97,-93,-200,-200,-200
