,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:D3
1526461077605,-91,-94,-200
1526461082114,-92,-93,-200
1526461085632,-93,-94,-200
1526461087622,-94,-94,-200
1526461104105,-90,-94,-200
1526461106464,-88,-200,-200
1526461106563,-88,-94,-200
1526461108724,-90,-94,-200
1526461109784,-200,-93,-200
1526461110936,-92,-94,-200
1526461111976,-94,-94,-200
1526461116299,-92,-94,-200
1526461119663,-95,-94,-93
1526461122959,-88,-200,-200
1526461124098,-88,-200,-90
1526461126211,-89,-200,-200
1526461127374,-96,-200,-200
1526461128433,-94,-200,-91
1526461131702,-200,-200,-92
1526461133902,-95,-200,-90
1526461135044,-200,-200,-92
