,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:76:18,74:da:da:c1:3c:45,74:da:da:c1:3c:11,74:da:da:98:66:cc,0c:73:eb:d0:19:90,0c:73:eb:d0:13:c8,74:da:da:c1:3c:85,74:da:da:c1:3c:55,74:da:da:98:ea:5c,74:da:da:98:90:2c,0c:73:eb:d0:76:10,74:da:da:98:90:94,74:da:da:98:90:95,74:da:da:98:85:4c,74:da:da:c1:3c:4d,74:da:da:c1:3c:12,50:3a:a0:ea:01:66,74:da:da:c1:3c:56,74:da:da:98:ea:64,74:da:da:98:90:2d,0c:73:eb:d0:13:b0,0c:73:eb:d0:19:a0,74:da:da:c0:d6:f5,74:da:da:98:66:cd,74:da:da:c1:3c:46,0c:73:eb:d0:19:80,74:da:da:c1:3c:86,74:da:da:c0:d9:39,74:da:da:c0:d6:ed,74:da:da:98:74:80,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,74:da:da:98:74:74,74:da:da:c0:d7:01,0c:73:eb:d0:13:98,74:da:da:c1:3b:19,74:da:da:c0:d7:11,74:da:da:c1:3b:29,74:da:da:c1:3d:2d,0c:73:eb:d0:13:90,0c:73:eb:d0:76:30,74:da:da:98:ea:5d,74:da:da:c0:f3:05,74:da:da:98:ea:50,0c:73:eb:d0:13:b8,74:da:da:c0:d8:3d,0c:73:eb:d0:19:c0,0c:73:eb:d0:2a:50,0c:73:eb:d0:76:28,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,74:da:da:c0:f6:15
1526461784200,-44,-45,-46,-54,-57,-63,-65,-66,-67,-70,-70,-71,-71,-72,-72,-73,-75,-76,-76,-77,-79,-79,-79,-80,-80,-81,-83,-83,-83,-83,-84,-84,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461787226,-55,-51,-56,-51,-58,-63,-63,-66,-69,-62,-200,-71,-200,-76,-76,-76,-79,-78,-77,-85,-57,-80,-79,-81,-200,-82,-81,-68,-200,-200,-84,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461790230,-51,-56,-66,-49,-60,-65,-70,-65,-69,-63,-83,-200,-200,-76,-76,-75,-76,-72,-77,-83,-55,-80,-200,-84,-200,-82,-84,-77,-200,-200,-83,-200,-87,-200,-200,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461793233,-52,-52,-63,-62,-65,-69,-71,-64,-74,-64,-87,-69,-200,-73,-75,-78,-78,-72,-74,-77,-63,-85,-200,-82,-200,-74,-71,-77,-200,-200,-83,-200,-87,-200,-82,-85,-88,-89,-73,-87,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461796237,-52,-50,-68,-47,-70,-67,-67,-64,-74,-71,-76,-69,-200,-73,-75,-72,-78,-71,-74,-82,-69,-85,-200,-82,-200,-78,-86,-67,-200,-200,-200,-200,-200,-200,-87,-85,-200,-200,-73,-87,-90,-91,-91,-86,-91,-200,-200,-200,-200,-200,-200,-200
1526461799248,-48,-51,-65,-50,-58,-70,-67,-62,-75,-63,-84,-71,-200,-73,-73,-83,-76,-78,-71,-79,-49,-79,-200,-79,-200,-71,-83,-67,-200,-200,-200,-200,-91,-89,-87,-82,-200,-200,-79,-87,-90,-91,-91,-86,-91,-78,-200,-200,-200,-200,-200,-200
1526461802295,-54,-53,-67,-63,-61,-65,-73,-63,-73,-62,-84,-69,-200,-83,-73,-79,-77,-74,-78,-87,-48,-79,-84,-85,-200,-65,-83,-72,-200,-200,-200,-200,-90,-89,-200,-82,-89,-200,-79,-87,-200,-200,-200,-88,-200,-78,-200,-200,-200,-200,-200,-200
1526461805322,-48,-53,-67,-53,-57,-73,-75,-63,-73,-58,-200,-68,-90,-83,-74,-80,-77,-74,-76,-82,-78,-200,-84,-82,-200,-65,-82,-70,-200,-200,-200,-200,-90,-89,-200,-200,-89,-200,-200,-87,-200,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200
1526461808358,-49,-53,-69,-49,-74,-68,-72,-64,-200,-68,-200,-69,-90,-91,-73,-80,-200,-58,-73,-85,-56,-80,-200,-82,-200,-71,-81,-73,-86,-200,-81,-88,-200,-89,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-80,-87,-90,-200,-200,-200,-200
