,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9C,78:A5:04:41:EE:01,78:A5:04:41:E9:DF,78:A5:04:41:EB:B1
1526464142693,-92,-92,-200,-200
1526464146998,-93,-91,-90,-200
1526464154730,-94,-200,-90,-200
1526464159058,-94,-200,-200,-92
1526464162482,-200,-200,-91,-94
1526464164687,-94,-200,-90,-95
1526464166969,-200,-95,-92,-93
1526464170236,-200,-200,-91,-200
1526464171393,-94,-200,-93,-96
1526464180276,-93,-200,-96,-93
1526464183602,-97,-200,-90,-98
1526464200061,-96,-200,-90,-98
1526464201218,-200,-200,-200,-96
1526464206661,-200,-200,-200,-95
