TimeStamp,e0:d1:73:a1:20:e2,e0:d1:73:a1:20:ed,54:78:1a:24:67:cd,e0:d1:73:a1:20:e0,54:78:1a:24:67:c0,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,84:78:ac:dc:d4:ad,20:3a:07:aa:41:3d,20:3a:07:aa:41:30,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,e0:d1:73:d8:74:90,e0:d1:73:d8:74:92,e0:d1:73:d8:74:9d,e0:d1:73:95:71:4f,e0:d1:73:de:ac:12,e0:d1:73:95:71:4d,e0:d1:73:d8:74:9f,e0:d1:73:a1:20:ef,e0:d1:73:0f:2f:7f,e0:d1:73:de:ac:10,e0:d1:73:95:71:40,e0:d1:73:0f:2f:70,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:72,e0:d1:73:95:71:42,e0:d1:73:bd:c9:a2,e0:d1:73:de:ac:1f,e0:d1:73:bd:c9:af,e0:d1:73:de:ac:1d,e0:d1:73:bd:c9:ad,54:78:1a:24:67:c2,cc:d5:39:9a:e4:80
1454081777428,-71,-87,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081780740,-72,,-89,-72,-82,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081784044,-71,,,-71,-82,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081787339,-73,,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081790640,-76,,,-75,-77,,-83,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081793938,-76,,,-75,-77,,-83,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081800534,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081803819,,,,,,,,,-90,-78,-90,-78,,,,,,,,,,,,,,,,,,,,,,,
1454081807115,,,,,,,,,,-77,-90,-77,-77,-78,-89,,,,,,,,,,,,,,,,,,,,
1454081810414,,,,,,,,,-83,-75,-81,-75,-73,-73,-89,,,,,,,,,,,,,,,,,,,,
1454081813710,,,,,,,,,-78,-73,-78,-71,-75,-74,,,,,,,,,,,,,,,,,,,,,
1454081817010,,,,,,,,,-72,-62,-73,-63,-72,-71,,,,,,,,,,,,,,,,,,,,,
1454081820259,,,,,,,,,-75,-61,-76,-61,-70,-69,,-88,-81,-87,,,,,,,,,,,,,,,,,
1454081823560,,,,,,,,,-81,-78,-87,-78,-67,-67,,-88,-81,-87,-87,,,,,,,,,,,,,,,,
1454081826871,,,,,,,,,-78,-78,-78,-79,-64,-62,-88,,,,-85,,,,,,,,,,,,,,,,
1454081830223,,,,,,,,,-78,-78,-82,-74,-64,-62,-88,,,,-85,,,,,,,,,,,,,,,,
1454081833518,,,,,,,,,-81,-74,-83,-73,-70,-68,-83,,,,-84,,,,,,,,,,,,,,,,
1454081836815,,,,,,,,,-90,-73,-92,-71,-70,-68,-83,,,,-84,,,,,,,,,,,,,,,,
1454081840116,,,,,,,,,-90,-73,-92,-71,,-67,-83,,,,-83,,,,,,,,,,,,,,,,
1454081843415,,,,,,,,,,,,,-62,-67,-83,,,,-89,,,,,,,,,,,,,,,,
1454081846711,,,,,,,,,,,,,-66,-66,-88,,,,-89,,,,,,,,,,,,,,,,
1454081850010,,,,,,,,,,-83,,,-68,-67,-89,,,,-92,,,,,,,,,,,,,,,,
1454081853310,,,,,,,,,,-83,,,-68,-61,-84,,,,-92,,,,,,,,,,,,,,,,
1454081856607,-78,,,-77,,,,,,,,,-67,-66,-84,,,,,,,,,,,,,,,,,,,,
1454081859887,-74,,,-74,,,,,,,,,-75,-66,,,,,,,,,,,,,,,,,,,,,
1454081863174,-71,,,-71,,,,,,,,,-75,-79,,,,,,-77,,,,,,,,,,,,,,,
1454081866468,-61,,,-71,,,,,,,,,,-79,,,,,,-77,,,,,,,,,,,,,,,
1454081869757,-75,,,,,,,,,,,,-75,-76,,,,,,,,,,,,,,,,,,,,,
1454081873053,-75,-78,,-75,,,,,,,,,-75,-77,,,,,,,,,,,,,,,,,,,,,
1454081876360,-70,-82,,-73,,,,,,,,,,-77,,,,,,-81,,,,,,,,,,,,,,,
1454081879644,-67,-82,,-67,,,,,,,,,-82,,,,,,,-81,,,,,,,,,,,,,,,
1454081882927,-73,,,-75,,,,,,,,,-77,-75,,,,,,-85,,,,,,,,,,,,,,,
1454081886223,-73,,,-66,,,,,,,,,-75,-75,,,,,,-85,,,,,,,,,,,,,,,
1454081889516,-81,,,-79,,,,,,,,,-66,-63,-85,,,,-89,,,,,,,,,,,,,,,,
1454081892803,-81,,,-75,,,,,,,,,-72,-63,-85,,,,-89,,,,,,,,,,,,,,,,
1454081896088,-71,,,-72,,,,,,,,,-72,-71,,,,,,-87,,,,,,,,,,,,,,,
1454081899386,-71,,,-78,,,,,,,,,-67,-73,,,,,,-87,,,,,,,,,,,,,,,
1454081902687,-73,,,-71,,,,,,,,,-70,-70,,,,,-93,,,,,,,,,,,,,,,,
1454081905979,-73,,,-71,,,,,,,,,-60,-60,,,,,-83,,,,,,,,,,,,,,,,
1454081909264,,,,,,,,,,,,,-62,-63,,,,,-83,,,,,,,,,,,,,,,,
1454081912561,,,,,,,,,,,,,-60,-63,,,,,-86,,,,,,,,,,,,,,,,
1454081915892,,,,,,,,,,,-90,,-59,-58,,,,,-90,,,,,,,,,,,,,,,,
1454081919191,,,,,,,,,,-79,-90,-79,-63,-65,-86,,,,-86,,,,,,,,,,,,,,,,
1454081922474,,,,,,,,,-77,-46,-78,-67,-73,-72,-86,-90,,-88,-86,,,,,,,,,,,,,,,,
1454081925705,,,,,,,,,-73,-65,-73,-65,-81,-72,,-87,,-86,,,-89,,,,,,,,,,,,,,
1454081928906,,,,,,,,,-80,-72,-73,-72,-81,-82,,-79,-75,-81,,,-89,-74,-82,,,,,,,,,,,,
1454081932138,,,,,,,,,-83,-70,-84,-72,,-82,,-79,-73,-85,,,-80,-75,-80,-80,-82,-81,-78,-80,-83,,,,,,
1454081935318,,,,-83,,,,,-85,-75,-89,-75,,,,,-75,-81,,,-73,-74,-75,-69,-82,-74,-78,-75,-83,-88,,,,,
1454081938518,-81,,,-80,,,,,-85,-76,-89,-76,,,,-73,-70,-72,,,-70,-70,-75,-66,,-70,-66,-69,-81,-88,,,,,
1454081941723,-80,,,-80,,,,,,-76,,-76,,,,-69,-66,-69,,,-72,-66,-65,-65,-77,-71,-64,-64,-77,-78,-86,-78,-86,,
1454081944945,-80,,,-82,,,,,,,,,,,,-59,-65,-59,,,-66,-66,-66,-65,-75,-66,-58,-64,-75,-83,-81,-78,-81,,
1454081948180,-80,,,-82,,,,,,,,,,,,-58,-78,-57,,,-59,-77,-66,-56,-75,-59,-56,-56,-71,-83,-80,,-80,,
1454081951376,-81,,,,,,,,,,,,,,,-63,-80,-62,,,-66,-77,,-60,,-66,-61,-58,-69,,-80,-88,-81,,
1454081954578,-81,,,-80,,,,,,,,,,,,-61,-76,-62,,,-64,-77,-59,-60,-71,-64,-60,-59,-69,,-78,-87,-78,,
1454081957823,-71,,,-71,,,,,,,,,,,,-59,-77,-60,,,-66,-77,-60,-62,-71,-66,-63,-59,,-88,-78,-87,-78,,
1454081961022,-73,-85,,-73,,,,,,,,,,,,-64,-77,-65,,,-67,-77,-59,-61,-73,-66,-62,,,-88,-81,,-80,,
1454081964293,-72,-85,,-73,,,,,,,,,,,,-71,,-71,,-86,-75,,-64,-69,-77,-75,-62,,-76,,-88,,-87,,
1454081967482,-70,,,-70,,,,,,,,,,,,-72,,-73,,-86,-78,,-68,-72,-78,-78,-73,-69,-76,,-88,,-91,,
1454081970700,-70,-83,,-72,-80,,,,,,,,,,,-75,,-75,,-82,-76,,-68,-68,-83,-77,-66,-69,-80,,-88,,-88,,
1454081973896,-71,-83,,-71,-80,,,,,,,,,,,-74,,-74,,-81,-76,,-70,-68,-83,-77,-72,-71,-81,,-91,,-88,,
1454081977163,-64,-82,,-65,,,,,,,,,,,,-75,,-75,,-80,-78,,-72,,,-79,-73,-71,-81,,-91,,,,
1454081980360,-70,-82,,-69,,,,,,,,,,,,-75,,-75,,-80,-79,,-67,-71,-82,-78,-73,-67,,,-85,,-86,-81,
1454081983585,-72,-82,,-69,-77,,,,,,,,,,,-78,,-79,,,-79,,-75,-75,-82,-78,-73,-73,-84,,-85,,-86,-76,
1454081986774,-67,-82,,-67,-77,,,,,,,,,,,-73,,-72,,-83,-79,,-75,-72,,-80,-71,-68,-81,,,,,-80,
1454081989969,-72,-82,,-72,,,,,,,,,,,,-73,,-73,,-86,-75,,-74,-70,-81,-77,-71,-73,-80,,-90,,-88,-78,
1454081993192,-69,-89,,-72,,,,,,,,,,,,-68,,-68,,-86,-73,,-66,-70,-81,-72,-71,-65,-80,,-87,,-88,-78,
1454081996419,-73,-89,,-73,,,,,,,,,,,,-69,-83,-70,,,-73,-82,-66,-67,,-73,-66,-66,-80,,-87,,-86,,
1454081999634,-77,,,-76,,,,,,,,,,,,-66,-83,-66,,,-76,-82,-68,-69,-78,-76,-67,-69,-77,,,,-87,,
1454082002814,-72,,,-73,,,,,,,,,,,,-64,-80,-64,,,-71,,-64,-69,-78,-71,-69,-64,-80,,-87,,-84,,
1454082006016,-69,,,-73,,,,,,,,,,,,-69,-80,-70,,,-72,,-64,-69,-78,-72,-67,-63,-76,,-85,,-84,,
1454082009213,-69,,,-82,,,,,,,,,,,,-59,,-59,,,-62,-73,-57,-56,-75,-62,-55,-57,-77,-89,-77,,-77,,
1454082012393,,,,-79,,,,,,,,,,,,-55,-80,-54,,,-63,-73,-56,-53,-69,-62,-56,-57,-77,-89,-76,,-76,,
1454082015606,,,,-79,,,,,,,,,,,,-57,-80,-57,,,-60,-78,-59,-55,-68,-60,-56,-59,-69,,-72,,-72,,
1454082018809,,,,,,,,,,,,,,,,-57,-78,-57,,,-59,-78,-55,-57,-66,-59,-56,-55,-65,,-75,,-75,,
1454082022028,,,,,,,,,,,,,,,,-60,-78,-60,,,-56,-82,-57,-57,-70,-56,-51,-55,-65,,-70,,-70,,
1454082025220,,,,,,,,,,,,,,,,-58,,-58,,,-55,-82,-57,-51,-70,-55,-50,-57,-67,,-72,,-72,,
1454082028423,,,,,,,,,,,,,,,,-60,,-61,,,-52,,-59,-49,-68,-52,-50,-62,-72,,-69,,-69,,
1454082031616,,,,,,,,,,,,,,,,-62,,-62,,,-50,,-62,-49,-66,-50,-48,-62,-72,,-70,,-70,,
1454082034848,,,,,,,,,,,,,,,,-62,,-61,,,-53,,-63,-46,-68,-53,-46,-60,,,-68,,-68,,
1454082038054,,,,,,,,,,,,,,,,-61,,-61,,,-55,,-58,-51,-66,-56,-50,-59,-66,,-66,,-66,,
1454082041246,,,,,,,,,,,,,,,,-66,-84,-65,,,-50,,-63,-49,-65,-50,-50,-63,-65,,-72,,-72,,
1454082044441,,,,,,,,,,,,,,,,-64,-84,-63,,,-54,,-63,-50,-65,-54,-48,-62,-64,,-71,,-71,,
1454082047640,,,,,,,,,,,,,,,,-64,,-64,,,-49,,-65,-44,-63,-49,-42,-65,-65,,-68,,-68,,
