TimeStamp,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:ad,24:01:c7:08:b3:f0,cc:d5:39:a0:cd:b2,cc:d5:39:e9:5c:a0,24:01:c7:08:b3:f2,cc:d5:39:a0:cd:b0,cc:d5:39:a0:cd:bd,cc:d5:39:a0:cd:bf,24:01:c7:08:b3:ff,cc:d5:39:e9:5c:a2,24:01:c7:6c:fc:52,24:01:c7:33:7f:ad,24:01:c7:33:7f:af,24:01:c7:08:b3:fd,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:50,24:01:c7:6c:fc:5d,cc:d5:39:e5:b3:80,24:01:c7:33:7f:a2,cc:d5:39:e5:b3:82,24:01:c7:33:7f:a0,cc:d5:39:e5:b3:8f,24:01:c7:77:3e:af,e0:d1:73:ff:ee:5f,e0:d1:73:ff:ee:5d,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:52,58:97:1e:f7:73:b0,e0:d1:73:ff:ee:50,88:75:56:44:c6:e0,58:97:1e:f7:73:b2,88:75:56:44:c6:e2,24:01:c7:ca:81:02,88:75:56:44:c6:ef,58:97:1e:f7:73:bf,88:75:56:44:c6:ed,58:97:1e:f7:73:bd,24:01:c7:ca:81:00,24:01:c7:ca:81:0d,24:01:c7:ca:81:0f,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f3
1453855981555,-82,-83,,-77,-70,,-78,-84,-85,,-74,,-66,-66,,,,,-83,-72,-81,-63,,,-81,-81,,,-79,-56,-81,-79,-57,,-66,,-73,,-72,-66,-74,-74,-86,,-89,-78,-79,-79,,,,
1453855984822,-82,-83,,-81,-78,,-78,-84,-85,,-76,,-66,-66,,,,,-83,-73,,-73,,,-81,-81,,,,-56,-81,-79,-67,,-60,,-79,,-80,-59,-66,-66,-84,,-84,-81,-80,-79,,,,
1453855988117,,,,-81,-78,,,-84,,,-76,,-80,-77,,,,,,-71,,-71,,,,,,,,-66,,,-67,,-64,,-80,,-81,-59,-64,-64,-81,-81,-82,-81,-81,-81,,,,
1453855991445,,,,,,,,,,,,,-80,-77,,,,,,-71,,-71,,,,,,,,-71,,,-74,,-62,,-80,,-81,-58,-61,-61,-81,-83,-82,-74,-75,-75,,,,
1453855994693,,,,,,,,,,,,,-79,-80,,,,,,,,-79,,,,,,,,-80,,,-80,,-60,,,,,-60,-60,-59,-78,-78,-78,-71,-60,-75,-77,-84,-77,-77
1453855997992,,,,,,,,,,,,,-85,-80,,,,,,,,-79,,,,,,,,-84,,,-83,,-69,,,,,-68,-75,-76,-78,-78,-78,-71,-60,,-77,-84,-77,-77
1453856001297,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,-84,,,-83,,-69,,,,,-77,-75,-85,,,,,,,,,,
1453856004585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,-76,,-85,,,,,,,,,,
1453856007868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,-81,,-84,,,,,,,,,,
1453856011171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,,,,-82,,-84,,,,,,,,,,
1453856014460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,,,,-82,,,,,,,,,,,,
1453856017754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856021042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856024318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856027601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856030881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856034164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856037444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856040725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856044194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856047529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
1453856050818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,
