TimeStamp,34:a8:4e:ce:92:60,34:a8:4e:90:14:80,34:a8:4e:ce:92:62,34:a8:4e:90:14:82,88:75:56:ef:bc:a0,34:a8:4e:9f:90:90,88:75:56:ef:bc:a2,34:a8:4e:9f:90:9f,34:a8:4e:2f:30:7d,34:a8:4e:9f:90:9d,34:a8:4e:2f:30:70,34:a8:4e:2f:30:7f,34:a8:4e:9f:90:92,34:a8:4e:2f:30:72,34:a8:4e:90:14:8f,34:a8:4e:85:47:50,34:a8:4e:ce:92:6f,34:a8:4e:90:14:8d,34:a8:4e:ce:92:6d,34:a8:4e:85:47:52,88:75:56:82:92:70,20:3a:07:0b:be:90,34:a8:4e:26:96:b0,20:3a:07:06:d4:bf,88:75:56:82:92:72,20:3a:07:0b:be:92,34:a8:4e:26:96:b2,20:3a:07:06:d4:bd,34:a8:4e:85:47:5d,20:3a:07:ee:63:80,20:3a:07:8b:b4:a0,88:75:56:82:92:7f,20:3a:07:8b:b4:af,34:a8:4e:26:96:bf,20:3a:07:8b:b4:a2,20:3a:07:7a:6d:a2,88:75:56:82:92:7d,34:a8:4e:26:96:bd,20:3a:07:7a:6d:a0,20:3a:07:ee:63:8f,20:3a:07:7a:6d:af,34:a8:4e:65:4d:1f,34:a8:4e:65:4d:1d,20:3a:07:ee:63:8d,20:3a:07:06:d4:b2,34:a8:4e:ae:44:1f,20:3a:07:8b:b4:ad,34:a8:4e:ae:44:1d,88:75:56:0f:66:f2,34:a8:4e:67:e6:c2,20:3a:07:06:d4:b0,88:75:56:0f:66:f0,20:3a:07:16:3f:f0,34:a8:4e:47:99:ff,20:3a:07:ee:63:82,34:a8:4e:47:99:fd,20:3a:07:16:3f:f2,20:3a:07:16:3f:ff,88:75:56:0f:66:ff,34:a8:4e:65:4d:12,34:a8:4e:85:47:5f,20:3a:07:16:3f:fd,34:a8:4e:67:e6:c0,34:a8:4e:ae:44:12,88:75:56:0f:66:fd,34:a8:4e:84:8a:3f,34:a8:4e:84:8a:30,34:a8:4e:84:8a:32,34:a8:4e:84:8a:3d,20:3a:07:fd:63:b0,20:3a:07:fd:63:b2,88:75:56:04:8b:10,cc:d5:39:94:84:90,34:a8:4e:ae:44:10,88:75:56:04:8b:12,34:a8:4e:4e:19:82,34:a8:4e:65:4d:10,88:75:56:04:8b:1d,34:a8:4e:4e:19:80,cc:d5:39:94:84:9f,cc:d5:39:94:84:92,88:75:56:04:8b:1f,34:a8:4e:4e:19:8f,34:a8:4e:4e:19:8d,cc:d5:39:94:84:9d,34:a8:4e:67:e6:cd,34:a8:4e:47:99:f2,20:3a:07:0b:be:9d,20:3a:07:0b:be:9f,34:a8:4e:67:e6:cf,34:a8:4e:47:99:f0,88:75:56:46:e4:12,88:75:56:46:e4:10,58:bf:ea:98:e5:f0,58:bf:ea:98:e5:f2,34:a8:4e:cd:1f:bf,34:a8:4e:cd:1f:be,34:a8:4e:cd:1f:b1,34:a8:4e:cd:1f:b0,34:a8:4e:91:cf:90,88:75:56:46:e4:1f,88:75:56:46:e4:1d,88:75:56:ca:c3:d2,34:a8:4e:c2:a0:1f,88:75:56:ca:c3:df,88:75:56:ca:c3:dd,58:bf:ea:98:e5:fd,34:a8:4e:c2:a0:10,88:75:56:ca:c3:d0,88:75:56:e8:08:2f,34:a8:4e:c2:a0:1d,88:75:56:e8:08:2d,88:75:56:e8:08:22,58:bf:ea:98:e5:ff,88:75:56:b6:5e:a0,20:3a:07:b7:c1:af,88:75:56:e8:08:20,20:3a:07:59:25:d0,20:3a:07:1a:df:90,88:75:56:b6:5e:af,20:3a:07:54:5c:80,34:a8:4e:c2:a0:12,88:75:56:b6:5e:a2,20:3a:07:1a:df:9d,20:3a:07:3f:95:bf,20:3a:07:fd:63:bf,88:75:56:b6:5e:ad,20:3a:07:59:25:d2,20:3a:07:3f:95:bd,20:3a:07:1a:df:9f,20:3a:07:3f:95:b0,20:3a:07:54:5c:82,20:3a:07:54:5c:8d,20:3a:07:54:5c:8f,88:75:56:2c:fb:70,20:3a:07:59:25:df,20:3a:07:fd:63:bd,20:3a:07:1a:df:92,88:75:56:2c:fb:72,20:3a:07:59:25:dd,88:75:56:2c:fb:7d,88:75:56:2c:fb:7f,24:01:c7:87:30:50,34:a8:4e:61:47:72,20:3a:07:23:4b:1d,34:a8:4e:61:47:70,20:3a:07:23:4b:10,34:a8:4e:0e:8f:90,20:3a:07:3f:95:b2,20:3a:07:ee:25:20,34:a8:4e:61:47:7d,34:a8:4e:0e:8f:92,20:3a:07:ee:25:2f,20:3a:07:ee:25:2d,24:01:c7:87:30:5d,20:3a:07:ee:25:22,34:a8:4e:61:47:7f,24:01:c7:87:30:52,24:01:c7:87:30:5f,34:a8:4e:0e:8f:9d,34:a8:4e:e0:0e:e0,34:a8:4e:0e:8f:9f,34:a8:4e:e0:0e:e2,24:01:c7:0b:62:62,88:75:56:bf:20:40,88:75:56:bf:20:4f,88:75:56:bf:20:42,88:75:56:bf:20:4d,34:a8:4e:fb:84:f0,24:01:c7:0b:62:60,24:01:c7:0b:62:6f,34:a8:4e:fb:84:ff,34:a8:4e:fb:84:f2,24:01:c7:0b:62:6d,34:a8:4e:fb:84:fd,cc:d5:39:2e:38:d2,cc:d5:39:2e:38:d0,cc:d5:39:9f:83:82,cc:d5:39:f5:2f:d2,cc:d5:39:bf:82:50,58:97:1e:ea:c3:e0,58:97:1e:ea:c3:e2,20:3a:07:14:48:a2,20:3a:07:23:4b:1f,20:3a:07:23:4b:12,20:3a:07:14:48:a0,20:3a:07:14:48:ad,20:3a:07:14:48:af,20:3a:07:7a:6d:ad,20:3a:07:b7:c1:ad,20:3a:07:b7:c1:a0,20:3a:07:b7:c1:a2,34:a8:4e:fc:b5:70,cc:d5:39:a1:3d:8d,cc:d5:39:a1:3d:8f,20:3a:07:46:f5:1f,20:3a:07:46:f5:1e,cc:d5:39:a1:3d:80,34:a8:4e:91:cf:9f,cc:d5:39:a1:3d:82,34:a8:4e:91:cf:9e,cc:d5:39:f5:2f:df,24:01:c7:29:38:b2,24:01:c7:3d:63:02,c0:62:6b:b6:2b:02,c0:62:6b:b6:2b:00,34:a8:4e:91:cf:91,88:75:56:e6:13:f0,34:a8:4e:fc:b5:71,88:75:56:e6:13:f1,88:75:56:ef:bc:af,5c:fc:66:cf:ac:62,e0:d1:73:64:87:c2,20:3a:07:46:f5:11,20:3a:07:46:f5:10,cc:d5:39:bf:82:52,cc:d5:39:9f:83:80,1c:e6:c7:78:65:22,24:01:c7:9b:0e:40,34:db:fd:2e:66:70
1454963196408,,,,,,,,,,,,-88,,,,-79,,,,-79,,-64,,,,-70,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,,,,-77,,,,-78,,,,,,,,,,-73,,,-75,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,-72,,,,-82,,-80,,-80,,,-85,-91,,,,-77,-81,-62,-71,,,-51,,,-73,-51,,-52,-52,,-29,,-38,,-59,-63,-68,-41,-59,-86,-86,,-67,-41,,,-67,,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963199569,,,,,,,,,-83,,,-82,,,,-74,,,,-74,,-65,,,,-65,,,-84,,,,,,,,,,,,,-79,-83,,,,,,,,,,,,,,,,,-67,-86,,,-79,,,,,,,,,,-79,,,-67,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,,,-91,-72,,,,-70,,-80,,-79,,,-85,-63,,,,-63,-87,-56,-80,,,-47,,,-68,-48,,-51,-51,,-41,,-40,,-59,-53,-68,-49,-55,,,,-71,-49,,,-57,,-56,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963202798,,,,,,,,,-83,,-79,-82,,-80,,-76,,,,-76,,-61,,,,-61,,,-84,,,,,,,,,,,,,-84,-81,,,,,,,,,,,,,,,,,-67,-86,,,-79,,,,,,,-82,,,-79,,,-80,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,-84,,-85,-71,,,,-71,,-74,,-79,,,,-65,,,,-63,-87,-54,-81,,,-47,,,-68,-44,,-54,-54,,-44,,-44,,,-54,-74,-48,-60,,,,-71,-48,,,-69,,-56,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963206133,,,,,,,,,-83,,-79,,,-80,,-76,,,,-76,,-70,,,,-61,,,,,,,,,,,,,,,,-82,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-85,-73,,,,-71,,-78,,-79,,,,-74,,,,-74,,-56,-81,,,,,,,-48,,-61,-62,,-42,,-43,,,-54,-76,-54,-60,,,,,-54,,,-76,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963209616,,,,,,,,,,,,,,,,,,,,,,-70,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-89,-76,,,,-75,,-78,,,,,,-64,,,,-63,,-55,,,,-53,,,-80,-52,,-63,-63,,-52,,-43,,-69,,-74,-62,-70,,,,-74,-62,,,-85,,-84,,,,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963212823,,,,,,,,,,,,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,-73,,,,-75,-82,,,,,,,-70,,,-80,-70,,-53,,,,-59,,,-79,-52,,-61,-61,,-50,,,,-73,,-77,-58,-70,,,,-77,-58,,,-77,,-77,,,,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963216053,,,,,,,,,,,,,,,,,,,,,,-71,,,,-71,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90,-75,,,,-76,-82,-78,,,,,,-63,,,-79,-63,,-53,,,,-56,,,-79,-56,,-65,-65,,-52,,-52,,-68,-55,-81,-57,,,,,-77,-57,,,-87,,-87,,,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963219265,,,,,,,,,,,,,,,,,,,,,,-77,,,,-76,,,,,,,,,,,,,,,,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,,,,-79,,-79,,,,,,-72,,,-79,-72,,-60,,,,-53,,,-78,-52,,-70,-70,,-54,,-55,,-72,-59,-75,-61,-71,,,,-79,-61,,,-81,-74,-87,-74,,,,,,,,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963222487,,,,,,,,,,,,,,,,,,,,,,-74,,,,-75,,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,,-79,,-83,,,,-74,,,,-74,,-54,,,,-53,,,-78,-63,,-63,-62,,-53,,-54,,-72,-54,-75,-56,-70,,,,-77,-56,,,-84,-74,-87,-74,,,,,,,,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963225718,,,,,,,,,,,,,,,,,,,,,,-74,,,,-73,,,,,,,,,,,,,,,,-85,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,-74,,,,-83,,,-89,-69,,,,-68,,-57,,,,-56,,,-78,-59,,-63,-63,,-53,,-54,,-72,-54,,-64,-71,,,,-79,-65,,,-82,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963228957,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,-75,,,,,-89,-73,,,,-73,,-56,,,,-53,,,-78,-59,,-62,-62,,-50,,,,-69,,-79,-57,-71,,,,-78,-57,,,-78,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963232125,,,,,,,,,,,,-78,,,,-77,,,,,,,,,,-72,,,,,,,,,,,,,,,,-87,-80,,,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87,,-84,-72,,,,-71,,-75,,,,,-86,-71,,,,-68,,-55,,,,-52,,,-75,-50,,-49,-49,,-46,,,,-73,,-75,-47,-70,,,,-78,-47,,,-62,,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963235308,,,,,,,,,-87,,,-78,,,,-77,,,,,,-63,,-90,,-68,,,,,,,,,,,,,,,,-87,-85,,,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,,-77,,,,,,,,,,,-82,-81,,,,,,,,,,,,,,,,,,,,,-87,,-84,-72,,,,-66,,-75,,-80,,,-86,-65,,,-79,-65,-87,-56,,,,-45,,,-78,-45,,-51,-51,,-46,,-43,,-62,-57,-75,-52,-62,,,,-77,-52,,,-66,,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963238483,,,,,,,,,-81,,-74,,,-73,,,,,,,,-59,,-86,,-60,,,-88,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,,,-77,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,-81,,-80,-68,,,,-71,-80,-75,,-80,,,,-72,,,-79,-65,-87,-55,-79,,,-37,,,-78,-45,,-43,-43,,-45,,-46,,-59,-57,-77,-56,-62,,,,-77,-56,,,-64,,-70,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963241676,,,,,,,,,-77,,-74,-77,,-78,,-78,,,,-78,,-55,,-86,,-60,,-87,-88,,,,,,,,,,,,,-86,-85,,,,,,,,-82,,,,,,,,,-73,-87,,,,,,,,,,-80,,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,,,,,,,,-77,,-77,-64,,,,-71,-80,-80,,-85,,,,-78,,,,-84,,-58,-79,,,-38,,,,-38,,-42,-41,,-45,,-47,,-60,-57,-84,-52,-65,,,,-83,-52,,,-67,,-66,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963244827,,,,,,,,,-73,,-76,-73,,-78,,-78,,,,-70,,-53,,-86,,-52,,-87,-83,,,,,,,,,,,,,-86,-86,,-76,,,,,,-82,,,,,,,,,-86,-87,,,,,,,,,-79,-80,,,,,,,,,,,,,,,,,-72,-73,,,,,,,,,,,,,,,,,,,,,-72,,-72,-56,,,,-57,-73,-80,,-85,,,,-87,,,,-84,-89,-58,,,,-35,,,,-39,,-50,-50,,-47,,-51,,-60,-57,-84,-54,-60,,,,-83,-55,,,-68,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963248004,,,,,,,,,-81,,-83,-73,,-78,,-72,,,,-70,,-53,,-82,,-56,,,-85,,,,,,,,,,,,,,-86,,-76,,,,,,-77,,,,,,,,,-86,,,,,,,,,,-80,-78,,,,,,,,,,,,,,,,,-76,-76,,,,,,,,,,,,,,,,,,,,,-65,,-65,-59,,,,-59,-80,-81,,,,,,-84,,,,,-89,-69,-78,,,-42,-91,,,-39,,-48,-48,,-50,,-53,,-59,,,-60,-60,,,,-83,-60,,,-73,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963251202,,,,,,,,,-83,,-73,-83,,-78,,-71,,,,-71,,-45,,-75,,-45,,-75,-82,-88,,,,,,,,,,,,,,,-73,,,,,,-74,,,,,,,,,,-83,,,,,,,,,-78,-78,,,,,,,,,,,,,,,,,-82,-82,,,,,,,,,,,,,,,,,,,,,-63,,-63,-59,,,,-56,-80,-81,,,,,,-84,,,-80,,,-77,-78,,,-42,-91,,,-47,,-51,-52,,-53,,-53,,-59,,,-57,-60,,,,,-57,,,-73,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963254384,,,,,,,,,-83,,-83,-83,,-81,,-76,,,,-71,,-45,,-85,,-45,,-75,-90,-88,,,,,,,,,,,,,,,-71,,,,,-83,-74,,,,,,,,,,-83,,,,,,,,,-75,-73,,,,,,,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,,-76,,-72,-55,,,,-55,,,,,,,,-87,,,-77,-88,,-75,-81,,,-45,,,,-47,,-52,-52,,-52,,-53,,-61,,,-68,-60,,,,,-68,,,-80,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963257595,,,,,,,,,,,-83,-83,,-81,,-76,,,,,,-69,,-85,,-72,,,-90,,,,,,,,,,,,,,,,-81,,,,,-83,,,,,,,,,,,,,,,,,,,,-75,-73,,,,,,,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,,-83,,-72,-87,,,,-66,,,,,,,,-87,,,-77,-88,,-81,-81,,,-48,,,,-47,,-71,-71,,-52,,-67,,-78,,,-68,-78,,,,,-87,,,-80,,-79,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963260856,,,,,,,,,,,,,,,,,,,,,,-69,,,,-72,,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,-85,-70,,,,-72,,,,,,,,,,,-83,,,-81,,,,-48,,,,-60,,-65,-66,,-74,,-73,,-78,-80,-80,,-82,,,,,-87,,,,-74,,-75,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963264036,,,,,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,-83,-70,,,,-74,,,,,,,,,,,-83,,,-82,,,,-61,,,,-61,,-74,-75,,-78,,-79,,,-83,-80,-78,-82,,,,,-77,,,,-74,,-75,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963267234,,,,,,,,,,,,,,,,,,,,,,-81,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,-80,-71,,,,-71,,,,,,,,-89,,,,,,-82,,,,-68,,,-83,-61,,-75,-75,,-76,,-76,,,-77,-81,-76,,,,,-81,-76,-83,,,-78,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963270432,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,-80,-71,,,,-75,-81,,,,,,,-89,,,-82,-80,,-76,,,,-64,,,-83,-64,,-75,-75,,-73,,-73,,,-79,-81,-76,,,,,-81,-83,-83,,,-78,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963273625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-69,-69,,,,-75,-81,,,,,,,-86,,,-82,-85,,-79,,,,-72,,,,-69,,-83,-75,,-77,,-73,,,-79,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963276806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,,-74,-64,,,,-65,,,,,,,-90,-86,,,-79,-85,,-77,,,,-72,,,,-71,,-88,-86,,-77,,-77,,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963280055,,,,,,,,,,,,,,,,,,,,,,-77,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,,-58,-55,,,,-57,,,,,,,-90,,,,-79,,,-78,,,,-74,,,,-73,,-88,-88,,-79,,-80,,,-77,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963283225,,,,,,,,,,,,,,,,,,,,,,-78,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,-83,-82,-56,-81,-74,,,,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,-47,,-47,-36,,-75,,-57,-65,-77,-74,,,,-58,-70,,-76,-65,-70,-58,-70,,-73,-73,-74,,-86,-77,-76,-73,-76,-76,,-79,,-80,,,-71,-79,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963286383,,,,,,,,,,,,,,,,,,,,,-73,-66,,,-73,-70,,,,,,-75,,,,,-73,,,,,,,,,,,,,-64,,,,,,,,,,,,,,,,-65,-65,-63,-65,-53,-56,,,,,,,,,,,,,,,-82,,,,,,-82,,,,,,,,,,,,,,,,,,-30,,-30,-31,,-68,,-31,-65,-62,-74,-58,,-67,-65,-59,-69,-78,-65,-60,-66,-57,-58,-57,-57,-62,-70,-68,-77,-61,-71,-83,-76,-81,,-86,-69,,,-56,-69,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963289528,,-77,,,,,,,,,,,,,,-80,,,,-82,-73,-61,,,-69,-62,,,,,,-75,,,,,-73,,,,,,,,-84,,,,,-64,,,,,,,,,,,,,-68,,,-63,-56,-54,-63,-50,-49,,,,,,,,,,,,,,,-69,,,,,,-82,,,,,,,,,-89,,,,,,,,,-43,,-43,-41,,-68,,-42,-62,-62,-71,-57,,-61,-63,-65,-66,-71,,-67,-64,-57,-58,-65,-65,-65,-69,-65,-59,-61,-71,-85,,-81,-78,-84,-69,,,-56,-69,,,,,,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963292727,,-73,,-72,,,,,,,,,,,,-80,,,,-82,,-61,,,-61,-54,,,,,,,,,,,-72,,,,,,,,-84,,,,,-61,,,,,,,,,,,,,-68,,,-62,-57,-57,-62,-51,-52,-67,-73,,-68,,,,,-82,,,,,-86,-86,,-81,-81,-86,,-72,,,,,,,,,-89,,,,,,,,,-49,,-48,-44,,,,-43,-67,-60,-61,-57,,-58,-71,-60,-61,-61,-69,-59,-71,-56,-55,-68,-68,-65,-69,-61,-62,,-80,-85,,,-78,-84,,,,,-72,,,,,,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,-85,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963295937,,-71,,-72,,,,,,,,,,,,-78,,,,-81,,-53,,,-61,-54,,,,,,-68,,,,,-68,,,,,,,,,,,,,-70,,,,,,,,,,,,,,,,-54,-62,-62,-54,-44,-52,-78,-73,,-68,,,,,-73,,,,,-74,-86,,-77,-77,-87,,-76,,,,,,,,,,,,,,,,,,-53,,-53,-50,,-56,,-48,-67,-69,-53,-61,,-58,-63,-67,-67,-53,-64,-68,-63,-63,-61,-71,-71,-78,,-66,-67,,-80,,,,,,-82,-78,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,-85,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963299168,,-71,,-76,,,,,,,,,,,,-78,,,,-81,-68,-51,,,-68,-50,,,,,,-75,,,,,-75,,,,,,,,,,,,,-73,,,,,,,,,,,,,-73,,,-56,-58,-58,-56,-47,,-78,-63,,,,,,,-73,-63,,,,-73,,,-87,-77,-87,,-81,,,,,,,,,,,,,,,,,,-55,,-55,-50,,-58,,-47,-70,-63,-59,-61,,-59,-60,-63,-70,-59,-71,-62,-60,-58,-60,-68,-68,-78,,-69,-64,-77,,,,,,-84,-81,-82,,-58,-79,,,,,,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963302331,,,,-81,,,,,,,,,,,,-78,,,,,-62,-59,,,-65,-50,,,,,,-77,,,,,-73,,,,,,,,,,,,,-78,,,,,,,,,,,,,-78,,,-57,-58,-57,-57,-46,,-74,-65,,,,,,,-71,-63,,,,-71,-88,,-85,-84,,,-81,,,,,,,,,,,,,,,,,,-57,,-57,,,-56,,-58,-82,-63,-63,-68,,-56,-65,-68,-54,-62,-78,-68,-65,-67,-64,-74,-75,-82,,-54,-67,-84,-86,,,,,-83,-81,-73,,-65,,,,,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454963305525,,-68,,-81,,,,,,,,,,,,-78,,,,,-63,-59,,,-62,-61,,,,,,-78,,,,,-77,,,,,,,,,,,,,-76,,,,,,,,,,,,,-78,,,-52,-58,-57,-52,-42,-43,-74,-57,,,,,-80,,-73,-57,-80,,,-73,-88,,-85,-84,-89,,,,,,,,,,,,,,,,,,,,-56,,-56,-50,,-60,,-50,-80,,-64,-59,,-59,-67,-68,-60,-64,-78,-68,-67,-56,-64,-73,-73,-83,,-60,-67,-84,-86,,,,,-79,-81,-74,,-65,-79,,,,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,-85,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
