['time'],['wifi_change']
1
1454962721767
1454962725997
2
1454962737317
1454962740907
3,34:a8:4e:26:96:b2,20:3a:07:16:3f:f0,20:3a:07:06:d4:b2,20:3a:07:16:3f:f2
1454962780747,-47,-76,-77,-78
1454962783597,-32,-62,-62,-63
4,20:3a:07:ee:63:80,34:a8:4e:2f:30:70
1454962791497,-95,-95
1454962793687,-70,-74
5,34:a8:4e:9f:90:90,34:a8:4e:9f:90:92
1454962832107,-66,-68
1454962834447,-52,-52
6,20:3a:07:06:d4:b2,20:3a:07:06:d4:b0,20:3a:07:ee:63:80,20:3a:07:ee:63:82,34:a8:4e:67:e6:c2,88:75:56:04:8b:12,88:75:56:04:8b:10,34:a8:4e:9f:90:90,34:a8:4e:67:e6:c0,20:3a:07:ee:63:8d,20:3a:07:ee:63:8f,34:a8:4e:26:96:bf,88:75:56:04:8b:1f,34:a8:4e:ae:44:12,20:3a:07:0b:be:92,88:75:56:04:8b:1d
1454962876257,-38,-46,-53,-55,-55,-62,-63,-64,-66,-68,-68,-69,-70,-70,-70,-71
1454962878007,-67,-65,-76,-69,-83,-77,-74,-95,-79,-85,-88,-95,-84,-95,-95,-90
7,20:3a:07:3f:95:b2
1454962939627,-60
1454962940237,-77
8,20:3a:07:ee:25:22,20:3a:07:1a:df:92,88:75:56:e8:08:22,20:3a:07:1a:df:90
1454962959237,-69,-73,-95,-95
1454962963517,-95,-95,-68,-74
9,34:a8:4e:67:e6:c0
1454962964127,-71
1454962970267,-95
10,20:3a:07:3f:95:bf,20:3a:07:3f:95:bd,88:75:56:e8:08:20,24:01:c7:87:30:5f,24:01:c7:87:30:5d
1454963016087,-59,-59,-64,-76,-76
1454963018357,-72,-76,-95,-65,-65
11,20:3a:07:54:5c:80,34:a8:4e:0e:8f:92,88:75:56:e8:08:22
1454963027897,-48,-58,-65
1454963028667,-61,-70,-95
12,24:01:c7:0b:62:62
1454963077277,-70
1454963082307,-95
13,20:3a:07:54:5c:8f,20:3a:07:54:5c:8d,24:01:c7:0b:62:62
1454963084757,-56,-56,-95
1454963085437,-74,-74,-60
14
1454963113047
1454963113557
15,34:a8:4e:61:47:70
1454963123437,-95
1454963124097,-74
16,34:a8:4e:61:47:7f,34:a8:4e:61:47:7d,20:3a:07:1a:df:92,34:a8:4e:fb:84:f2,88:75:56:2c:fb:7d,88:75:56:2c:fb:7f
1454963156097,-65,-65,-66,-67,-77,-77
1454963158067,-51,-51,-95,-95,-62,-63
17,34:a8:4e:0e:8f:9f,34:a8:4e:0e:8f:9d,34:a8:4e:61:47:72,34:a8:4e:61:47:70,88:75:56:2c:fb:7f,88:75:56:2c:fb:7d,20:3a:07:0b:be:92,88:75:56:2c:fb:72,20:3a:07:1a:df:9f,34:a8:4e:0e:8f:92
1454963166117,-42,-42,-46,-48,-67,-67,-70,-71,-72,-95
1454963166937,-56,-56,-61,-60,-79,-81,-82,-95,-95,-50
18,88:75:56:2c:fb:70,20:3a:07:1a:df:90
1454963167137,-54,-56
1454963168037,-95,-68
19,34:a8:4e:0e:8f:90,34:a8:4e:0e:8f:92,20:3a:07:1a:df:92,34:a8:4e:0e:8f:9f,34:a8:4e:0e:8f:9d,20:3a:07:54:5c:80,34:a8:4e:ae:44:1d
1454963180957,-47,-48,-51,-55,-55,-64,-67
1454963181547,-61,-60,-64,-69,-69,-80,-87
20,34:a8:4e:61:47:7d,34:a8:4e:61:47:7f,88:75:56:2c:fb:7f
1454963191367,-24,-25,-57
1454963192967,-43,-43,-68
21,88:75:56:2c:fb:70,34:a8:4e:0e:8f:9f,20:3a:07:3f:95:bd,34:a8:4e:65:4d:12,20:3a:07:1a:df:92,20:3a:07:ee:25:22
1454963202137,-47,-56,-63,-67,-68,-71
1454963203727,-95,-85,-74,-95,-95,-95
22,20:3a:07:0b:be:92
1454963247137,-56
1454963250627,-45
23
1454963267597
1454963268327
24
1454963268537
1454963269607
25,20:3a:07:fd:63:b2,88:75:56:04:8b:12,20:3a:07:3f:95:b2,cc:d5:39:94:84:92,88:75:56:82:92:70,34:a8:4e:67:e6:c0
1454963294917,-52,-68,-95,-95,-95,-95
1454963297747,-95,-95,-58,-63,-68,-73
26,20:3a:07:0b:be:92,20:3a:07:1a:df:90,20:3a:07:3f:95:b0,20:3a:07:fd:63:b2,88:75:56:e8:08:22,34:a8:4e:90:14:80,20:3a:07:23:4b:12
1454963301217,-50,-63,-67,-95,-95,-95,-95
1454963304997,-61,-95,-56,-43,-50,-68,-74
27,88:75:56:82:92:72,20:3a:07:0b:be:92,88:75:56:82:92:7d
1454963314357,-56,-60,-70
1454963316427,-78,-95,-84
28,88:75:56:e8:08:20,20:3a:07:fd:63:bf,20:3a:07:fd:63:bd,34:a8:4e:84:8a:3f,34:a8:4e:84:8a:3d,20:3a:07:3f:95:b2,20:3a:07:1a:df:90,20:3a:07:3f:95:bd,20:3a:07:3f:95:bf,20:3a:07:59:25:d2
1454963321637,-67,-67,-67,-69,-69,-75,-77,-84,-85,-95
1454963323877,-52,-54,-54,-55,-55,-61,-63,-64,-64,-73
