TimeStamp,88:75:56:8f:3d:d0,20:3a:07:42:45:12,88:75:56:8f:3d:d2,20:3a:07:f9:39:c0,20:3a:07:42:45:1f,20:3a:07:42:45:1d,20:3a:07:42:45:10,0c:d9:96:ca:15:40,0c:d9:96:ca:15:4f,20:3a:07:f9:39:c2,0c:d9:96:ca:15:42,20:3a:07:f9:39:cf,0c:d9:96:ca:15:4d,20:3a:07:f9:39:cd,34:a8:4e:cc:26:f0,34:a8:4e:cc:26:f2,c0:62:6b:86:c4:30,c0:62:6b:86:c4:32,f0:25:72:a2:eb:e0,f0:25:72:a2:eb:e2,a0:cf:5b:44:84:50,c0:62:6b:86:c4:3f,f0:25:72:a2:eb:ed,88:75:56:6b:6a:5d,c0:62:6b:86:c4:3d,34:a8:4e:cc:26:ff,34:a8:4e:cc:26:fd,88:75:56:6b:6a:52,88:75:56:6b:6a:50,88:75:56:6b:6a:5f,a0:cf:5b:44:84:52,f0:25:72:a2:eb:ef,a0:cf:5b:44:84:5d,a0:cf:5b:44:84:5f,e0:d1:73:5b:cd:d0,e0:d1:73:5b:cd:d2,e0:d1:73:5b:cd:df,e0:d1:73:5b:cd:dd,7c:95:f3:17:0f:4f,7c:95:f3:17:0f:4d,64:d8:14:60:de:40,64:d8:14:60:de:42,7c:95:f3:17:0f:42,7c:95:f3:17:0f:40,64:d8:14:60:de:4f,64:d8:14:60:de:4d,64:d8:14:32:64:df,64:d8:14:32:64:dd,64:d8:14:c0:60:0d,64:d8:14:32:64:d0,34:a8:4e:ab:ce:a0,64:d8:14:ad:ad:00,64:d8:14:c0:60:0f,64:d8:14:ad:ad:0d,64:d8:14:32:64:d2,34:a8:4e:ab:ce:a2,64:d8:14:ad:ad:02,64:d8:14:c0:60:00,64:d8:14:c0:60:02,64:d8:14:ad:ad:0f,34:a8:4e:ab:ce:af,34:a8:4e:ab:ce:ad,88:75:56:8f:3d:df
1454507659870,-76,-82,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507663211,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507666613,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507669928,,,,,-92,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507673227,,,,-79,-92,-87,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507676507,,,,-79,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507679789,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507683076,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507686405,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507689686,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507692966,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507696248,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507699534,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
