,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FC,78:A5:04:41:E7:9C,78:A5:04:41:E9:DF
1526443220666,-83,-200,-200
1526443220891,-83,-200,-200
1526443220989,-81,-92,-200
1526443225946,-90,-200,-200
1526443226267,-87,-200,-200
1526443230973,-85,-200,-200
1526443231071,-84,-200,-200
1526443231273,-85,-200,-200
1526443231274,-84,-200,-200
1526443235886,-82,-200,-94
1526443236309,-81,-200,-200
1526443240908,-88,-200,-200
1526443241265,-86,-200,-200
1526443245902,-84,-200,-200
1526443246007,-84,-200,-200
1526443250952,-80,-200,-200
1526443255909,-90,-200,-200
1526443256108,-90,-200,-200
1526443256260,-90,-200,-200
1526443266162,-82,-200,-200
1526443266290,-82,-93,-200
1526443270938,-88,-200,-200
1526443276021,-89,-200,-200
1526443276128,-82,-93,-90
