,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F7,78:A5:04:41:E5:75,78:A5:04:41:E7:9C,78:A5:04:41:EB:FC
1526443311067,-85,-200,-200,-200
1526443311283,-82,-94,-92,-200
1526443321038,-86,-200,-200,-200
1526443321384,-87,-200,-200,-200
1526443325986,-93,-200,-200,-200
1526443326194,-90,-88,-200,-200
1526443326294,-91,-86,-200,-200
1526443330935,-92,-200,-200,-200
1526443341237,-92,-200,-200,-200
1526443341422,-90,-82,-200,-200
1526443346337,-200,-84,-200,-200
1526443356087,-200,-85,-200,-200
1526443356298,-90,-87,-200,-92
1526443365979,-80,-200,-200,-200
1526443366097,-79,-200,-200,-200
1526443366194,-80,-200,-200,-200
